ID	Track	Artist	Position	Trend	Date	Chart	market
5JO2usoem1CW1pLL1kLj9E	Manike Mage Hithe	Chamath Sangeeth, Yohani, Satheeshan	1	#3e3e40	2021-09-01	Viral 50	ae
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	2	#3e3e40	2021-09-01	Viral 50	ae
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	3	#3e3e40	2021-09-01	Viral 50	ae
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	4	#3e3e40	2021-09-01	Viral 50	ae
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	5	#3e3e40	2021-09-01	Viral 50	ae
2rOnSn2piaqLAlYjtfUBlY	"Raataan Lambiyan (From ""Shershaah"")"	Tanishk Bagchi, Jubin Nautiyal, Asees Kaur	6	#84bd00	2021-09-01	Viral 50	ae
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	7	#84bd00	2021-09-01	Viral 50	ae
72zHuDxFQTjbL51qJQSA7j	"Ranjha (From ""Shershaah"")"	Jasleen Royal, B Praak, Romy, Anvita Dutt	8	#bd3200	2021-09-01	Viral 50	ae
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	9	#bd3200	2021-09-01	Viral 50	ae
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	10	#84bd00	2021-09-01	Viral 50	ae
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	11	#84bd00	2021-09-01	Viral 50	ae
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	12	#bd3200	2021-09-01	Viral 50	ae
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	13	#bd3200	2021-09-01	Viral 50	ae
1EYeZGTMCjV7uVey5fNWXM	love nwantiti (feat. ElGrande Toto) - North African Remix	CKay, ElGrandeToto	14	#bd3200	2021-09-01	Viral 50	ae
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	15	#84bd00	2021-09-01	Viral 50	ae
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	16	#84bd00	2021-09-01	Viral 50	ae
2aTKrdenCq5qBOoJPFdn4P	Here's Your Perfect	Jamie Miller	17	#84bd00	2021-09-01	Viral 50	ae
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	18	#bd3200	2021-09-01	Viral 50	ae
750vtNtNiQVl80E4baoJjd	Lose	KSI, Lil Wayne	19	#84bd00	2021-09-01	Viral 50	ae
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	20	#3e3e40	2021-09-01	Viral 50	ae
4s6vwFgPdCtidpEw8KuQT6	REPEAT IT (with Gunna)	Lil Tecca	21	#84bd00	2021-09-01	Viral 50	ae
00LX4aUgpDFG4zZO1H3Lx8	Kalby Jobarny - Live	Yasser Abd El Wahab	22	#bd3200	2021-09-01	Viral 50	ae
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	23	#bd3200	2021-09-01	Viral 50	ae
5Kba6Aixt9oJuKtjN5scL3	Love Nwantiti - Remix	Dj Yo!, CKay, AX'EL	24	#84bd00	2021-09-01	Viral 50	ae
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	25	#bd3200	2021-09-01	Viral 50	ae
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	26	#84bd00	2021-09-01	Viral 50	ae
3yaYgjEFkRw3PVjW9mV1TO	Over The Top (feat. Drake)	Smiley	27	#84bd00	2021-09-01	Viral 50	ae
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	28	#bd3200	2021-09-01	Viral 50	ae
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	29	#bd3200	2021-09-01	Viral 50	ae
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	30	#3e3e40	2021-09-01	Viral 50	ae
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	31	#bd3200	2021-09-01	Viral 50	ae
7urtwZEtOypb3r8HNi42dT	Duvet	bôa	32	#bd3200	2021-09-01	Viral 50	ae
0V5cvmTKsYmF5FmGGEAfmS	Je te laisserai des mots	Patrick Watson	33	#bd3200	2021-09-01	Viral 50	ae
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	34	#84bd00	2021-09-01	Viral 50	ae
1l3S4j9ksQMh2tKIta1bfw	El Bint El Awiye	Wael Kfoury	35	#84bd00	2021-09-01	Viral 50	ae
0W6I02J9xcqK8MtSeosEXb	Get Into It (Yuh)	Doja Cat	36	#3e3e40	2021-09-01	Viral 50	ae
7CIERzyqIwLVKGp00YbHRO	Pain	PinkPantheress	37	#84bd00	2021-09-01	Viral 50	ae
2rTZjgC9zLLbo3y0asW8Ao	Tunay	Lance Santdas	38	#84bd00	2021-09-01	Viral 50	ae
0zO8ctW0UiuOefR87OeJOZ	Collard Greens	ScHoolboy Q, Kendrick Lamar	39	#4687d7	2021-09-01	Viral 50	ae
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	40	#bd3200	2021-09-01	Viral 50	ae
