ID	Track	Artist	Position	Trend	Date	Chart	market
08TD3JtW8nc3NEgxaSBNbL	NO WAY	DONGURIZU	1	#3e3e40	2021-09-01	Viral 50	ar
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	2	#84bd00	2021-09-01	Viral 50	ar
5liJEcanWV112vEe9uT8iP	Mon Amour	zzoilo	3	#bd3200	2021-09-01	Viral 50	ar
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	4	#84bd00	2021-09-01	Viral 50	ar
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	5	#bd3200	2021-09-01	Viral 50	ar
7Ll6A3egT4mD1tv7NIFwTP	Todo Cambia - En Directo En La Voz / 2021	Francisco Benitez	6	#3e3e40	2021-09-01	Viral 50	ar
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	7	#3e3e40	2021-09-01	Viral 50	ar
2U6P30X4yRXvFtaU29hRnT	One And Only - En Directo En La Voz / 2021	Luz Gaggi	8	#3e3e40	2021-09-01	Viral 50	ar
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	9	#3e3e40	2021-09-01	Viral 50	ar
3SGZ3LUwXb72Fbo4N43cFj	Lola	Duko	10	#3e3e40	2021-09-01	Viral 50	ar
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	11	#3e3e40	2021-09-01	Viral 50	ar
3znlxKwQTRVrrerCcZPus2	Tranquilísimo	Israel B, C. Tangana, LOWLIGHT	12	#3e3e40	2021-09-01	Viral 50	ar
2Y7v7XjZV1FcQprRV6VLpt	Tamo Chelo	EL NOBA	13	#84bd00	2021-09-01	Viral 50	ar
4aXicRG47bBEcKXlDaSRwW	Turraka (Remix)	Kaleb Di Masi, Locura Mix	14	#84bd00	2021-09-01	Viral 50	ar
1WkbRPIMV3GpSYAjHdIkk0	Dueles - Cover	Sele Vera y Los Pampas	15	#bd3200	2021-09-01	Viral 50	ar
78ZTeUzi8BtFVQbysRNvrc	Beba Que Quieres Que Haga (El Que la Hace Riendo Llorando la Paga)	Levis Remix	16	#84bd00	2021-09-01	Viral 50	ar
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	17	#bd3200	2021-09-01	Viral 50	ar
