ID	Track	Artist	Position	Trend	Date	Chart	market
6n7gZTdKDiY4CduwBpkgnX	Jet Set - Single Version	Carmen Geiss	1	#3e3e40	2021-09-01	Viral 50	at
7gWdZXq8xgtcOzjphw3lzY	Weird	treason434	2	#3e3e40	2021-09-01	Viral 50	at
0RSZ8EmUPEN3ySfCgytPke	Auf & Ab	Montez	3	#3e3e40	2021-09-01	Viral 50	at
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	4	#84bd00	2021-09-01	Viral 50	at
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	5	#84bd00	2021-09-01	Viral 50	at
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	6	#84bd00	2021-09-01	Viral 50	at
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	7	#3e3e40	2021-09-01	Viral 50	at
5STeQZH1Ahz3h0X9Njaij7	Crashen	t-low	8	#84bd00	2021-09-01	Viral 50	at
5Z7J2Au61uO7K1ZPNG1eTv	61 Grad	Endzone, TM	9	#bd3200	2021-09-01	Viral 50	at
0IF4B98sMyCv1lZjpS1FGz	Bilmem Mi?	Sefo	10	#84bd00	2021-09-01	Viral 50	at
41Prisi10mD8V4tLn1wh7v	SOMMERNACHT	Benaddict, Keddi, Burrberg	11	#84bd00	2021-09-01	Viral 50	at
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	12	#4687d7	2021-09-01	Viral 50	at
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	13	#bd3200	2021-09-01	Viral 50	at
1EYeZGTMCjV7uVey5fNWXM	love nwantiti (feat. ElGrande Toto) - North African Remix	CKay, ElGrandeToto	14	#84bd00	2021-09-01	Viral 50	at
0nt3N1wLaVpbP1zxm4YEqX	Blocks & Ghettos	OE63, DEDO	15	#84bd00	2021-09-01	Viral 50	at
4c1TXKNAh4yb5cb0zE3x1X	MDMA	Little Sis Nora	16	#84bd00	2021-09-01	Viral 50	at
