ID	Track	Artist	Position	Trend	Date	Chart	market
0W7brFokN6QtGRNp32RCQP	Alone With You	Arz	1	#3e3e40	2021-09-01	Viral 50	au
0wCWfjqo0FV1CDseDGD0cV	Two Years Clear	Idi Akz	2	#84bd00	2021-09-01	Viral 50	au
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	3	#bd3200	2021-09-01	Viral 50	au
3lHovsQtfOpFf9e91gCsFR	2020	Chantel	4	#bd3200	2021-09-01	Viral 50	au
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	5	#3e3e40	2021-09-01	Viral 50	au
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	6	#3e3e40	2021-09-01	Viral 50	au
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	7	#3e3e40	2021-09-01	Viral 50	au
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	8	#3e3e40	2021-09-01	Viral 50	au
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	9	#3e3e40	2021-09-01	Viral 50	au
08hB2ERJV6A1Ntu3OHgzjh	FMRN	Lilyisthatyou	10	#84bd00	2021-09-01	Viral 50	au
1puprgnIxARMj8gR3Jj4B2	Just Drive	Erin Kinsey	11	#bd3200	2021-09-01	Viral 50	au
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	12	#84bd00	2021-09-01	Viral 50	au
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	13	#84bd00	2021-09-01	Viral 50	au
5g4VW1FmFDXixu1VEiHAVz	Night Light	The Rions	14	#bd3200	2021-09-01	Viral 50	au
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	15	#84bd00	2021-09-01	Viral 50	au
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	16	#84bd00	2021-09-01	Viral 50	au
4QNPS79DeAUoSYmBynfWTN	My Mind	Yebba	17	#bd3200	2021-09-01	Viral 50	au
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	18	#84bd00	2021-09-01	Viral 50	au
