ID	Track	Artist	Position	Trend	Date	Chart	market
6u5qi5Va5afHWJ18fHjJyi	Ik Ga Zwemmen	Mart Hoogkamer	1	#3e3e40	2021-09-01	Viral 50	be
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	2	#3e3e40	2021-09-01	Viral 50	be
0W7brFokN6QtGRNp32RCQP	Alone With You	Arz	3	#84bd00	2021-09-01	Viral 50	be
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	4	#bd3200	2021-09-01	Viral 50	be
0wCWfjqo0FV1CDseDGD0cV	Two Years Clear	Idi Akz	5	#3e3e40	2021-09-01	Viral 50	be
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	6	#3e3e40	2021-09-01	Viral 50	be
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	7	#3e3e40	2021-09-01	Viral 50	be
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	8	#3e3e40	2021-09-01	Viral 50	be
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	9	#3e3e40	2021-09-01	Viral 50	be
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	10	#3e3e40	2021-09-01	Viral 50	be
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	11	#3e3e40	2021-09-01	Viral 50	be
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	12	#3e3e40	2021-09-01	Viral 50	be
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	13	#3e3e40	2021-09-01	Viral 50	be
0IF4B98sMyCv1lZjpS1FGz	Bilmem Mi?	Sefo	14	#3e3e40	2021-09-01	Viral 50	be
3uUuGVFu1V7jTQL60S1r8z	Where Are You Now	Lost Frequencies, Calum Scott	15	#84bd00	2021-09-01	Viral 50	be
6AxWVxPuRvWfvOtIGxmBH6	Rendez-Vous	Metejoor, Emma Heesters	16	#84bd00	2021-09-01	Viral 50	be
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	17	#84bd00	2021-09-01	Viral 50	be
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	18	#bd3200	2021-09-01	Viral 50	be
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	19	#bd3200	2021-09-01	Viral 50	be
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	20	#84bd00	2021-09-01	Viral 50	be
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	21	#bd3200	2021-09-01	Viral 50	be
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	22	#84bd00	2021-09-01	Viral 50	be
0xfMlIW8lS40qvpsUw1l0X	Never Going Home	Kungs	23	#3e3e40	2021-09-01	Viral 50	be
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	24	#bd3200	2021-09-01	Viral 50	be
1EYeZGTMCjV7uVey5fNWXM	love nwantiti (feat. ElGrande Toto) - North African Remix	CKay, ElGrandeToto	25	#3e3e40	2021-09-01	Viral 50	be
67ma7wN0aFMmpCc8HoWWg9	How You Doing	Trustt	26	#84bd00	2021-09-01	Viral 50	be
27Z3UdqvdAhtJlWBMoDjBD	TDB	OBOY	27	#bd3200	2021-09-01	Viral 50	be
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	28	#3e3e40	2021-09-01	Viral 50	be
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	29	#bd3200	2021-09-01	Viral 50	be
4gqOzJPGNCvEnS1u5YHOkp	Super Max!	Pitstop Boys	30	#84bd00	2021-09-01	Viral 50	be
2FCV8dhMiAl3fNifmx1Q3m	Enty Hayaty	Saad Lamjarred, Calema	31	#84bd00	2021-09-01	Viral 50	be
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	32	#4687d7	2021-09-01	Viral 50	be
4Vs2i8GdP5s7vd8vfSRcDk	Phoenix (feat. Fleet Foxes & Anaïs Mitchell)	Big Red Machine	33	#84bd00	2021-09-01	Viral 50	be
0ekBJ6ROms5datcjSEPm4K	Vieze Asbak Ameno - Techno Rave Mix	TygoReuvers	34	#84bd00	2021-09-01	Viral 50	be
5F469F5Dk2Zzm6BpP0OhVq	Adem Je In - Remix	S10, Frenna, Kevin	35	#84bd00	2021-09-01	Viral 50	be
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	36	#bd3200	2021-09-01	Viral 50	be
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	37	#bd3200	2021-09-01	Viral 50	be
2LcmbuYX7tyR4DWy3b273L	Noodgeval	Goldband	38	#84bd00	2021-09-01	Viral 50	be
02MWAaffLxlfxAUY7c5dvx	Heat Waves	Glass Animals	39	#84bd00	2021-09-01	Viral 50	be
7fvaNCAFYAx6ny6C5i5Hab	Tigini	Kikimoteleba	40	#bd3200	2021-09-01	Viral 50	be
7LZQAYj5NmW7Db2y8k7dXm	Trompetisto	Sjaak	41	#84bd00	2021-09-01	Viral 50	be
7r9KkTYiFYMuNcGR4aySxh	Ça canarde	Bolémvn, Guy2bezbar	42	#bd3200	2021-09-01	Viral 50	be
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	43	#bd3200	2021-09-01	Viral 50	be
1riBwVUqVsk5RGJ9iLN8cG	Bul Beni	Ezhel	44	#84bd00	2021-09-01	Viral 50	be
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	45	#4687d7	2021-09-01	Viral 50	be
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	46	#bd3200	2021-09-01	Viral 50	be
5Z8Dj3LtbyCMiwE86rhg2f	Marea (We’ve Lost Dancing)	Fred again.., The Blessed Madonna	47	#bd3200	2021-09-01	Viral 50	be
11HLDMuPD3wh88XHw4udKO	SPECIAL (feat. Nekfeu & Fousheé)	Laylow	48	#bd3200	2021-09-01	Viral 50	be
6T3sH1EuBMijU1MHe2WFJt	in heat.	Hentai Xander	49	#4687d7	2021-09-01	Viral 50	be
5dFSwQk7dEGgccEpyzqskS	Big Thug Boys	AV	50	#bd3200	2021-09-01	Viral 50	be
6u5qi5Va5afHWJ18fHjJyi	Ik Ga Zwemmen	Mart Hoogkamer	1	#3e3e40	2021-09-02	Viral 50	be
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	2	#3e3e40	2021-09-02	Viral 50	be
0W7brFokN6QtGRNp32RCQP	Alone With You	Arz	3	#3e3e40	2021-09-02	Viral 50	be
0wCWfjqo0FV1CDseDGD0cV	Two Years Clear	Idi Akz	4	#84bd00	2021-09-02	Viral 50	be
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	5	#bd3200	2021-09-02	Viral 50	be
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	6	#3e3e40	2021-09-02	Viral 50	be
5Kba6Aixt9oJuKtjN5scL3	Love Nwantiti - Remix	Dj Yo!, CKay, AX'EL	7	#4687d7	2021-09-02	Viral 50	be
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	8	#bd3200	2021-09-02	Viral 50	be
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	9	#3e3e40	2021-09-02	Viral 50	be
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	10	#bd3200	2021-09-02	Viral 50	be
4Vs2i8GdP5s7vd8vfSRcDk	Phoenix (feat. Fleet Foxes & Anaïs Mitchell)	Big Red Machine	11	#84bd00	2021-09-02	Viral 50	be
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	12	#bd3200	2021-09-02	Viral 50	be
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	13	#bd3200	2021-09-02	Viral 50	be
3uUuGVFu1V7jTQL60S1r8z	Where Are You Now	Lost Frequencies, Calum Scott	14	#84bd00	2021-09-02	Viral 50	be
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	15	#bd3200	2021-09-02	Viral 50	be
6wbDn8NI3ygkOeDJiS0ASi	Bilmem Mi?	Sefo	16	#bd3200	2021-09-02	Viral 50	be
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	17	#bd3200	2021-09-02	Viral 50	be
6AxWVxPuRvWfvOtIGxmBH6	Rendez-Vous	Metejoor, Emma Heesters	18	#bd3200	2021-09-02	Viral 50	be
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	19	#bd3200	2021-09-02	Viral 50	be
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	20	#84bd00	2021-09-02	Viral 50	be
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	21	#bd3200	2021-09-02	Viral 50	be
1EYeZGTMCjV7uVey5fNWXM	love nwantiti (feat. ElGrande Toto) - North African Remix	CKay, ElGrandeToto	22	#84bd00	2021-09-02	Viral 50	be
0xfMlIW8lS40qvpsUw1l0X	Never Going Home	Kungs	23	#3e3e40	2021-09-02	Viral 50	be
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	24	#bd3200	2021-09-02	Viral 50	be
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	25	#84bd00	2021-09-02	Viral 50	be
67ma7wN0aFMmpCc8HoWWg9	How You Doing	Trustt	26	#3e3e40	2021-09-02	Viral 50	be
2FCV8dhMiAl3fNifmx1Q3m	Enty Hayaty	Saad Lamjarred, Calema	27	#84bd00	2021-09-02	Viral 50	be
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	28	#84bd00	2021-09-02	Viral 50	be
4gqOzJPGNCvEnS1u5YHOkp	Super Max!	Pitstop Boys	29	#84bd00	2021-09-02	Viral 50	be
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	30	#bd3200	2021-09-02	Viral 50	be
7LZQAYj5NmW7Db2y8k7dXm	Trompetisto	Sjaak	31	#84bd00	2021-09-02	Viral 50	be
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	32	#bd3200	2021-09-02	Viral 50	be
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	33	#bd3200	2021-09-02	Viral 50	be
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	34	#bd3200	2021-09-02	Viral 50	be
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	35	#84bd00	2021-09-02	Viral 50	be
27Z3UdqvdAhtJlWBMoDjBD	TDB	OBOY	36	#bd3200	2021-09-02	Viral 50	be
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	37	#bd3200	2021-09-02	Viral 50	be
02MWAaffLxlfxAUY7c5dvx	Heat Waves	Glass Animals	38	#84bd00	2021-09-02	Viral 50	be
7fvaNCAFYAx6ny6C5i5Hab	Tigini	Kikimoteleba	39	#84bd00	2021-09-02	Viral 50	be
5F469F5Dk2Zzm6BpP0OhVq	Adem Je In - Remix	S10, Frenna, Kevin	40	#bd3200	2021-09-02	Viral 50	be
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	41	#bd3200	2021-09-02	Viral 50	be
0ekBJ6ROms5datcjSEPm4K	Vieze Asbak Ameno - Techno Rave Mix	TygoReuvers	42	#bd3200	2021-09-02	Viral 50	be
7r9KkTYiFYMuNcGR4aySxh	Ça canarde	Bolémvn, Guy2bezbar	43	#bd3200	2021-09-02	Viral 50	be
1riBwVUqVsk5RGJ9iLN8cG	Bul Beni	Ezhel	44	#3e3e40	2021-09-02	Viral 50	be
5Z8Dj3LtbyCMiwE86rhg2f	Marea (We’ve Lost Dancing)	Fred again.., The Blessed Madonna	45	#84bd00	2021-09-02	Viral 50	be
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	46	#3e3e40	2021-09-02	Viral 50	be
4ka1FkKAMde6dQAFFMXKac	i hope ur miserable until ur dead	Nessa Barrett	47	#4687d7	2021-09-02	Viral 50	be
