ID	Track	Artist	Position	Trend	Date	Chart	market
3f8UE3sDLcCwMC6fIrFlZO	Shaba Daba Du	Sando & Mando	1	#3e3e40	2021-09-01	Viral 50	bg
5N1eryUOWd5UECQeR5aDfW	Gia Sena	Stavento, Ivi Adamou	2	#3e3e40	2021-09-01	Viral 50	bg
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	3	#3e3e40	2021-09-01	Viral 50	bg
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	4	#84bd00	2021-09-01	Viral 50	bg
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	5	#84bd00	2021-09-01	Viral 50	bg
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	6	#bd3200	2021-09-01	Viral 50	bg
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	7	#bd3200	2021-09-01	Viral 50	bg
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	8	#3e3e40	2021-09-01	Viral 50	bg
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	9	#3e3e40	2021-09-01	Viral 50	bg
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	10	#3e3e40	2021-09-01	Viral 50	bg
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	11	#84bd00	2021-09-01	Viral 50	bg
0IF4B98sMyCv1lZjpS1FGz	Bilmem Mi?	Sefo	12	#3e3e40	2021-09-01	Viral 50	bg
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	13	#3e3e40	2021-09-01	Viral 50	bg
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	14	#bd3200	2021-09-01	Viral 50	bg
7jn2HBxZQS1BX4sxMlF3R9	Тръпката	Krisko, Galena	15	#bd3200	2021-09-01	Viral 50	bg
4XNvVTULgkuAMspuhqCAE8	СИЯЙ	Nemskiya	16	#3e3e40	2021-09-01	Viral 50	bg
2gTyfm5jrmTx4IH9K0CJk3	Ти не си за мен	Galena	17	#3e3e40	2021-09-01	Viral 50	bg
7qVks2fefl2jj4ioPoB9TD	Сериал	Mihaela Marinova	18	#3e3e40	2021-09-01	Viral 50	bg
3yaYgjEFkRw3PVjW9mV1TO	Over The Top (feat. Drake)	Smiley	19	#84bd00	2021-09-01	Viral 50	bg
6PQ88X9TkUIAUIZJHW2upE	Bad Habits	Ed Sheeran	20	#bd3200	2021-09-01	Viral 50	bg
6lazMmzPhIzAzWBtjVSeeh	Darpay ya	Tedi Aleksandrova, Emanuela	21	#3e3e40	2021-09-01	Viral 50	bg
1ClSzO8r4AmutluvghbyVR	Remember	Coyot	22	#84bd00	2021-09-01	Viral 50	bg
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	23	#84bd00	2021-09-01	Viral 50	bg
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	24	#84bd00	2021-09-01	Viral 50	bg
5ndylO3VZAhTRIARJFD0a5	Kamaz	DJ Blyatman, длб	25	#3e3e40	2021-09-01	Viral 50	bg
4s6vwFgPdCtidpEw8KuQT6	REPEAT IT (with Gunna)	Lil Tecca	26	#bd3200	2021-09-01	Viral 50	bg
02MWAaffLxlfxAUY7c5dvx	Heat Waves	Glass Animals	27	#84bd00	2021-09-01	Viral 50	bg
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	28	#3e3e40	2021-09-01	Viral 50	bg
1eUEmjs1bZKgNqucavn5tj	Нямаш Ли Пари	Papi Hans	29	#bd3200	2021-09-01	Viral 50	bg
4WO68mFJxGmqmxKcvYVhO5	Афкорс	Mom4eto, Dim4ou	30	#84bd00	2021-09-01	Viral 50	bg
