ID	Track	Artist	Position	Trend	Date	Chart	market
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	1	#3e3e40	2021-09-01	Viral 50	bo
1hQ0VZZ2jz3WccDXI2oatO	La Cumbia Boliviana	Bonny Lovy	2	#3e3e40	2021-09-01	Viral 50	bo
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	3	#3e3e40	2021-09-01	Viral 50	bo
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	4	#3e3e40	2021-09-01	Viral 50	bo
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	5	#84bd00	2021-09-01	Viral 50	bo
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	6	#3e3e40	2021-09-01	Viral 50	bo
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	7	#bd3200	2021-09-01	Viral 50	bo
6w8yBI2vthyN9UnwO4UBWb	Entre Nosotros	Tiago PZK, LIT killah	8	#bd3200	2021-09-01	Viral 50	bo
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	9	#3e3e40	2021-09-01	Viral 50	bo
6szg6z5MWZKiojwcu5hRNX	Estoy Bien	Panther	10	#3e3e40	2021-09-01	Viral 50	bo
4HzqWEdAbzcVFDv0pvxV4w	Sobrio	Maluma	11	#84bd00	2021-09-01	Viral 50	bo
5liJEcanWV112vEe9uT8iP	Mon Amour	zzoilo	12	#84bd00	2021-09-01	Viral 50	bo
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	13	#bd3200	2021-09-01	Viral 50	bo
4lEVoOnIybtRqi4knZwdPZ	Sou Favela	MC Bruninho, Vitinho Ferrari, Dj DG, Batidão Stronda	14	#bd3200	2021-09-01	Viral 50	bo
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	15	#84bd00	2021-09-01	Viral 50	bo
7m2iTdEKAtiGULWnTIRhX2	Matatan	Kaleb Di Masi, Alan Gomez	16	#84bd00	2021-09-01	Viral 50	bo
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	17	#84bd00	2021-09-01	Viral 50	bo
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	18	#3e3e40	2021-09-01	Viral 50	bo
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	19	#84bd00	2021-09-01	Viral 50	bo
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	20	#bd3200	2021-09-01	Viral 50	bo
08TD3JtW8nc3NEgxaSBNbL	NO WAY	DONGURIZU	21	#bd3200	2021-09-01	Viral 50	bo
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	22	#bd3200	2021-09-01	Viral 50	bo
3znlxKwQTRVrrerCcZPus2	Tranquilísimo	Israel B, C. Tangana, LOWLIGHT	23	#84bd00	2021-09-01	Viral 50	bo
4it6vaFbkGRUaQlwWUMg3v	Mi Debilidad	Maria Becerra	24	#84bd00	2021-09-01	Viral 50	bo
4OwhwvKESFtuu06dTgct7i	Tiroteo - Remix	Marc Seguí, Rauw Alejandro, Pol Granch	25	#bd3200	2021-09-01	Viral 50	bo
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	26	#84bd00	2021-09-01	Viral 50	bo
4aXicRG47bBEcKXlDaSRwW	Turraka (Remix)	Kaleb Di Masi, Locura Mix	27	#84bd00	2021-09-01	Viral 50	bo
1GYJpuLq41vEVKXiHGEY9j	Como Si No Importara	Emilia, Duki	28	#bd3200	2021-09-01	Viral 50	bo
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	29	#bd3200	2021-09-01	Viral 50	bo
367qNNXSy5vMzGjWVKaucj	Amor y Odio - Live	Grupo Histeria	30	#84bd00	2021-09-01	Viral 50	bo
25141FAgU1OmwoC9W2i5E3	Rolê	Tarcísio do Acordeon, Marcynho Sensação	31	#bd3200	2021-09-01	Viral 50	bo
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	32	#3e3e40	2021-09-01	Viral 50	bo
7j98zmsysTeOe1cZrVnfXX	Tas Bella	Reggi El Autentico	33	#84bd00	2021-09-01	Viral 50	bo
0Kdj7nwaYQmvhxnqZaIQuW	Bezos I	Bo Burnham	34	#bd3200	2021-09-01	Viral 50	bo
3T0DeQvOtdqd7Yo3t2Ig3N	Amnesia	La Santa Grifa	35	#bd3200	2021-09-01	Viral 50	bo
3Wrjm47oTz2sjIgck11l5e	Beggin'	Måneskin	36	#3e3e40	2021-09-01	Viral 50	bo
0zO8ctW0UiuOefR87OeJOZ	Collard Greens	ScHoolboy Q, Kendrick Lamar	37	#4687d7	2021-09-01	Viral 50	bo
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	38	#bd3200	2021-09-01	Viral 50	bo
25YMD8Bf1CiQvAsYz5Bq0p	Combi Nueva	Papichamp, Blunted Vato, L-Gante, Ecko	39	#bd3200	2021-09-01	Viral 50	bo
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	40	#bd3200	2021-09-01	Viral 50	bo
4Qa3hu2tsXgkxJoUrrVmDN	Ya No Vives en Mí	Grupo Histeria	41	#84bd00	2021-09-01	Viral 50	bo
0G2zPzWqVjR68iNPmx2TBe	Volando - Remix	Mora, Bad Bunny, Sech	42	#84bd00	2021-09-01	Viral 50	bo
2ookQf9qP2qiBuNFnNXyfl	Chega E Senta - Ao Vivo	John Amplificado	43	#84bd00	2021-09-01	Viral 50	bo
1jcElPv9lk5wnAOuBFydJ1	Te Quiero Dar Amor	Los Trampa, Fer Pérez	44	#bd3200	2021-09-01	Viral 50	bo
1gGhqfs2pDTOI30AEXMXrn	Alien Boy	Oliver Tree	45	#bd3200	2021-09-01	Viral 50	bo
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	46	#4687d7	2021-09-01	Viral 50	bo
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	47	#bd3200	2021-09-01	Viral 50	bo
3Vi5XqYrmQgOYBajMWSvCi	Need to Know	Doja Cat	48	#4687d7	2021-09-01	Viral 50	bo
3jSG8oE8doxDxmpe5GlFee	Não, Não Vou	Mari Fernandez	49	#4687d7	2021-09-01	Viral 50	bo
7LOR8Rdc5n2EkduOXZeTp6	Amend	j^p^n	50	#4687d7	2021-09-01	Viral 50	bo
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	1	#3e3e40	2021-09-02	Viral 50	bo
1hQ0VZZ2jz3WccDXI2oatO	La Cumbia Boliviana	Bonny Lovy	2	#3e3e40	2021-09-02	Viral 50	bo
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	3	#84bd00	2021-09-02	Viral 50	bo
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	4	#bd3200	2021-09-02	Viral 50	bo
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	5	#3e3e40	2021-09-02	Viral 50	bo
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	6	#3e3e40	2021-09-02	Viral 50	bo
6w8yBI2vthyN9UnwO4UBWb	Entre Nosotros	Tiago PZK, LIT killah	7	#84bd00	2021-09-02	Viral 50	bo
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	8	#bd3200	2021-09-02	Viral 50	bo
6szg6z5MWZKiojwcu5hRNX	Estoy Bien	Panther	9	#84bd00	2021-09-02	Viral 50	bo
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	10	#bd3200	2021-09-02	Viral 50	bo
7m2iTdEKAtiGULWnTIRhX2	Matatan	Kaleb Di Masi, Alan Gomez	11	#84bd00	2021-09-02	Viral 50	bo
4HzqWEdAbzcVFDv0pvxV4w	Sobrio	Maluma	12	#bd3200	2021-09-02	Viral 50	bo
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	13	#3e3e40	2021-09-02	Viral 50	bo
5liJEcanWV112vEe9uT8iP	Mon Amour	zzoilo	14	#bd3200	2021-09-02	Viral 50	bo
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	15	#84bd00	2021-09-02	Viral 50	bo
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	16	#bd3200	2021-09-02	Viral 50	bo
4lEVoOnIybtRqi4knZwdPZ	Sou Favela	MC Bruninho, Vitinho Ferrari, Dj DG, Batidão Stronda	17	#bd3200	2021-09-02	Viral 50	bo
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	18	#84bd00	2021-09-02	Viral 50	bo
4aXicRG47bBEcKXlDaSRwW	Turraka (Remix)	Kaleb Di Masi, Locura Mix	19	#84bd00	2021-09-02	Viral 50	bo
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	20	#bd3200	2021-09-02	Viral 50	bo
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	21	#bd3200	2021-09-02	Viral 50	bo
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	22	#3e3e40	2021-09-02	Viral 50	bo
4it6vaFbkGRUaQlwWUMg3v	Mi Debilidad	Maria Becerra	23	#84bd00	2021-09-02	Viral 50	bo
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	24	#84bd00	2021-09-02	Viral 50	bo
3znlxKwQTRVrrerCcZPus2	Tranquilísimo	Israel B, C. Tangana, LOWLIGHT	25	#bd3200	2021-09-02	Viral 50	bo
4OwhwvKESFtuu06dTgct7i	Tiroteo - Remix	Marc Seguí, Rauw Alejandro, Pol Granch	26	#bd3200	2021-09-02	Viral 50	bo
08TD3JtW8nc3NEgxaSBNbL	NO WAY	DONGURIZU	27	#bd3200	2021-09-02	Viral 50	bo
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	28	#84bd00	2021-09-02	Viral 50	bo
3Wrjm47oTz2sjIgck11l5e	Beggin'	Måneskin	29	#84bd00	2021-09-02	Viral 50	bo
1GYJpuLq41vEVKXiHGEY9j	Como Si No Importara	Emilia, Duki	30	#bd3200	2021-09-02	Viral 50	bo
7j98zmsysTeOe1cZrVnfXX	Tas Bella	Reggi El Autentico	31	#84bd00	2021-09-02	Viral 50	bo
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	32	#bd3200	2021-09-02	Viral 50	bo
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	33	#84bd00	2021-09-02	Viral 50	bo
367qNNXSy5vMzGjWVKaucj	Amor y Odio - Live	Grupo Histeria	34	#bd3200	2021-09-02	Viral 50	bo
0zO8ctW0UiuOefR87OeJOZ	Collard Greens	ScHoolboy Q, Kendrick Lamar	35	#84bd00	2021-09-02	Viral 50	bo
1gGhqfs2pDTOI30AEXMXrn	Alien Boy	Oliver Tree	36	#84bd00	2021-09-02	Viral 50	bo
25141FAgU1OmwoC9W2i5E3	Rolê	Tarcísio do Acordeon, Marcynho Sensação	37	#bd3200	2021-09-02	Viral 50	bo
25YMD8Bf1CiQvAsYz5Bq0p	Combi Nueva	Papichamp, Blunted Vato, L-Gante, Ecko	38	#84bd00	2021-09-02	Viral 50	bo
3T0DeQvOtdqd7Yo3t2Ig3N	Amnesia	La Santa Grifa	39	#bd3200	2021-09-02	Viral 50	bo
1jcElPv9lk5wnAOuBFydJ1	Te Quiero Dar Amor	Los Trampa, Fer Pérez	40	#84bd00	2021-09-02	Viral 50	bo
7LOR8Rdc5n2EkduOXZeTp6	Amend	j^p^n	41	#84bd00	2021-09-02	Viral 50	bo
0G2zPzWqVjR68iNPmx2TBe	Volando - Remix	Mora, Bad Bunny, Sech	42	#3e3e40	2021-09-02	Viral 50	bo
0Kdj7nwaYQmvhxnqZaIQuW	Bezos I	Bo Burnham	43	#bd3200	2021-09-02	Viral 50	bo
4Qa3hu2tsXgkxJoUrrVmDN	Ya No Vives en Mí	Grupo Histeria	44	#bd3200	2021-09-02	Viral 50	bo
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	45	#4687d7	2021-09-02	Viral 50	bo
2WYs5LxOZfEyURXu7V0O1a	Stay With Me	1nonly	46	#4687d7	2021-09-02	Viral 50	bo
2JPLbjOn0wPCngEot2STUS	Yonaguni	Bad Bunny	47	#4687d7	2021-09-02	Viral 50	bo
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	48	#bd3200	2021-09-02	Viral 50	bo
3Vi5XqYrmQgOYBajMWSvCi	Need to Know	Doja Cat	49	#bd3200	2021-09-02	Viral 50	bo
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	50	#bd3200	2021-09-02	Viral 50	bo
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	1	#3e3e40	2021-09-03	Viral 50	bo
1hQ0VZZ2jz3WccDXI2oatO	La Cumbia Boliviana	Bonny Lovy	2	#3e3e40	2021-09-03	Viral 50	bo
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	3	#84bd00	2021-09-03	Viral 50	bo
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	4	#bd3200	2021-09-03	Viral 50	bo
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	5	#bd3200	2021-09-03	Viral 50	bo
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	6	#3e3e40	2021-09-03	Viral 50	bo
6szg6z5MWZKiojwcu5hRNX	Estoy Bien	Panther	7	#84bd00	2021-09-03	Viral 50	bo
