ID	Track	Artist	Position	Trend	Date	Chart	market
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	1	#3e3e40	2021-09-01	Viral 50	ca
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	2	#3e3e40	2021-09-01	Viral 50	ca
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	3	#3e3e40	2021-09-01	Viral 50	ca
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	4	#3e3e40	2021-09-01	Viral 50	ca
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	5	#84bd00	2021-09-01	Viral 50	ca
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	6	#bd3200	2021-09-01	Viral 50	ca
1puprgnIxARMj8gR3Jj4B2	Just Drive	Erin Kinsey	7	#3e3e40	2021-09-01	Viral 50	ca
08hB2ERJV6A1Ntu3OHgzjh	FMRN	Lilyisthatyou	8	#84bd00	2021-09-01	Viral 50	ca
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	9	#bd3200	2021-09-01	Viral 50	ca
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	10	#84bd00	2021-09-01	Viral 50	ca
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	11	#3e3e40	2021-09-01	Viral 50	ca
2rOnSn2piaqLAlYjtfUBlY	"Raataan Lambiyan (From ""Shershaah"")"	Tanishk Bagchi, Jubin Nautiyal, Asees Kaur	12	#3e3e40	2021-09-01	Viral 50	ca
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	13	#bd3200	2021-09-01	Viral 50	ca
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	14	#bd3200	2021-09-01	Viral 50	ca
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	15	#84bd00	2021-09-01	Viral 50	ca
4ka1FkKAMde6dQAFFMXKac	i hope ur miserable until ur dead	Nessa Barrett	16	#84bd00	2021-09-01	Viral 50	ca
72zHuDxFQTjbL51qJQSA7j	"Ranjha (From ""Shershaah"")"	Jasleen Royal, B Praak, Romy, Anvita Dutt	17	#84bd00	2021-09-01	Viral 50	ca
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	18	#3e3e40	2021-09-01	Viral 50	ca
4s6vwFgPdCtidpEw8KuQT6	REPEAT IT (with Gunna)	Lil Tecca	19	#84bd00	2021-09-01	Viral 50	ca
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	20	#3e3e40	2021-09-01	Viral 50	ca
6OusKupi0NhfAmT8Ab06Tg	Suga Suga, Best I Ever Had	vandalgamble	21	#84bd00	2021-09-01	Viral 50	ca
7urtwZEtOypb3r8HNi42dT	Duvet	bôa	22	#3e3e40	2021-09-01	Viral 50	ca
3ZozFqJJlDBNIm4xqxn2ZD	Fancy Like	Walker Hayes	23	#84bd00	2021-09-01	Viral 50	ca
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	24	#84bd00	2021-09-01	Viral 50	ca
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	25	#bd3200	2021-09-01	Viral 50	ca
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	26	#84bd00	2021-09-01	Viral 50	ca
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	27	#84bd00	2021-09-01	Viral 50	ca
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	28	#84bd00	2021-09-01	Viral 50	ca
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	29	#84bd00	2021-09-01	Viral 50	ca
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	30	#bd3200	2021-09-01	Viral 50	ca
6yMk0XGciyyxjxj3Efi9in	Hey Now (Iko Iko)	RadioClub, Alx Veliz, Altur Santos	31	#3e3e40	2021-09-01	Viral 50	ca
1aFP0G0GHQAAH9gfC95wT1	EAT SPIT! (feat. Royal & the Serpent)	Slush Puppy	32	#84bd00	2021-09-01	Viral 50	ca
1EYeZGTMCjV7uVey5fNWXM	love nwantiti (feat. ElGrande Toto) - North African Remix	CKay, ElGrandeToto	33	#84bd00	2021-09-01	Viral 50	ca
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	34	#84bd00	2021-09-01	Viral 50	ca
3Wrjm47oTz2sjIgck11l5e	Beggin'	Måneskin	35	#84bd00	2021-09-01	Viral 50	ca
