ID	Track	Artist	Position	Trend	Date	Chart	market
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	1	#3e3e40	2021-09-01	Viral 50	ch
4c1TXKNAh4yb5cb0zE3x1X	MDMA	Little Sis Nora	2	#84bd00	2021-09-01	Viral 50	ch
0RSZ8EmUPEN3ySfCgytPke	Auf & Ab	Montez	3	#3e3e40	2021-09-01	Viral 50	ch
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	4	#84bd00	2021-09-01	Viral 50	ch
5Kba6Aixt9oJuKtjN5scL3	Love Nwantiti - Remix	Dj Yo!, CKay, AX'EL	5	#3e3e40	2021-09-01	Viral 50	ch
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	6	#3e3e40	2021-09-01	Viral 50	ch
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	7	#84bd00	2021-09-01	Viral 50	ch
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	8	#3e3e40	2021-09-01	Viral 50	ch
41Prisi10mD8V4tLn1wh7v	SOMMERNACHT	Benaddict, Keddi, Burrberg	9	#84bd00	2021-09-01	Viral 50	ch
1sajOsIfI8ncxrb1I7Ak5D	El Anciano y el Niño	Cheo Gallego	10	#84bd00	2021-09-01	Viral 50	ch
1ktyKCzfI8hooCJP3X2yP5	uNa DiReZioNe giUsTa	yungest Moonstar, Neffa, tha Supreme	11	#3e3e40	2021-09-01	Viral 50	ch
5Z7J2Au61uO7K1ZPNG1eTv	61 Grad	Endzone, TM	12	#84bd00	2021-09-01	Viral 50	ch
63bkENlGneIECKtJuHOKOp	Babel - Original Mix	Gustavo Bravetty	13	#bd3200	2021-09-01	Viral 50	ch
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	14	#3e3e40	2021-09-01	Viral 50	ch
1EYeZGTMCjV7uVey5fNWXM	love nwantiti (feat. ElGrande Toto) - North African Remix	CKay, ElGrandeToto	15	#84bd00	2021-09-01	Viral 50	ch
0wCWfjqo0FV1CDseDGD0cV	Two Years Clear	Idi Akz	16	#84bd00	2021-09-01	Viral 50	ch
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	17	#84bd00	2021-09-01	Viral 50	ch
0IF4B98sMyCv1lZjpS1FGz	Bilmem Mi?	Sefo	18	#84bd00	2021-09-01	Viral 50	ch
2Lm5JYv2QaaPx204pMB4Qy	Gatluak - Bakermat Remix	Kronan, Nyaruach	19	#84bd00	2021-09-01	Viral 50	ch
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	20	#84bd00	2021-09-01	Viral 50	ch
0nt3N1wLaVpbP1zxm4YEqX	Blocks & Ghettos	OE63, DEDO	21	#84bd00	2021-09-01	Viral 50	ch
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	22	#84bd00	2021-09-01	Viral 50	ch
0Icz81C3Wp2tguz4up3M2O	Chueche	LCone, Mimiks	23	#84bd00	2021-09-01	Viral 50	ch
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	24	#84bd00	2021-09-01	Viral 50	ch
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	25	#bd3200	2021-09-01	Viral 50	ch
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	26	#bd3200	2021-09-01	Viral 50	ch
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	27	#bd3200	2021-09-01	Viral 50	ch
0xfMlIW8lS40qvpsUw1l0X	Never Going Home	Kungs	28	#84bd00	2021-09-01	Viral 50	ch
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	29	#84bd00	2021-09-01	Viral 50	ch
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	30	#3e3e40	2021-09-01	Viral 50	ch
7fvaNCAFYAx6ny6C5i5Hab	Tigini	Kikimoteleba	31	#84bd00	2021-09-01	Viral 50	ch
3svmi1v7HMlyYb7Pnossz6	Fahrradsattel	Pisse	32	#84bd00	2021-09-01	Viral 50	ch
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	33	#bd3200	2021-09-01	Viral 50	ch
3uUuGVFu1V7jTQL60S1r8z	Where Are You Now	Lost Frequencies, Calum Scott	34	#84bd00	2021-09-01	Viral 50	ch
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	35	#bd3200	2021-09-01	Viral 50	ch
3CLSHJv5aUROAN2vfOyCOh	Close Eyes	DVRST	36	#84bd00	2021-09-01	Viral 50	ch
02MWAaffLxlfxAUY7c5dvx	Heat Waves	Glass Animals	37	#84bd00	2021-09-01	Viral 50	ch
7r9KkTYiFYMuNcGR4aySxh	Ça canarde	Bolémvn, Guy2bezbar	38	#84bd00	2021-09-01	Viral 50	ch
