ID	Track	Artist	Position	Trend	Date	Chart	market
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	1	#3e3e40	2021-09-01	Viral 50	cl
08TD3JtW8nc3NEgxaSBNbL	NO WAY	DONGURIZU	2	#3e3e40	2021-09-01	Viral 50	cl
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	3	#3e3e40	2021-09-01	Viral 50	cl
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	4	#3e3e40	2021-09-01	Viral 50	cl
1j1itFzuIbndSf6lW8L1Kx	Dimelo Ma	Pailita, Marcianeke	5	#84bd00	2021-09-01	Viral 50	cl
6w8yBI2vthyN9UnwO4UBWb	Entre Nosotros	Tiago PZK, LIT killah	6	#bd3200	2021-09-01	Viral 50	cl
5liJEcanWV112vEe9uT8iP	Mon Amour	zzoilo	7	#84bd00	2021-09-01	Viral 50	cl
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	8	#bd3200	2021-09-01	Viral 50	cl
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	9	#3e3e40	2021-09-01	Viral 50	cl
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	10	#3e3e40	2021-09-01	Viral 50	cl
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	11	#3e3e40	2021-09-01	Viral 50	cl
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	12	#3e3e40	2021-09-01	Viral 50	cl
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	13	#3e3e40	2021-09-01	Viral 50	cl
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	14	#3e3e40	2021-09-01	Viral 50	cl
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	15	#3e3e40	2021-09-01	Viral 50	cl
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	16	#84bd00	2021-09-01	Viral 50	cl
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	17	#84bd00	2021-09-01	Viral 50	cl
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	18	#bd3200	2021-09-01	Viral 50	cl
7bx66Je824Iak8c1CfsMrE	Dos Problemas (feat. Big Soto) - Remix	Blessd, Javiielo, Neutro Shorty	19	#bd3200	2021-09-01	Viral 50	cl
1deiUNiSFJRwcQte5hG5tx	No Se Piken	Marcianeke	20	#84bd00	2021-09-01	Viral 50	cl
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	21	#bd3200	2021-09-01	Viral 50	cl
4it6vaFbkGRUaQlwWUMg3v	Mi Debilidad	Maria Becerra	22	#bd3200	2021-09-01	Viral 50	cl
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	23	#84bd00	2021-09-01	Viral 50	cl
4HzqWEdAbzcVFDv0pvxV4w	Sobrio	Maluma	24	#bd3200	2021-09-01	Viral 50	cl
0G2zPzWqVjR68iNPmx2TBe	Volando - Remix	Mora, Bad Bunny, Sech	25	#bd3200	2021-09-01	Viral 50	cl
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	26	#bd3200	2021-09-01	Viral 50	cl
