ID	Track	Artist	Position	Trend	Date	Chart	market
5liJEcanWV112vEe9uT8iP	Mon Amour	zzoilo	1	#3e3e40	2021-09-01	Viral 50	co
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	2	#84bd00	2021-09-01	Viral 50	co
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	3	#bd3200	2021-09-01	Viral 50	co
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	4	#3e3e40	2021-09-01	Viral 50	co
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	5	#84bd00	2021-09-01	Viral 50	co
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	6	#bd3200	2021-09-01	Viral 50	co
08TD3JtW8nc3NEgxaSBNbL	NO WAY	DONGURIZU	7	#3e3e40	2021-09-01	Viral 50	co
17jcYtUYRhpPL19fDedfTD	Wasa Wasa	Ryan Castro	8	#3e3e40	2021-09-01	Viral 50	co
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	9	#84bd00	2021-09-01	Viral 50	co
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	10	#3e3e40	2021-09-01	Viral 50	co
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	11	#bd3200	2021-09-01	Viral 50	co
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	12	#3e3e40	2021-09-01	Viral 50	co
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	13	#3e3e40	2021-09-01	Viral 50	co
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	14	#84bd00	2021-09-01	Viral 50	co
6w8yBI2vthyN9UnwO4UBWb	Entre Nosotros	Tiago PZK, LIT killah	15	#bd3200	2021-09-01	Viral 50	co
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	16	#bd3200	2021-09-01	Viral 50	co
57pkksnRS4NOOphTmoRlK2	TENGO FE	Feid	17	#3e3e40	2021-09-01	Viral 50	co
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	18	#84bd00	2021-09-01	Viral 50	co
7bx66Je824Iak8c1CfsMrE	Dos Problemas (feat. Big Soto) - Remix	Blessd, Javiielo, Neutro Shorty	19	#3e3e40	2021-09-01	Viral 50	co
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	20	#bd3200	2021-09-01	Viral 50	co
4OwhwvKESFtuu06dTgct7i	Tiroteo - Remix	Marc Seguí, Rauw Alejandro, Pol Granch	21	#3e3e40	2021-09-01	Viral 50	co
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	22	#84bd00	2021-09-01	Viral 50	co
6szg6z5MWZKiojwcu5hRNX	Estoy Bien	Panther	23	#84bd00	2021-09-01	Viral 50	co
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	24	#bd3200	2021-09-01	Viral 50	co
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	25	#84bd00	2021-09-01	Viral 50	co
0G2zPzWqVjR68iNPmx2TBe	Volando - Remix	Mora, Bad Bunny, Sech	26	#bd3200	2021-09-01	Viral 50	co
2Ad2z36FfaipB3Y4ZqtopV	Chica 10	Fusion Perreo	27	#bd3200	2021-09-01	Viral 50	co
4HzqWEdAbzcVFDv0pvxV4w	Sobrio	Maluma	28	#bd3200	2021-09-01	Viral 50	co
5HNjGi0qYXvZgksCYRVXAH	Todo Lo Bueno Tarda	Alcolirykoz	29	#bd3200	2021-09-01	Viral 50	co
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	30	#84bd00	2021-09-01	Viral 50	co
2rDZhKnPaPG054ExZ6nXUS	Jordan	Ryan Castro	31	#bd3200	2021-09-01	Viral 50	co
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	32	#84bd00	2021-09-01	Viral 50	co
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	33	#bd3200	2021-09-01	Viral 50	co
0aZnyTWJNgdzYoOiaW8HKG	200 COPAS	KAROL G	34	#84bd00	2021-09-01	Viral 50	co
6q4yEf6ZZzYls2e4rM6fnK	Muy Feliz	Ñejo	35	#84bd00	2021-09-01	Viral 50	co
3Hkwda6lrxNew2NDgZCBKa	Insuficiente	Sael, Beéle	36	#bd3200	2021-09-01	Viral 50	co
5PSgIaJp6mjIoO5y8kNkrK	Hace Tiempo	Blessd, The Rudeboyz	37	#84bd00	2021-09-01	Viral 50	co
3Wrjm47oTz2sjIgck11l5e	Beggin'	Måneskin	38	#84bd00	2021-09-01	Viral 50	co
0Kdj7nwaYQmvhxnqZaIQuW	Bezos I	Bo Burnham	39	#84bd00	2021-09-01	Viral 50	co
6pAgwmKrBsZvDtlQ2lniK3	Guaracha Con Ñejo	Marco Acevedo	40	#84bd00	2021-09-01	Viral 50	co
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	41	#84bd00	2021-09-01	Viral 50	co
4lEVoOnIybtRqi4knZwdPZ	Sou Favela	MC Bruninho, Vitinho Ferrari, Dj DG, Batidão Stronda	42	#4687d7	2021-09-01	Viral 50	co
3PwRuzdphgedcWVUOVYJ7I	Cúrame	Rauw Alejandro	43	#bd3200	2021-09-01	Viral 50	co
3znlxKwQTRVrrerCcZPus2	Tranquilísimo	Israel B, C. Tangana, LOWLIGHT	44	#bd3200	2021-09-01	Viral 50	co
0cOa970mzTWAxKtltpkpLc	Miénteme	TINI, Maria Becerra	45	#bd3200	2021-09-01	Viral 50	co
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	46	#bd3200	2021-09-01	Viral 50	co
2WYs5LxOZfEyURXu7V0O1a	Stay With Me	1nonly	47	#3e3e40	2021-09-01	Viral 50	co
2JPLbjOn0wPCngEot2STUS	Yonaguni	Bad Bunny	48	#84bd00	2021-09-01	Viral 50	co
