ID	Track	Artist	Position	Trend	Date	Chart	market
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	1	#3e3e40	2021-09-01	Viral 50	cr
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	2	#3e3e40	2021-09-01	Viral 50	cr
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	3	#3e3e40	2021-09-01	Viral 50	cr
3jPUbilmePvykBke2Jx1sQ	Quédate - Remix	Victor Medina, DEEIKEL, Alejandro Luna, KAVVO, Estradda	4	#3e3e40	2021-09-01	Viral 50	cr
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	5	#84bd00	2021-09-01	Viral 50	cr
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	6	#bd3200	2021-09-01	Viral 50	cr
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	7	#84bd00	2021-09-01	Viral 50	cr
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	8	#bd3200	2021-09-01	Viral 50	cr
6w8yBI2vthyN9UnwO4UBWb	Entre Nosotros	Tiago PZK, LIT killah	9	#bd3200	2021-09-01	Viral 50	cr
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	10	#3e3e40	2021-09-01	Viral 50	cr
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	11	#84bd00	2021-09-01	Viral 50	cr
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	12	#84bd00	2021-09-01	Viral 50	cr
08TD3JtW8nc3NEgxaSBNbL	NO WAY	DONGURIZU	13	#84bd00	2021-09-01	Viral 50	cr
7bx66Je824Iak8c1CfsMrE	Dos Problemas (feat. Big Soto) - Remix	Blessd, Javiielo, Neutro Shorty	14	#bd3200	2021-09-01	Viral 50	cr
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	15	#bd3200	2021-09-01	Viral 50	cr
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	16	#3e3e40	2021-09-01	Viral 50	cr
2WrxGpnCvpwiQkcHDDmVXc	Bad	Blaiz Fayah, Tribal Kush	17	#3e3e40	2021-09-01	Viral 50	cr
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	18	#84bd00	2021-09-01	Viral 50	cr
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	19	#84bd00	2021-09-01	Viral 50	cr
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	20	#bd3200	2021-09-01	Viral 50	cr
4HzqWEdAbzcVFDv0pvxV4w	Sobrio	Maluma	21	#84bd00	2021-09-01	Viral 50	cr
4OwhwvKESFtuu06dTgct7i	Tiroteo - Remix	Marc Seguí, Rauw Alejandro, Pol Granch	22	#3e3e40	2021-09-01	Viral 50	cr
6szg6z5MWZKiojwcu5hRNX	Estoy Bien	Panther	23	#bd3200	2021-09-01	Viral 50	cr
5liJEcanWV112vEe9uT8iP	Mon Amour	zzoilo	24	#84bd00	2021-09-01	Viral 50	cr
0G2zPzWqVjR68iNPmx2TBe	Volando - Remix	Mora, Bad Bunny, Sech	25	#3e3e40	2021-09-01	Viral 50	cr
3znlxKwQTRVrrerCcZPus2	Tranquilísimo	Israel B, C. Tangana, LOWLIGHT	26	#84bd00	2021-09-01	Viral 50	cr
5RhWszHMSKzb7KiXk4Ae0M	One Last Kiss	Hikaru Utada	27	#bd3200	2021-09-01	Viral 50	cr
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	28	#bd3200	2021-09-01	Viral 50	cr
63aj87TQG6F3RVO5nbG2VQ	In Da Getto	J Balvin, Skrillex	29	#84bd00	2021-09-01	Viral 50	cr
