ID	Track	Artist	Position	Trend	Date	Chart	market
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	1	#84bd00	2021-09-01	Viral 50	cy
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	2	#3e3e40	2021-09-01	Viral 50	cy
3DbiL7GTCopFHk9t9qpDut	Latina	Leaderbrain, RICTA	3	#bd3200	2021-09-01	Viral 50	cy
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	4	#bd3200	2021-09-01	Viral 50	cy
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	5	#3e3e40	2021-09-01	Viral 50	cy
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	6	#84bd00	2021-09-01	Viral 50	cy
0IF4B98sMyCv1lZjpS1FGz	Bilmem Mi?	Sefo	7	#bd3200	2021-09-01	Viral 50	cy
6tfajS9NU9zqfOZdByVbV1	S' Agapao	Nikos Vertis	8	#84bd00	2021-09-01	Viral 50	cy
1n5p8hMkO5RJsePA9NFi9x	XCM (Xapiacocomayro)	Bossikan, Chico Beatz	9	#bd3200	2021-09-01	Viral 50	cy
1riBwVUqVsk5RGJ9iLN8cG	Bul Beni	Ezhel	10	#84bd00	2021-09-01	Viral 50	cy
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	11	#84bd00	2021-09-01	Viral 50	cy
1m0UFnuTktOkksvjbF9z0m	Ramenez la coupe à la maison	Vegedream	12	#bd3200	2021-09-01	Viral 50	cy
4x4io9GDTPPetji4i06L6c	Checks	Saske, Hawk, Grandbois	13	#84bd00	2021-09-01	Viral 50	cy
3Vi5XqYrmQgOYBajMWSvCi	Need to Know	Doja Cat	14	#3e3e40	2021-09-01	Viral 50	cy
1sx0XsWUusUoPstbvokZjP	A-O-K	Tai Verdes	15	#3e3e40	2021-09-01	Viral 50	cy
5N1eryUOWd5UECQeR5aDfW	Gia Sena	Stavento, Ivi Adamou	16	#3e3e40	2021-09-01	Viral 50	cy
3xcSTAxSTwfx0A4Ly68dfW	Leyla	DJ.Silence, RICTA	17	#84bd00	2021-09-01	Viral 50	cy
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	18	#bd3200	2021-09-01	Viral 50	cy
63aj87TQG6F3RVO5nbG2VQ	In Da Getto	J Balvin, Skrillex	19	#84bd00	2021-09-01	Viral 50	cy
6PQ88X9TkUIAUIZJHW2upE	Bad Habits	Ed Sheeran	20	#3e3e40	2021-09-01	Viral 50	cy
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	21	#3e3e40	2021-09-01	Viral 50	cy
5L9oweGjkwBg0Mt9ZU9OhW	GECELERİN DERDİ	BEGE	22	#3e3e40	2021-09-01	Viral 50	cy
45tKbJjhOIrURcjLNfjLye	Funky	Fy, Display	23	#bd3200	2021-09-01	Viral 50	cy
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	24	#bd3200	2021-09-01	Viral 50	cy
0zO8ctW0UiuOefR87OeJOZ	Collard Greens	ScHoolboy Q, Kendrick Lamar	25	#84bd00	2021-09-01	Viral 50	cy
0W6I02J9xcqK8MtSeosEXb	Get Into It (Yuh)	Doja Cat	26	#84bd00	2021-09-01	Viral 50	cy
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	27	#4687d7	2021-09-01	Viral 50	cy
3yaYgjEFkRw3PVjW9mV1TO	Over The Top (feat. Drake)	Smiley	28	#84bd00	2021-09-01	Viral 50	cy
3zBQ2UMvENN6d4k6Yqze5c	I Milia	Vasiliki Xatziadamou, Dj Pietro	29	#84bd00	2021-09-01	Viral 50	cy
