ID	Track	Artist	Position	Trend	Date	Chart	market
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	1	#84bd00	2021-09-01	Viral 50	cz
1gyocFTTRcwwbCR2JRWX6j	Ledový Srdce	Lukáš Kril	2	#84bd00	2021-09-01	Viral 50	cz
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	3	#3e3e40	2021-09-01	Viral 50	cz
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	4	#bd3200	2021-09-01	Viral 50	cz
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	5	#3e3e40	2021-09-01	Viral 50	cz
5gvJcUW1z7PfQPWcr8ZwBA	Sám	SIMILIVINLIFE	6	#3e3e40	2021-09-01	Viral 50	cz
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	7	#3e3e40	2021-09-01	Viral 50	cz
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	8	#84bd00	2021-09-01	Viral 50	cz
302zIkWq3gT9BEorlYcgXU	13. komnata	Nik Tendo	9	#bd3200	2021-09-01	Viral 50	cz
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	10	#84bd00	2021-09-01	Viral 50	cz
1esZgaqm0YKN87CIP3orJ3	Rampampam	Minelli	11	#bd3200	2021-09-01	Viral 50	cz
0G37XrBzAwCcyqFEm43lef	INCOMING	MC ORSEN	12	#3e3e40	2021-09-01	Viral 50	cz
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	13	#84bd00	2021-09-01	Viral 50	cz
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	14	#84bd00	2021-09-01	Viral 50	cz
2Mn1UQics0dmGCMtpFeyJ8	Podvod (Píseň k filmu Shoky & Morthy: Poslední velká akce)	Calin	15	#84bd00	2021-09-01	Viral 50	cz
02MWAaffLxlfxAUY7c5dvx	Heat Waves	Glass Animals	16	#84bd00	2021-09-01	Viral 50	cz
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	17	#3e3e40	2021-09-01	Viral 50	cz
3gmixiypICXCStLl8Csj0d	Jakooo - Club Edit	Rene Rendy, Cico Band, Stylo	18	#3e3e40	2021-09-01	Viral 50	cz
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	19	#84bd00	2021-09-01	Viral 50	cz
3CLSHJv5aUROAN2vfOyCOh	Close Eyes	DVRST	20	#3e3e40	2021-09-01	Viral 50	cz
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	21	#84bd00	2021-09-01	Viral 50	cz
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	22	#84bd00	2021-09-01	Viral 50	cz
5Vh4cFonbm0XdIyJIyrlPO	Explosion	Kalwi & Remi	23	#4687d7	2021-09-01	Viral 50	cz
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	24	#84bd00	2021-09-01	Viral 50	cz
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	25	#bd3200	2021-09-01	Viral 50	cz
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	26	#84bd00	2021-09-01	Viral 50	cz
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	27	#3e3e40	2021-09-01	Viral 50	cz
0pNpeui9k9aDXz2GuNrLa6	With You Forever	Floerk	28	#84bd00	2021-09-01	Viral 50	cz
1gnSosKDAUGYPTkTLiG5DW	Smells Like Teen Spirit	Malia J	29	#bd3200	2021-09-01	Viral 50	cz
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	30	#bd3200	2021-09-01	Viral 50	cz
7J4zszAZxAyowZp7gNUIUI	Bongo Cha Cha Cha	Goodboys	31	#bd3200	2021-09-01	Viral 50	cz
7wvhiIXKMCeE39WpRDnLHT	S.P.J.D.	Nik Tendo	32	#3e3e40	2021-09-01	Viral 50	cz
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	33	#bd3200	2021-09-01	Viral 50	cz
1xBzdAWY3HWy93IFxEaRpI	Up And Away	Cutthroat Mode, Stone II, A Dough, Nam$, Rob Lo	34	#84bd00	2021-09-01	Viral 50	cz
5ndylO3VZAhTRIARJFD0a5	Kamaz	DJ Blyatman, длб	35	#bd3200	2021-09-01	Viral 50	cz
23OCmW1EsawtZSK0J2AUHT	Cake	Aflacko	36	#84bd00	2021-09-01	Viral 50	cz
63bkENlGneIECKtJuHOKOp	Babel - Original Mix	Gustavo Bravetty	37	#bd3200	2021-09-01	Viral 50	cz
0Kdj7nwaYQmvhxnqZaIQuW	Bezos I	Bo Burnham	38	#bd3200	2021-09-01	Viral 50	cz
