ID	Track	Artist	Position	Trend	Date	Chart	market
6n7gZTdKDiY4CduwBpkgnX	Jet Set - Single Version	Carmen Geiss	1	#84bd00	2021-09-01	Viral 50	de
0RSZ8EmUPEN3ySfCgytPke	Auf & Ab	Montez	2	#84bd00	2021-09-01	Viral 50	de
1sajOsIfI8ncxrb1I7Ak5D	El Anciano y el Niño	Cheo Gallego	3	#84bd00	2021-09-01	Viral 50	de
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	4	#3e3e40	2021-09-01	Viral 50	de
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	5	#3e3e40	2021-09-01	Viral 50	de
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	6	#3e3e40	2021-09-01	Viral 50	de
41Prisi10mD8V4tLn1wh7v	SOMMERNACHT	Benaddict, Keddi, Burrberg	7	#84bd00	2021-09-01	Viral 50	de
4c1TXKNAh4yb5cb0zE3x1X	MDMA	Little Sis Nora	8	#84bd00	2021-09-01	Viral 50	de
7gWdZXq8xgtcOzjphw3lzY	Weird	treason434	9	#bd3200	2021-09-01	Viral 50	de
63bkENlGneIECKtJuHOKOp	Babel - Original Mix	Gustavo Bravetty	10	#84bd00	2021-09-01	Viral 50	de
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	11	#84bd00	2021-09-01	Viral 50	de
41ngKTaU0RRMqTthKQjdtV	Flötenmann	Adlersson	12	#84bd00	2021-09-01	Viral 50	de
5Z7J2Au61uO7K1ZPNG1eTv	61 Grad	Endzone, TM	13	#3e3e40	2021-09-01	Viral 50	de
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	14	#84bd00	2021-09-01	Viral 50	de
0IF4B98sMyCv1lZjpS1FGz	Bilmem Mi?	Sefo	15	#84bd00	2021-09-01	Viral 50	de
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	16	#bd3200	2021-09-01	Viral 50	de
0nt3N1wLaVpbP1zxm4YEqX	Blocks & Ghettos	OE63, DEDO	17	#84bd00	2021-09-01	Viral 50	de
5STeQZH1Ahz3h0X9Njaij7	Crashen	t-low	18	#3e3e40	2021-09-01	Viral 50	de
6VvejbGJaeIuV0ex3UFcJB	HIGH	Michal Manis	19	#84bd00	2021-09-01	Viral 50	de
5rfLzxnzbMECw9yY82MppO	Summer of 19	Pelican, Sherwee, Ann Christine	20	#84bd00	2021-09-01	Viral 50	de
2e9SUhfqprCWCWNXcZNjxP	Für dich (feat. ille & MABU)	lityway, yungfijay	21	#84bd00	2021-09-01	Viral 50	de
4nfpbsiYbB0TVBOeJ7X7Z0	"What A Life - From the Motion Picture ""Another Round"""	Scarlet Pleasure	22	#3e3e40	2021-09-01	Viral 50	de
37br711fP398QZaWfIILNS	In Meinem Kopf (feat. Helena Fin)	FACE	23	#84bd00	2021-09-01	Viral 50	de
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	24	#3e3e40	2021-09-01	Viral 50	de
08hB2ERJV6A1Ntu3OHgzjh	FMRN	Lilyisthatyou	25	#84bd00	2021-09-01	Viral 50	de
3uUuGVFu1V7jTQL60S1r8z	Where Are You Now	Lost Frequencies, Calum Scott	26	#bd3200	2021-09-01	Viral 50	de
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	27	#84bd00	2021-09-01	Viral 50	de
1EYeZGTMCjV7uVey5fNWXM	love nwantiti (feat. ElGrande Toto) - North African Remix	CKay, ElGrandeToto	28	#84bd00	2021-09-01	Viral 50	de
2ITdSjNh01emkEeqq5JpvC	Low (Remix)	Coffin EDM	29	#84bd00	2021-09-01	Viral 50	de
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	30	#84bd00	2021-09-01	Viral 50	de
6gSXG57Sp2BmdEXMCopTIF	HAB NUR EINE BITTE.	Lune	31	#84bd00	2021-09-01	Viral 50	de
7Eyfmn0zcgcjGUrWlFdgqa	Федерико Феллини	Galibri & Mavik	32	#84bd00	2021-09-01	Viral 50	de
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	33	#84bd00	2021-09-01	Viral 50	de
7tlCsNvET3vxLe2nHbJyuO	Dämonen	Liyah, 18 Karat	34	#bd3200	2021-09-01	Viral 50	de
7x9muTyzOCEiqZlipaoVTv	Bunte Papiere	Sukanimm	35	#3e3e40	2021-09-01	Viral 50	de
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	36	#84bd00	2021-09-01	Viral 50	de
36CB6wN1wa02PsBQoiU0rR	Frozen	Matti	37	#84bd00	2021-09-01	Viral 50	de
1dIWPXMX4kRHj6Dt2DStUQ	Chosen (feat. Ty Dolla $ign)	Blxst, Tyga	38	#84bd00	2021-09-01	Viral 50	de
7fvaNCAFYAx6ny6C5i5Hab	Tigini	Kikimoteleba	39	#bd3200	2021-09-01	Viral 50	de
07rLNikEXdDqcx9CSXgXjY	Traum	Akros, Scutta, Pbb Yea	40	#84bd00	2021-09-01	Viral 50	de
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	41	#bd3200	2021-09-01	Viral 50	de
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	42	#84bd00	2021-09-01	Viral 50	de
06sSAsjNx4eJawyXY3SXgB	Vamos a Marte (feat. Luis Fonsi)	Helene Fischer	43	#84bd00	2021-09-01	Viral 50	de
4bnutybG1itDcpyoQo2Uoc	Habit	Laurell	44	#84bd00	2021-09-01	Viral 50	de
7KWepVXoO7Tbo7zWNtjrvC	Speed of Light	Drive With Beats, Beachbag	45	#84bd00	2021-09-01	Viral 50	de
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	46	#bd3200	2021-09-01	Viral 50	de
63aj87TQG6F3RVO5nbG2VQ	In Da Getto	J Balvin, Skrillex	47	#4687d7	2021-09-01	Viral 50	de
