ID	Track	Artist	Position	Trend	Date	Chart	market
7bZED620EMqO3mFTG7yQnq	Bad Boy	Anders Matthesen	1	#3e3e40	2021-09-01	Viral 50	dk
4vvmQKBfywGuVG40QWVvlh	Lige Nu	Josef	2	#3e3e40	2021-09-01	Viral 50	dk
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	3	#3e3e40	2021-09-01	Viral 50	dk
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	4	#3e3e40	2021-09-01	Viral 50	dk
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	5	#3e3e40	2021-09-01	Viral 50	dk
2muh7P8rylTiI0IJIn2d3z	Vvvalsta	VC Barre	6	#3e3e40	2021-09-01	Viral 50	dk
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	7	#3e3e40	2021-09-01	Viral 50	dk
2USlegnFJLrVLpoVfPimKB	Thunder	Gabry Ponte, LUM!X, Prezioso	8	#3e3e40	2021-09-01	Viral 50	dk
0W7brFokN6QtGRNp32RCQP	Alone With You	Arz	9	#3e3e40	2021-09-01	Viral 50	dk
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	10	#3e3e40	2021-09-01	Viral 50	dk
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	11	#84bd00	2021-09-01	Viral 50	dk
0wCWfjqo0FV1CDseDGD0cV	Two Years Clear	Idi Akz	12	#3e3e40	2021-09-01	Viral 50	dk
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	13	#bd3200	2021-09-01	Viral 50	dk
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	14	#3e3e40	2021-09-01	Viral 50	dk
0AEd8cP7Rf7UmcErWxt1qT	Du & Jeg (Gobs X Jimilian)	Gobs	15	#84bd00	2021-09-01	Viral 50	dk
1EYeZGTMCjV7uVey5fNWXM	love nwantiti (feat. ElGrande Toto) - North African Remix	CKay, ElGrandeToto	16	#84bd00	2021-09-01	Viral 50	dk
0IF4B98sMyCv1lZjpS1FGz	Bilmem Mi?	Sefo	17	#bd3200	2021-09-01	Viral 50	dk
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	18	#3e3e40	2021-09-01	Viral 50	dk
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	19	#84bd00	2021-09-01	Viral 50	dk
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	20	#bd3200	2021-09-01	Viral 50	dk
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	21	#84bd00	2021-09-01	Viral 50	dk
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	22	#3e3e40	2021-09-01	Viral 50	dk
5UZRiz52aaoW64Sp88qVQc	Rollin' (feat. Burna Boy)	MIST	23	#bd3200	2021-09-01	Viral 50	dk
787vzoY5gXpRi2LeFVh16L	Makaveli	S1sco, Benny Jamz	24	#84bd00	2021-09-01	Viral 50	dk
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	25	#84bd00	2021-09-01	Viral 50	dk
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	26	#bd3200	2021-09-01	Viral 50	dk
2GajeoOS17ifAmYX8xxPZw	Ibiza	Benny Jamz, Gilli, KESI, B.O.C	27	#84bd00	2021-09-01	Viral 50	dk
4hsTQQgfBnBgtBkTGKWS1G	Samma gamla vanliga	A36	28	#84bd00	2021-09-01	Viral 50	dk
6PQ88X9TkUIAUIZJHW2upE	Bad Habits	Ed Sheeran	29	#84bd00	2021-09-01	Viral 50	dk
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	30	#bd3200	2021-09-01	Viral 50	dk
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	31	#84bd00	2021-09-01	Viral 50	dk
3EmBn7AWEv5DETtMba53G2	Overwhelmed (Ryan Mack Remix)	Ryan Mack	32	#bd3200	2021-09-01	Viral 50	dk
1a9j0kZZE9WesPtiNJ8Ght	DAARLIGT	FABRÄK	33	#84bd00	2021-09-01	Viral 50	dk
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	34	#bd3200	2021-09-01	Viral 50	dk
5UD0klPzPLSJTmdJoHEugt	Det Her	Emil Lange	35	#84bd00	2021-09-01	Viral 50	dk
3uUuGVFu1V7jTQL60S1r8z	Where Are You Now	Lost Frequencies, Calum Scott	36	#bd3200	2021-09-01	Viral 50	dk
54AtiA08i3sDfJYsBYZHPw	Diamond in the rough	Arik Ancelin	37	#bd3200	2021-09-01	Viral 50	dk
7urtwZEtOypb3r8HNi42dT	Duvet	bôa	38	#84bd00	2021-09-01	Viral 50	dk
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	39	#84bd00	2021-09-01	Viral 50	dk
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	40	#84bd00	2021-09-01	Viral 50	dk
5Z8Dj3LtbyCMiwE86rhg2f	Marea (We’ve Lost Dancing)	Fred again.., The Blessed Madonna	41	#bd3200	2021-09-01	Viral 50	dk
4bnutybG1itDcpyoQo2Uoc	Habit	Laurell	42	#bd3200	2021-09-01	Viral 50	dk
4s6vwFgPdCtidpEw8KuQT6	REPEAT IT (with Gunna)	Lil Tecca	43	#bd3200	2021-09-01	Viral 50	dk
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	44	#84bd00	2021-09-01	Viral 50	dk
