ID	Track	Artist	Position	Trend	Date	Chart	market
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	1	#3e3e40	2021-09-01	Viral 50	ec
5liJEcanWV112vEe9uT8iP	Mon Amour	zzoilo	2	#3e3e40	2021-09-01	Viral 50	ec
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	3	#3e3e40	2021-09-01	Viral 50	ec
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	4	#3e3e40	2021-09-01	Viral 50	ec
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	5	#3e3e40	2021-09-01	Viral 50	ec
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	6	#3e3e40	2021-09-01	Viral 50	ec
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	7	#3e3e40	2021-09-01	Viral 50	ec
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	8	#84bd00	2021-09-01	Viral 50	ec
4lEVoOnIybtRqi4knZwdPZ	Sou Favela	MC Bruninho, Vitinho Ferrari, Dj DG, Batidão Stronda	9	#84bd00	2021-09-01	Viral 50	ec
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	10	#84bd00	2021-09-01	Viral 50	ec
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	11	#84bd00	2021-09-01	Viral 50	ec
6w8yBI2vthyN9UnwO4UBWb	Entre Nosotros	Tiago PZK, LIT killah	12	#84bd00	2021-09-01	Viral 50	ec
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	13	#3e3e40	2021-09-01	Viral 50	ec
08TD3JtW8nc3NEgxaSBNbL	NO WAY	DONGURIZU	14	#bd3200	2021-09-01	Viral 50	ec
4HzqWEdAbzcVFDv0pvxV4w	Sobrio	Maluma	15	#3e3e40	2021-09-01	Viral 50	ec
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	16	#84bd00	2021-09-01	Viral 50	ec
4OwhwvKESFtuu06dTgct7i	Tiroteo - Remix	Marc Seguí, Rauw Alejandro, Pol Granch	17	#3e3e40	2021-09-01	Viral 50	ec
6szg6z5MWZKiojwcu5hRNX	Estoy Bien	Panther	18	#bd3200	2021-09-01	Viral 50	ec
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	19	#bd3200	2021-09-01	Viral 50	ec
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	20	#bd3200	2021-09-01	Viral 50	ec
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	21	#3e3e40	2021-09-01	Viral 50	ec
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	22	#3e3e40	2021-09-01	Viral 50	ec
0ihi06naIlWfRm2IV5Cwgm	Pimpeo	Mambo DJ	23	#84bd00	2021-09-01	Viral 50	ec
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	24	#3e3e40	2021-09-01	Viral 50	ec
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	25	#84bd00	2021-09-01	Viral 50	ec
5RhWszHMSKzb7KiXk4Ae0M	One Last Kiss	Hikaru Utada	26	#bd3200	2021-09-01	Viral 50	ec
