ID	Track	Artist	Position	Trend	Date	Chart	market
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	1	#84bd00	2021-09-01	Viral 50	ee
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	2	#bd3200	2021-09-01	Viral 50	ee
2mvP5OEZXWL0QefQSq7z6b	Стеклянная	GUMA	3	#3e3e40	2021-09-01	Viral 50	ee
1xTFpnwtAB56vb8KqySM1d	Incognito	gameboy tetris	4	#3e3e40	2021-09-01	Viral 50	ee
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	5	#84bd00	2021-09-01	Viral 50	ee
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	6	#bd3200	2021-09-01	Viral 50	ee
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	7	#bd3200	2021-09-01	Viral 50	ee
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	8	#3e3e40	2021-09-01	Viral 50	ee
5X33A2X2OuQXUOKhawWCMm	Baby mama	Skryptonite, Райда	9	#84bd00	2021-09-01	Viral 50	ee
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	10	#3e3e40	2021-09-01	Viral 50	ee
5ndylO3VZAhTRIARJFD0a5	Kamaz	DJ Blyatman, длб	11	#3e3e40	2021-09-01	Viral 50	ee
5Vh4cFonbm0XdIyJIyrlPO	Explosion	Kalwi & Remi	12	#3e3e40	2021-09-01	Viral 50	ee
0zO8ctW0UiuOefR87OeJOZ	Collard Greens	ScHoolboy Q, Kendrick Lamar	13	#3e3e40	2021-09-01	Viral 50	ee
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	14	#bd3200	2021-09-01	Viral 50	ee
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	15	#3e3e40	2021-09-01	Viral 50	ee
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	16	#bd3200	2021-09-01	Viral 50	ee
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	17	#3e3e40	2021-09-01	Viral 50	ee
6bxKECVRnkLmtpeU22Ve9p	help_urself	Ezekiel	18	#3e3e40	2021-09-01	Viral 50	ee
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	19	#84bd00	2021-09-01	Viral 50	ee
1idZtiuq0C6wJS6TB1PsTe	A.V.R.	Suur Papa	20	#bd3200	2021-09-01	Viral 50	ee
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	21	#84bd00	2021-09-01	Viral 50	ee
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	22	#bd3200	2021-09-01	Viral 50	ee
0G37XrBzAwCcyqFEm43lef	INCOMING	MC ORSEN	23	#bd3200	2021-09-01	Viral 50	ee
5Z8Dj3LtbyCMiwE86rhg2f	Marea (We’ve Lost Dancing)	Fred again.., The Blessed Madonna	24	#84bd00	2021-09-01	Viral 50	ee
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	25	#bd3200	2021-09-01	Viral 50	ee
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	26	#84bd00	2021-09-01	Viral 50	ee
0W6I02J9xcqK8MtSeosEXb	Get Into It (Yuh)	Doja Cat	27	#84bd00	2021-09-01	Viral 50	ee
3uUuGVFu1V7jTQL60S1r8z	Where Are You Now	Lost Frequencies, Calum Scott	28	#84bd00	2021-09-01	Viral 50	ee
7CIERzyqIwLVKGp00YbHRO	Pain	PinkPantheress	29	#84bd00	2021-09-01	Viral 50	ee
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	30	#bd3200	2021-09-01	Viral 50	ee
75dcZLbFCproE1qZvSMZ1O	sa ei tea mitte kedagi	säm	31	#bd3200	2021-09-01	Viral 50	ee
2WYs5LxOZfEyURXu7V0O1a	Stay With Me	1nonly	32	#84bd00	2021-09-01	Viral 50	ee
1onArS3ekC0yvq7604ANC7	Ridade Vahelt	Leis	33	#bd3200	2021-09-01	Viral 50	ee
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	34	#bd3200	2021-09-01	Viral 50	ee
3CLSHJv5aUROAN2vfOyCOh	Close Eyes	DVRST	35	#84bd00	2021-09-01	Viral 50	ee
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	36	#84bd00	2021-09-01	Viral 50	ee
0xfMlIW8lS40qvpsUw1l0X	Never Going Home	Kungs	37	#84bd00	2021-09-01	Viral 50	ee
0sYzG6gAK30KeV1wSSZhRO	San Pellegrino	Marcara	38	#bd3200	2021-09-01	Viral 50	ee
23OCmW1EsawtZSK0J2AUHT	Cake	Aflacko	39	#bd3200	2021-09-01	Viral 50	ee
7jVH8CXr0MSpGheHOjN4NA	SUICIDE YEAR	WEEDMANE, Suicideyear	40	#84bd00	2021-09-01	Viral 50	ee
750vtNtNiQVl80E4baoJjd	Lose	KSI, Lil Wayne	41	#4687d7	2021-09-01	Viral 50	ee
3vlFe5i0ulCoeMBqeDtjsC	uputada merre	nublu, whogaux	42	#84bd00	2021-09-01	Viral 50	ee
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	43	#4687d7	2021-09-01	Viral 50	ee
6eHKoMFFoMJ4cWwPscl382	Икры и Сала	ДЕТИ RAVE	44	#84bd00	2021-09-01	Viral 50	ee
6T3sH1EuBMijU1MHe2WFJt	in heat.	Hentai Xander	45	#3e3e40	2021-09-01	Viral 50	ee
5GxUKIEkMXXZo1Tif0IzfC	Two Moons	BoyWithUke	46	#84bd00	2021-09-01	Viral 50	ee
0UV5zxRMz6AO4ZwUOZNIKI	Where'd All the Time Go?	Dr. Dog	47	#4687d7	2021-09-01	Viral 50	ee
51Grh1RyUDcMBbpuyUIUHI	rises the moon	Liana Flores	48	#4687d7	2021-09-01	Viral 50	ee
3DjXe9iSnGVFZFWlkxIni5	JUICY	INSTASAMKA	49	#bd3200	2021-09-01	Viral 50	ee
7urtwZEtOypb3r8HNi42dT	Duvet	bôa	50	#4687d7	2021-09-01	Viral 50	ee
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	1	#3e3e40	2021-09-02	Viral 50	ee
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	2	#3e3e40	2021-09-02	Viral 50	ee
1xTFpnwtAB56vb8KqySM1d	Incognito	gameboy tetris	3	#84bd00	2021-09-02	Viral 50	ee
