ID	Track	Artist	Position	Trend	Date	Chart	market
1C6pNXiVfcKO49JttTv0xJ	خطر (ياللي سيرتي تعباك)	Hoda Bondok, Muslim	1	#84bd00	2021-09-01	Viral 50	eg
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	2	#84bd00	2021-09-01	Viral 50	eg
6Y1gNdb6pfQlrsnvLybGgT	Manakir	Haya Zaatry, Ghanni 3an Ta3rif	3	#bd3200	2021-09-01	Viral 50	eg
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	4	#3e3e40	2021-09-01	Viral 50	eg
79TzqzCK34xg5R3p1uTcAu	RAKAM 1 DA MESH ENTA	El Joker, Haram	5	#3e3e40	2021-09-01	Viral 50	eg
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	6	#3e3e40	2021-09-01	Viral 50	eg
0ifZ1W4CLyLdFzI29hmQFM	Piece Of My Heart	Hussain Aljassmi	7	#84bd00	2021-09-01	Viral 50	eg
2imCmZa01FzAv5j0BiD9ab	SAFINA	Mousv	8	#84bd00	2021-09-01	Viral 50	eg
5MYvIwOpXVzWToptTJbZR4	تاني	Lege-Cy	9	#bd3200	2021-09-01	Viral 50	eg
6sdPPEk5E4rAesCoa6QHAB	Wasi	Bigsam	10	#84bd00	2021-09-01	Viral 50	eg
5NBR9Pd73CpmzdCWTpBbFj	Zayaha Meen	Mohamed Hamaki	11	#84bd00	2021-09-01	Viral 50	eg
2Drckm99b0aia7WkzhFCJU	Je me promets	Meryem Aboulouafa	12	#bd3200	2021-09-01	Viral 50	eg
683Itb2hzraMWPULIUzILJ	MA YORAM	Lil Baba, Abyusif	13	#84bd00	2021-09-01	Viral 50	eg
66zZm53Jlpz4R2wrjfQr6F	Law Kol El-Nas - Live	Do3souqa	14	#bd3200	2021-09-01	Viral 50	eg
6382iMgZk6yyPg3htCkpB5	Abl Mawsalek	Muslim - مُسلِم	15	#84bd00	2021-09-01	Viral 50	eg
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	16	#bd3200	2021-09-01	Viral 50	eg
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	17	#84bd00	2021-09-01	Viral 50	eg
53rjOcc3HVPKvGG5MLYl3O	Sweet Dreams	Trinix	18	#84bd00	2021-09-01	Viral 50	eg
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	19	#84bd00	2021-09-01	Viral 50	eg
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	20	#bd3200	2021-09-01	Viral 50	eg
26CugFVo4cFYTzsooJlbcy	Mozza Helwa Lebanese	Feroan	21	#bd3200	2021-09-01	Viral 50	eg
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	22	#bd3200	2021-09-01	Viral 50	eg
42GbwrlUpjPbt5K5Bf0dJ1	Negma Meadeya	Wama	23	#3e3e40	2021-09-01	Viral 50	eg
4uNc5GMR6a5az5U3Ghdyf8	عفاريت الأسفلت	Wegz	24	#bd3200	2021-09-01	Viral 50	eg
6X3T09NqZfGACrko9EYN7r	Awadeeh	Abo El Anwar	25	#84bd00	2021-09-01	Viral 50	eg
4hFNqLwpBM1WoaxrgEForT	مسيطره	Lamis Kan	26	#84bd00	2021-09-01	Viral 50	eg
3Vi5XqYrmQgOYBajMWSvCi	Need to Know	Doja Cat	27	#bd3200	2021-09-01	Viral 50	eg
0tCnZ1tcNiJh5TuOtN7P1Q	TAROT	Mousv	28	#84bd00	2021-09-01	Viral 50	eg
4ZaQ1AYlbwAUK9IuwfsOFq	Etaal	Amr Diab	29	#bd3200	2021-09-01	Viral 50	eg
1w8I30qzVlqUgkp0P9bXh1	SIRI	Shahyn	30	#84bd00	2021-09-01	Viral 50	eg
750vtNtNiQVl80E4baoJjd	Lose	KSI, Lil Wayne	31	#4687d7	2021-09-01	Viral 50	eg
7773uSBeDmRum6cT0RmH2q	يتميلح	Queen G	32	#bd3200	2021-09-01	Viral 50	eg
5tOPuHDCI5SwJA0YAWd5XL	Soma El 3asher	Ahmed Santa	33	#bd3200	2021-09-01	Viral 50	eg
6o25gM7QU4WmiZxCea7yNt	Bardo Betewhashni	Angham, Wael Kfoury	34	#bd3200	2021-09-01	Viral 50	eg
0W6I02J9xcqK8MtSeosEXb	Get Into It (Yuh)	Doja Cat	35	#bd3200	2021-09-01	Viral 50	eg
1BApx7glGPbKRZ4Tqomd2f	شقطت منك حبيبتك ياعم	حمو الطيخا	36	#84bd00	2021-09-01	Viral 50	eg
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	37	#4687d7	2021-09-01	Viral 50	eg
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	38	#bd3200	2021-09-01	Viral 50	eg
3Wrjm47oTz2sjIgck11l5e	Beggin'	Måneskin	39	#3e3e40	2021-09-01	Viral 50	eg
1OBu3JCSvIhlCtoAMvEwpO	50	Lil Skydie	40	#bd3200	2021-09-01	Viral 50	eg
4S7oLETjomhx5WCDHf1166	Hashrab Hashish	Luka Salam	41	#bd3200	2021-09-01	Viral 50	eg
04vHPXVGnb51q13NBoW22W	El Melouk - الملوك	Ahmed Saad, 3enba, Double Zuksh	42	#3e3e40	2021-09-01	Viral 50	eg
7H0ya83CMmgFcOhw0UB6ow	Space Song	Beach House	43	#bd3200	2021-09-01	Viral 50	eg
1kLxQJLEyMXdy3RFj5x9Lh	انا غلط وانت صح	مسلم	44	#bd3200	2021-09-01	Viral 50	eg
2WYs5LxOZfEyURXu7V0O1a	Stay With Me	1nonly	45	#84bd00	2021-09-01	Viral 50	eg
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	46	#4687d7	2021-09-01	Viral 50	eg
1l3S4j9ksQMh2tKIta1bfw	El Bint El Awiye	Wael Kfoury	47	#bd3200	2021-09-01	Viral 50	eg
304utXC7fLHXEv1k2vFqQd	GHOYOUM	Mousv	48	#bd3200	2021-09-01	Viral 50	eg
4GW1BcvFF9mdvmsIHmDgnG	منافقين	DJ Totti, Shehab	49	#84bd00	2021-09-01	Viral 50	eg
1kDTNPDaXDiowNJYDmFRbS	Prozac	DAM	50	#bd3200	2021-09-01	Viral 50	eg
1C6pNXiVfcKO49JttTv0xJ	خطر (ياللي سيرتي تعباك)	Hoda Bondok, Muslim	1	#3e3e40	2021-09-02	Viral 50	eg
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	2	#3e3e40	2021-09-02	Viral 50	eg
6Y1gNdb6pfQlrsnvLybGgT	Manakir	Haya Zaatry, Ghanni 3an Ta3rif	3	#3e3e40	2021-09-02	Viral 50	eg
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	4	#3e3e40	2021-09-02	Viral 50	eg
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	5	#84bd00	2021-09-02	Viral 50	eg
79TzqzCK34xg5R3p1uTcAu	RAKAM 1 DA MESH ENTA	El Joker, Haram	6	#bd3200	2021-09-02	Viral 50	eg
2imCmZa01FzAv5j0BiD9ab	SAFINA	Mousv	7	#84bd00	2021-09-02	Viral 50	eg
6sdPPEk5E4rAesCoa6QHAB	Wasi	Bigsam	8	#84bd00	2021-09-02	Viral 50	eg
0ifZ1W4CLyLdFzI29hmQFM	Piece Of My Heart	Hussain Aljassmi	9	#bd3200	2021-09-02	Viral 50	eg
1OBu3JCSvIhlCtoAMvEwpO	50	Lil Skydie	10	#84bd00	2021-09-02	Viral 50	eg
5MYvIwOpXVzWToptTJbZR4	تاني	Lege-Cy	11	#bd3200	2021-09-02	Viral 50	eg
683Itb2hzraMWPULIUzILJ	MA YORAM	Lil Baba, Abyusif	12	#84bd00	2021-09-02	Viral 50	eg
5NBR9Pd73CpmzdCWTpBbFj	Zayaha Meen	Mohamed Hamaki	13	#bd3200	2021-09-02	Viral 50	eg
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	14	#84bd00	2021-09-02	Viral 50	eg
6382iMgZk6yyPg3htCkpB5	Abl Mawsalek	Muslim - مُسلِم	15	#3e3e40	2021-09-02	Viral 50	eg
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	16	#84bd00	2021-09-02	Viral 50	eg
53rjOcc3HVPKvGG5MLYl3O	Sweet Dreams	Trinix	17	#84bd00	2021-09-02	Viral 50	eg
2Drckm99b0aia7WkzhFCJU	Je me promets	Meryem Aboulouafa	18	#bd3200	2021-09-02	Viral 50	eg
66zZm53Jlpz4R2wrjfQr6F	Law Kol El-Nas - Live	Do3souqa	19	#bd3200	2021-09-02	Viral 50	eg
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	20	#3e3e40	2021-09-02	Viral 50	eg
26CugFVo4cFYTzsooJlbcy	Mozza Helwa Lebanese	Feroan	21	#3e3e40	2021-09-02	Viral 50	eg
4uNc5GMR6a5az5U3Ghdyf8	عفاريت الأسفلت	Wegz	22	#84bd00	2021-09-02	Viral 50	eg
6X3T09NqZfGACrko9EYN7r	Awadeeh	Abo El Anwar	23	#84bd00	2021-09-02	Viral 50	eg
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	24	#bd3200	2021-09-02	Viral 50	eg
750vtNtNiQVl80E4baoJjd	Lose	KSI, Lil Wayne	25	#84bd00	2021-09-02	Viral 50	eg
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	26	#84bd00	2021-09-02	Viral 50	eg
42GbwrlUpjPbt5K5Bf0dJ1	Negma Meadeya	Wama	27	#bd3200	2021-09-02	Viral 50	eg
4hFNqLwpBM1WoaxrgEForT	مسيطره	Lamis Kan	28	#bd3200	2021-09-02	Viral 50	eg
3Vi5XqYrmQgOYBajMWSvCi	Need to Know	Doja Cat	29	#bd3200	2021-09-02	Viral 50	eg
1w8I30qzVlqUgkp0P9bXh1	SIRI	Shahyn	30	#3e3e40	2021-09-02	Viral 50	eg
4ZaQ1AYlbwAUK9IuwfsOFq	Etaal	Amr Diab	31	#bd3200	2021-09-02	Viral 50	eg
0tCnZ1tcNiJh5TuOtN7P1Q	TAROT	Mousv	32	#bd3200	2021-09-02	Viral 50	eg
7773uSBeDmRum6cT0RmH2q	يتميلح	Queen G	33	#bd3200	2021-09-02	Viral 50	eg
5tOPuHDCI5SwJA0YAWd5XL	Soma El 3asher	Ahmed Santa	34	#bd3200	2021-09-02	Viral 50	eg
4S7oLETjomhx5WCDHf1166	Hashrab Hashish	Luka Salam	35	#84bd00	2021-09-02	Viral 50	eg
1BApx7glGPbKRZ4Tqomd2f	شقطت منك حبيبتك ياعم	حمو الطيخا	36	#3e3e40	2021-09-02	Viral 50	eg
3Wrjm47oTz2sjIgck11l5e	Beggin'	Måneskin	37	#84bd00	2021-09-02	Viral 50	eg
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	38	#bd3200	2021-09-02	Viral 50	eg
6o25gM7QU4WmiZxCea7yNt	Bardo Betewhashni	Angham, Wael Kfoury	39	#bd3200	2021-09-02	Viral 50	eg
0W6I02J9xcqK8MtSeosEXb	Get Into It (Yuh)	Doja Cat	40	#bd3200	2021-09-02	Viral 50	eg
2WYs5LxOZfEyURXu7V0O1a	Stay With Me	1nonly	41	#84bd00	2021-09-02	Viral 50	eg
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	42	#bd3200	2021-09-02	Viral 50	eg
04vHPXVGnb51q13NBoW22W	El Melouk - الملوك	Ahmed Saad, 3enba, Double Zuksh	43	#bd3200	2021-09-02	Viral 50	eg
1kLxQJLEyMXdy3RFj5x9Lh	انا غلط وانت صح	مسلم	44	#3e3e40	2021-09-02	Viral 50	eg
7H0ya83CMmgFcOhw0UB6ow	Space Song	Beach House	45	#bd3200	2021-09-02	Viral 50	eg
1l3S4j9ksQMh2tKIta1bfw	El Bint El Awiye	Wael Kfoury	46	#84bd00	2021-09-02	Viral 50	eg
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	47	#4687d7	2021-09-02	Viral 50	eg
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	48	#bd3200	2021-09-02	Viral 50	eg
7fvxQ3iXBgBk950har4J77	300 Mara	Dabbour	49	#4687d7	2021-09-02	Viral 50	eg
4GW1BcvFF9mdvmsIHmDgnG	منافقين	DJ Totti, Shehab	50	#bd3200	2021-09-02	Viral 50	eg
1C6pNXiVfcKO49JttTv0xJ	خطر (ياللي سيرتي تعباك)	Hoda Bondok, Muslim	1	#3e3e40	2021-09-03	Viral 50	eg
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	2	#3e3e40	2021-09-03	Viral 50	eg
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	3	#84bd00	2021-09-03	Viral 50	eg
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	4	#84bd00	2021-09-03	Viral 50	eg
79TzqzCK34xg5R3p1uTcAu	RAKAM 1 DA MESH ENTA	El Joker, Haram	5	#84bd00	2021-09-03	Viral 50	eg
6Y1gNdb6pfQlrsnvLybGgT	Manakir	Haya Zaatry, Ghanni 3an Ta3rif	6	#bd3200	2021-09-03	Viral 50	eg
1OBu3JCSvIhlCtoAMvEwpO	50	Lil Skydie	7	#84bd00	2021-09-03	Viral 50	eg
