ID	Track	Artist	Position	Trend	Date	Chart	market
5liJEcanWV112vEe9uT8iP	Mon Amour	zzoilo	1	#3e3e40	2021-09-01	Viral 50	es
1mrVhmY8snkIsE3ibTO4vs	Me basta con mirarte	Deco Mdz	2	#3e3e40	2021-09-01	Viral 50	es
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	3	#3e3e40	2021-09-01	Viral 50	es
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	4	#84bd00	2021-09-01	Viral 50	es
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	5	#bd3200	2021-09-01	Viral 50	es
08TD3JtW8nc3NEgxaSBNbL	NO WAY	DONGURIZU	6	#84bd00	2021-09-01	Viral 50	es
2PZuFDO3jh5RHLX6CGEpsW	True Love	Carrion GodBle$$, Saske	7	#84bd00	2021-09-01	Viral 50	es
08LFS8E4USiGXhH2bz2Bns	Puxero - Remix	Parkineos, Plasaporros	8	#bd3200	2021-09-01	Viral 50	es
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	9	#bd3200	2021-09-01	Viral 50	es
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	10	#3e3e40	2021-09-01	Viral 50	es
394v7OCKq1EnJbcH5iUEya	Tiroteo	Big Lois	11	#3e3e40	2021-09-01	Viral 50	es
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	12	#3e3e40	2021-09-01	Viral 50	es
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	13	#3e3e40	2021-09-01	Viral 50	es
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	14	#3e3e40	2021-09-01	Viral 50	es
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	15	#3e3e40	2021-09-01	Viral 50	es
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	16	#3e3e40	2021-09-01	Viral 50	es
7bx66Je824Iak8c1CfsMrE	Dos Problemas (feat. Big Soto) - Remix	Blessd, Javiielo, Neutro Shorty	17	#3e3e40	2021-09-01	Viral 50	es
4hXg3iSVnF27KRLtXyh1oH	Another Day in Paradise	Breno Miranda	18	#3e3e40	2021-09-01	Viral 50	es
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	19	#84bd00	2021-09-01	Viral 50	es
1SZmIlruJaumMmS2CzTdDE	San Bá	Vicente Garcia	20	#bd3200	2021-09-01	Viral 50	es
7J4zszAZxAyowZp7gNUIUI	Bongo Cha Cha Cha	Goodboys	21	#bd3200	2021-09-01	Viral 50	es
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	22	#84bd00	2021-09-01	Viral 50	es
1TO85DMVoOejzq5YMMWAkl	Mal à la tête	4.4.2, Soolking, Heuss L'enfoiré	23	#bd3200	2021-09-01	Viral 50	es
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	24	#bd3200	2021-09-01	Viral 50	es
6w8yBI2vthyN9UnwO4UBWb	Entre Nosotros	Tiago PZK, LIT killah	25	#3e3e40	2021-09-01	Viral 50	es
5AQTFpm3oDPTenmw5Lmfoi	Veneno	Delaossa, KIDDO, J.Moods	26	#84bd00	2021-09-01	Viral 50	es
1dIWPXMX4kRHj6Dt2DStUQ	Chosen (feat. Ty Dolla $ign)	Blxst, Tyga	27	#bd3200	2021-09-01	Viral 50	es
49iOVtExuJU9faigS2JRUf	Beba Qué Quieres Que Haga	Omar Montes, JC el Diamante	28	#bd3200	2021-09-01	Viral 50	es
1CMPYloogotoC6z9n9wdQT	Diablita Remix	Fabbio, Omar Montes, Lennis Rodriguez, Chus Santana	29	#3e3e40	2021-09-01	Viral 50	es
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	30	#84bd00	2021-09-01	Viral 50	es
3znlxKwQTRVrrerCcZPus2	Tranquilísimo	Israel B, C. Tangana, LOWLIGHT	31	#bd3200	2021-09-01	Viral 50	es
7fvaNCAFYAx6ny6C5i5Hab	Tigini	Kikimoteleba	32	#bd3200	2021-09-01	Viral 50	es
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	33	#bd3200	2021-09-01	Viral 50	es
5Q27cpHUDQPttnB0xH7oBh	Perra	Rigoberta Bandini	34	#3e3e40	2021-09-01	Viral 50	es
1voueLCs7g2cD8NLHg1Iz7	Gitana	MARLENA	35	#84bd00	2021-09-01	Viral 50	es
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	36	#bd3200	2021-09-01	Viral 50	es
6Ee34qCOE6FBzEPRAGwSrn	En Mi Cuarto	Jhay Cortez, Skrillex	37	#3e3e40	2021-09-01	Viral 50	es
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	38	#bd3200	2021-09-01	Viral 50	es
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	39	#3e3e40	2021-09-01	Viral 50	es
4XeqABCbUqyznqTgB8Ckzj	METALLICA	Yung Beef	40	#84bd00	2021-09-01	Viral 50	es
5kwgMFf58HjfRnn536rRUP	Septiembre	LUNA KI	41	#4687d7	2021-09-01	Viral 50	es
3xupfhP8Y4faWG0gaDI4ih	Pepas - Remix	Treekoo, Zato DJ	42	#84bd00	2021-09-01	Viral 50	es
53w7xjn8fwwU8Pc6rgMm5v	Me Sabe Mal	MARLENA	43	#bd3200	2021-09-01	Viral 50	es
0wA3AZzA0gp0wfSS0SpZt5	La Boca Junta	Melendi, Mau y Ricky	44	#bd3200	2021-09-01	Viral 50	es
