ID	Track	Artist	Position	Trend	Date	Chart	market
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	1	#3e3e40	2021-09-01	Viral 50	fi
6bhMtVgwLNljlprOizUdy7	Optinen harha	Luntti	2	#84bd00	2021-09-01	Viral 50	fi
4hsTQQgfBnBgtBkTGKWS1G	Samma gamla vanliga	A36	3	#84bd00	2021-09-01	Viral 50	fi
3R1v9XYoqBYiBoGvKzkRy7	Kakkaa pippelissä	Vesipatonki Oy	4	#84bd00	2021-09-01	Viral 50	fi
6bxF479rgXEYrdgPwhGmSs	Kuulaa sille joka kenkkuilee	Homokoira	5	#3e3e40	2021-09-01	Viral 50	fi
6D0y73HlVdSG0sWm5F6V5o	Tulikärpäset	Haloo Helsinki!	6	#84bd00	2021-09-01	Viral 50	fi
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	7	#84bd00	2021-09-01	Viral 50	fi
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	8	#84bd00	2021-09-01	Viral 50	fi
3shxBrLJZiTP9OhJzK0iCr	Me ei kuuluta toisillemme	Evelina, ANI	9	#84bd00	2021-09-01	Viral 50	fi
6YFcvJlcgQceRfJrVpmJa0	Pohjola	Olli Halonen	10	#84bd00	2021-09-01	Viral 50	fi
2C577j1mOtCKNsl6HDwaPP	Helsinki City	Milan J4ff	11	#84bd00	2021-09-01	Viral 50	fi
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	12	#3e3e40	2021-09-01	Viral 50	fi
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	13	#84bd00	2021-09-01	Viral 50	fi
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	14	#84bd00	2021-09-01	Viral 50	fi
0O26gtfjuscAOnQobjNPPL	To the Hellfire	Lorna Shore	15	#84bd00	2021-09-01	Viral 50	fi
2muh7P8rylTiI0IJIn2d3z	Vvvalsta	VC Barre	16	#bd3200	2021-09-01	Viral 50	fi
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	17	#3e3e40	2021-09-01	Viral 50	fi
4N84bVnNycTXiuoKZFEXrD	Vauhti kiihtyy (feat. Matti ja Teppo)	Portion Boys	18	#84bd00	2021-09-01	Viral 50	fi
0W7brFokN6QtGRNp32RCQP	Alone With You	Arz	19	#84bd00	2021-09-01	Viral 50	fi
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	20	#bd3200	2021-09-01	Viral 50	fi
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	21	#84bd00	2021-09-01	Viral 50	fi
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	22	#84bd00	2021-09-01	Viral 50	fi
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	23	#bd3200	2021-09-01	Viral 50	fi
05B40rPzwGULzQvPBkqdAP	Simerock – Lapissa kaikki bailaa ankarasti	Hovimuusikko Ilkka	24	#bd3200	2021-09-01	Viral 50	fi
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	25	#84bd00	2021-09-01	Viral 50	fi
3EPp192QQ528uYFYZ9nrE0	Ujo poika	Jenni & Juho	26	#bd3200	2021-09-01	Viral 50	fi
7urtwZEtOypb3r8HNi42dT	Duvet	bôa	27	#84bd00	2021-09-01	Viral 50	fi
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	28	#3e3e40	2021-09-01	Viral 50	fi
0UKgRHKpG9ObOZFbTZ1sjK	She's Somebody's Daughter (The Wedding Version)	Drew Baldridge	29	#84bd00	2021-09-01	Viral 50	fi
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	30	#3e3e40	2021-09-01	Viral 50	fi
6TuPqvaTMUKWbRoteCUGfi	Miekkalinna	UploadFIN	31	#84bd00	2021-09-01	Viral 50	fi
4rQuuWoR8HNJMQNoxd6ZKn	Ämmä	Etta	32	#84bd00	2021-09-01	Viral 50	fi
14qgbm3jrTC9R5UZ5pRZqz	Elämä on nyt	Titta	33	#84bd00	2021-09-01	Viral 50	fi
2Wkxml4dRbAyXHQSCFh0lK	Liike on lääke	JVG	34	#bd3200	2021-09-01	Viral 50	fi
478S4aOgXse7oj50UaYk5H	Lay All Your Love on Me	Stockanotti, Marc Korn	35	#bd3200	2021-09-01	Viral 50	fi
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	36	#84bd00	2021-09-01	Viral 50	fi
3CLSHJv5aUROAN2vfOyCOh	Close Eyes	DVRST	37	#84bd00	2021-09-01	Viral 50	fi
6A9U7PZkRoqYkezpeVidPC	Minne vaan	Karkkiautomaatti	38	#84bd00	2021-09-01	Viral 50	fi
2JZixjPnrQ67VOPQRDKSmH	Whole	Sam Tompkins	39	#84bd00	2021-09-01	Viral 50	fi
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	40	#bd3200	2021-09-01	Viral 50	fi
5yibI82dMEDHWPkinVNoKF	Totuta	Ira	41	#84bd00	2021-09-01	Viral 50	fi
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	42	#bd3200	2021-09-01	Viral 50	fi
2W6lJ6yW8zj02BL7QwaG1y	Sattuu	Kaija Koo, Pyhimys	43	#bd3200	2021-09-01	Viral 50	fi
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	44	#3e3e40	2021-09-01	Viral 50	fi
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	45	#bd3200	2021-09-01	Viral 50	fi
