ID	Track	Artist	Position	Trend	Date	Chart	market
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	1	#3e3e40	2021-09-01	Viral 50	fr
5dFSwQk7dEGgccEpyzqskS	Big Thug Boys	AV	2	#3e3e40	2021-09-01	Viral 50	fr
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	3	#3e3e40	2021-09-01	Viral 50	fr
0MY9DhzK2EUHXORcvEqy7n	Peur d'être sobre	Damsosexuel	4	#3e3e40	2021-09-01	Viral 50	fr
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	5	#3e3e40	2021-09-01	Viral 50	fr
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	6	#3e3e40	2021-09-01	Viral 50	fr
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	7	#3e3e40	2021-09-01	Viral 50	fr
63bkENlGneIECKtJuHOKOp	Babel - Original Mix	Gustavo Bravetty	8	#84bd00	2021-09-01	Viral 50	fr
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	9	#bd3200	2021-09-01	Viral 50	fr
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	10	#3e3e40	2021-09-01	Viral 50	fr
2ujOkOte6LInbDhxFM3HUL	PD PD	Mauvais Djo Speak, DJ Sucré	11	#84bd00	2021-09-01	Viral 50	fr
11HLDMuPD3wh88XHw4udKO	SPECIAL (feat. Nekfeu & Fousheé)	Laylow	12	#bd3200	2021-09-01	Viral 50	fr
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	13	#3e3e40	2021-09-01	Viral 50	fr
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	14	#bd3200	2021-09-01	Viral 50	fr
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	15	#84bd00	2021-09-01	Viral 50	fr
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	16	#84bd00	2021-09-01	Viral 50	fr
27Z3UdqvdAhtJlWBMoDjBD	TDB	OBOY	17	#bd3200	2021-09-01	Viral 50	fr
5Z8Dj3LtbyCMiwE86rhg2f	Marea (We’ve Lost Dancing)	Fred again.., The Blessed Madonna	18	#3e3e40	2021-09-01	Viral 50	fr
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	19	#84bd00	2021-09-01	Viral 50	fr
5tKDLKD6TZ0QmUJbiG1ADN	Laisse moi t'aimer	Darina Victry	20	#bd3200	2021-09-01	Viral 50	fr
2Lm5JYv2QaaPx204pMB4Qy	Gatluak - Bakermat Remix	Kronan, Nyaruach	21	#84bd00	2021-09-01	Viral 50	fr
6g6C2H0oUC68YsGxFXfStw	Carry You	Rules	22	#bd3200	2021-09-01	Viral 50	fr
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	23	#84bd00	2021-09-01	Viral 50	fr
7r9KkTYiFYMuNcGR4aySxh	Ça canarde	Bolémvn, Guy2bezbar	24	#bd3200	2021-09-01	Viral 50	fr
3vBJU79UelzWSRkWGGvkXW	Corps à corps	Kalipsxau	25	#4687d7	2021-09-01	Viral 50	fr
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	26	#84bd00	2021-09-01	Viral 50	fr
5c549LWiKCWGvcDsZwMN6v	Soundgasm	Rema	27	#bd3200	2021-09-01	Viral 50	fr
50zNfN8K9LXK8JroW6GxCa	Tears - Remastered	Giorgio Moroder	28	#bd3200	2021-09-01	Viral 50	fr
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	29	#bd3200	2021-09-01	Viral 50	fr
