ID	Track	Artist	Position	Trend	Date	Chart	market
0W7brFokN6QtGRNp32RCQP	Alone With You	Arz	1	#3e3e40	2021-09-01	Viral 50	gb
1yApeqGiKKeAMptbNUv2Mf	Tell Me Something Good	Ewan McVicar	2	#3e3e40	2021-09-01	Viral 50	gb
0wCWfjqo0FV1CDseDGD0cV	Two Years Clear	Idi Akz	3	#3e3e40	2021-09-01	Viral 50	gb
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	4	#3e3e40	2021-09-01	Viral 50	gb
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	5	#3e3e40	2021-09-01	Viral 50	gb
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	6	#3e3e40	2021-09-01	Viral 50	gb
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	7	#3e3e40	2021-09-01	Viral 50	gb
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	8	#3e3e40	2021-09-01	Viral 50	gb
3YBilqc4QBO3w3FMQRxM4G	Be Free	Rathbone Place	9	#84bd00	2021-09-01	Viral 50	gb
1mtLhZXbQqeU3qugQkuwhk	soft spot	piri, Tommy Villiers	10	#bd3200	2021-09-01	Viral 50	gb
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	11	#bd3200	2021-09-01	Viral 50	gb
0bGImSqDB2ebdeoCidUC8o	BLACKOUT	Turnstile	12	#4687d7	2021-09-01	Viral 50	gb
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	13	#bd3200	2021-09-01	Viral 50	gb
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	14	#bd3200	2021-09-01	Viral 50	gb
2rOnSn2piaqLAlYjtfUBlY	"Raataan Lambiyan (From ""Shershaah"")"	Tanishk Bagchi, Jubin Nautiyal, Asees Kaur	15	#bd3200	2021-09-01	Viral 50	gb
7iqAuZe5yS0suLQcFfVK39	Chaise Longue	Wet Leg	16	#bd3200	2021-09-01	Viral 50	gb
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	17	#bd3200	2021-09-01	Viral 50	gb
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	18	#84bd00	2021-09-01	Viral 50	gb
1olCzMxaeiQKNO64ssWVGr	Talk About	Rain Radio, DJ Craig Gorman	19	#bd3200	2021-09-01	Viral 50	gb
1dB0NylVkpjdOe8DiekIs7	HOLIDAY	Turnstile	20	#4687d7	2021-09-01	Viral 50	gb
7dDLAQ1y0qOq3E4DhNh8FS	Talamanca	BURNS	21	#bd3200	2021-09-01	Viral 50	gb
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	22	#bd3200	2021-09-01	Viral 50	gb
4ka1FkKAMde6dQAFFMXKac	i hope ur miserable until ur dead	Nessa Barrett	23	#bd3200	2021-09-01	Viral 50	gb
4454x7MRQQ2vUJ9UUAfem5	Left Back	Ronzo	24	#bd3200	2021-09-01	Viral 50	gb
2CXSRpNHd9zVSWKSFp1wQ3	Foolish (feat. Tom Zanetti)	Jack Fowler	25	#bd3200	2021-09-01	Viral 50	gb
