ID	Track	Artist	Position	Trend	Date	Chart	market
2CoxJRIhTKvHyFIq9FcDO5	It's Only Me - Studio Version	Kaleb J	1	#3e3e40	2021-09-01	Viral 50	global
2ookQf9qP2qiBuNFnNXyfl	Chega E Senta - Ao Vivo	John Amplificado	2	#3e3e40	2021-09-01	Viral 50	global
5JO2usoem1CW1pLL1kLj9E	Manike Mage Hithe	Chamath Sangeeth, Yohani, Satheeshan	3	#3e3e40	2021-09-01	Viral 50	global
6HGcSuP89aoRvqLIAjcT8B	Now I Know	Kaleb J	4	#3e3e40	2021-09-01	Viral 50	global
1tdDDOJRdbo1Uz47D1k62G	Passinho Debochado	Dan Ventura	5	#3e3e40	2021-09-01	Viral 50	global
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	6	#3e3e40	2021-09-01	Viral 50	global
72zHuDxFQTjbL51qJQSA7j	"Ranjha (From ""Shershaah"")"	Jasleen Royal, B Praak, Romy, Anvita Dutt	7	#3e3e40	2021-09-01	Viral 50	global
2rOnSn2piaqLAlYjtfUBlY	"Raataan Lambiyan (From ""Shershaah"")"	Tanishk Bagchi, Jubin Nautiyal, Asees Kaur	8	#3e3e40	2021-09-01	Viral 50	global
6u5qi5Va5afHWJ18fHjJyi	Ik Ga Zwemmen	Mart Hoogkamer	9	#3e3e40	2021-09-01	Viral 50	global
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	10	#3e3e40	2021-09-01	Viral 50	global
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	11	#3e3e40	2021-09-01	Viral 50	global
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	12	#3e3e40	2021-09-01	Viral 50	global
2G3pr93yMNJ2HcL028dTxt	Antes de Ir	Taty pink, Romeu	13	#3e3e40	2021-09-01	Viral 50	global
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	14	#3e3e40	2021-09-01	Viral 50	global
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	15	#3e3e40	2021-09-01	Viral 50	global
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	16	#84bd00	2021-09-01	Viral 50	global
0IF4B98sMyCv1lZjpS1FGz	Bilmem Mi?	Sefo	17	#bd3200	2021-09-01	Viral 50	global
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	18	#3e3e40	2021-09-01	Viral 50	global
1ktyKCzfI8hooCJP3X2yP5	uNa DiReZioNe giUsTa	yungest Moonstar, Neffa, tha Supreme	19	#3e3e40	2021-09-01	Viral 50	global
1jwEnLN5hMOwotwXfchUaf	Rei Lacoste	MD Chefe, DomLaike, Offlei Sounds	20	#3e3e40	2021-09-01	Viral 50	global
0W7brFokN6QtGRNp32RCQP	Alone With You	Arz	21	#3e3e40	2021-09-01	Viral 50	global
4XiFqfUXyTwOChvMLKKi0T	Sem Sentimento	DG e Batidão Stronda, Felipe Amorim, Mc Danny	22	#84bd00	2021-09-01	Viral 50	global
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	23	#bd3200	2021-09-01	Viral 50	global
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	24	#3e3e40	2021-09-01	Viral 50	global
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	25	#3e3e40	2021-09-01	Viral 50	global
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	26	#84bd00	2021-09-01	Viral 50	global
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	27	#84bd00	2021-09-01	Viral 50	global
7rdnB5DAyPbaj51TCQRcqW	It's You	Sezairi	28	#84bd00	2021-09-01	Viral 50	global
48Ll1C6qAnP2UjnopQDh4a	Bala Love	Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA	29	#3e3e40	2021-09-01	Viral 50	global
5liJEcanWV112vEe9uT8iP	Mon Amour	zzoilo	30	#bd3200	2021-09-01	Viral 50	global
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	31	#84bd00	2021-09-01	Viral 50	global
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	32	#bd3200	2021-09-01	Viral 50	global
1puprgnIxARMj8gR3Jj4B2	Just Drive	Erin Kinsey	33	#bd3200	2021-09-01	Viral 50	global
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	34	#84bd00	2021-09-01	Viral 50	global
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	35	#84bd00	2021-09-01	Viral 50	global
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	36	#bd3200	2021-09-01	Viral 50	global
3FwQ3RYYEekzjEeL3jdpUZ	Pesan Terakhir	Lyodra	37	#bd3200	2021-09-01	Viral 50	global
0RSZ8EmUPEN3ySfCgytPke	Auf & Ab	Montez	38	#bd3200	2021-09-01	Viral 50	global
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	39	#84bd00	2021-09-01	Viral 50	global
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	40	#3e3e40	2021-09-01	Viral 50	global
4u06FbRh6FvV2FQZkouzCw	Arranhão - Ao Vivo	Henrique & Juliano	41	#84bd00	2021-09-01	Viral 50	global
7gMWTBRgB5CZdNDSuweCyr	Se Essa Bunda	Costa Gold, Kawe, André Nine	42	#bd3200	2021-09-01	Viral 50	global
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	43	#3e3e40	2021-09-01	Viral 50	global
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	44	#bd3200	2021-09-01	Viral 50	global
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	45	#bd3200	2021-09-01	Viral 50	global
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	46	#bd3200	2021-09-01	Viral 50	global
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	47	#4687d7	2021-09-01	Viral 50	global
4oonyJXO2PuTXq2KUOdFPH	Bonita	Los Dorados	48	#bd3200	2021-09-01	Viral 50	global
5L9oweGjkwBg0Mt9ZU9OhW	GECELERİN DERDİ	BEGE	49	#84bd00	2021-09-01	Viral 50	global
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	50	#bd3200	2021-09-01	Viral 50	global
2CoxJRIhTKvHyFIq9FcDO5	It's Only Me - Studio Version	Kaleb J	1	#3e3e40	2021-09-02	Viral 50	global
2ookQf9qP2qiBuNFnNXyfl	Chega E Senta - Ao Vivo	John Amplificado	2	#3e3e40	2021-09-02	Viral 50	global
5JO2usoem1CW1pLL1kLj9E	Manike Mage Hithe	Chamath Sangeeth, Yohani, Satheeshan	3	#3e3e40	2021-09-02	Viral 50	global
6HGcSuP89aoRvqLIAjcT8B	Now I Know	Kaleb J	4	#3e3e40	2021-09-02	Viral 50	global
1tdDDOJRdbo1Uz47D1k62G	Passinho Debochado	Dan Ventura	5	#3e3e40	2021-09-02	Viral 50	global
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	6	#3e3e40	2021-09-02	Viral 50	global
72zHuDxFQTjbL51qJQSA7j	"Ranjha (From ""Shershaah"")"	Jasleen Royal, B Praak, Romy, Anvita Dutt	7	#3e3e40	2021-09-02	Viral 50	global
2rOnSn2piaqLAlYjtfUBlY	"Raataan Lambiyan (From ""Shershaah"")"	Tanishk Bagchi, Jubin Nautiyal, Asees Kaur	8	#3e3e40	2021-09-02	Viral 50	global
6u5qi5Va5afHWJ18fHjJyi	Ik Ga Zwemmen	Mart Hoogkamer	9	#3e3e40	2021-09-02	Viral 50	global
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	10	#3e3e40	2021-09-02	Viral 50	global
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	11	#3e3e40	2021-09-02	Viral 50	global
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	12	#3e3e40	2021-09-02	Viral 50	global
2G3pr93yMNJ2HcL028dTxt	Antes de Ir	Taty pink, Romeu	13	#3e3e40	2021-09-02	Viral 50	global
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	14	#3e3e40	2021-09-02	Viral 50	global
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	15	#84bd00	2021-09-02	Viral 50	global
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	16	#bd3200	2021-09-02	Viral 50	global
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	17	#84bd00	2021-09-02	Viral 50	global
1ktyKCzfI8hooCJP3X2yP5	uNa DiReZioNe giUsTa	yungest Moonstar, Neffa, tha Supreme	18	#84bd00	2021-09-02	Viral 50	global
6wbDn8NI3ygkOeDJiS0ASi	Bilmem Mi?	Sefo	19	#bd3200	2021-09-02	Viral 50	global
1jwEnLN5hMOwotwXfchUaf	Rei Lacoste	MD Chefe, DomLaike, Offlei Sounds	20	#3e3e40	2021-09-02	Viral 50	global
0W7brFokN6QtGRNp32RCQP	Alone With You	Arz	21	#3e3e40	2021-09-02	Viral 50	global
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	22	#84bd00	2021-09-02	Viral 50	global
4XiFqfUXyTwOChvMLKKi0T	Sem Sentimento	DG e Batidão Stronda, Felipe Amorim, Mc Danny	23	#bd3200	2021-09-02	Viral 50	global
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	24	#3e3e40	2021-09-02	Viral 50	global
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	25	#3e3e40	2021-09-02	Viral 50	global
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	26	#bd3200	2021-09-02	Viral 50	global
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	27	#84bd00	2021-09-02	Viral 50	global
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	28	#84bd00	2021-09-02	Viral 50	global
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	29	#bd3200	2021-09-02	Viral 50	global
7rdnB5DAyPbaj51TCQRcqW	It's You	Sezairi	30	#bd3200	2021-09-02	Viral 50	global
48Ll1C6qAnP2UjnopQDh4a	Bala Love	Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA	31	#bd3200	2021-09-02	Viral 50	global
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	32	#bd3200	2021-09-02	Viral 50	global
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	33	#84bd00	2021-09-02	Viral 50	global
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	34	#84bd00	2021-09-02	Viral 50	global
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	35	#bd3200	2021-09-02	Viral 50	global
1puprgnIxARMj8gR3Jj4B2	Just Drive	Erin Kinsey	36	#bd3200	2021-09-02	Viral 50	global
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	37	#bd3200	2021-09-02	Viral 50	global
5liJEcanWV112vEe9uT8iP	Mon Amour	zzoilo	38	#bd3200	2021-09-02	Viral 50	global
4u06FbRh6FvV2FQZkouzCw	Arranhão - Ao Vivo	Henrique & Juliano	39	#84bd00	2021-09-02	Viral 50	global
3FwQ3RYYEekzjEeL3jdpUZ	Pesan Terakhir	Lyodra	40	#bd3200	2021-09-02	Viral 50	global
0RSZ8EmUPEN3ySfCgytPke	Auf & Ab	Montez	41	#bd3200	2021-09-02	Viral 50	global
0AiqDWx6WV3liputKaskhe	Drobna zabawa	Magiera, Sobel	42	#4687d7	2021-09-02	Viral 50	global
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	43	#bd3200	2021-09-02	Viral 50	global
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	44	#84bd00	2021-09-02	Viral 50	global
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	45	#bd3200	2021-09-02	Viral 50	global
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	46	#4687d7	2021-09-02	Viral 50	global
4oonyJXO2PuTXq2KUOdFPH	Bonita	Los Dorados	47	#84bd00	2021-09-02	Viral 50	global
5L9oweGjkwBg0Mt9ZU9OhW	GECELERİN DERDİ	BEGE	48	#84bd00	2021-09-02	Viral 50	global
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	49	#bd3200	2021-09-02	Viral 50	global
7gMWTBRgB5CZdNDSuweCyr	Se Essa Bunda	Costa Gold, Kawe, André Nine	50	#bd3200	2021-09-02	Viral 50	global
2CoxJRIhTKvHyFIq9FcDO5	It's Only Me - Studio Version	Kaleb J	1	#3e3e40	2021-09-03	Viral 50	global
2ookQf9qP2qiBuNFnNXyfl	Chega E Senta - Ao Vivo	John Amplificado	2	#3e3e40	2021-09-03	Viral 50	global
5JO2usoem1CW1pLL1kLj9E	Manike Mage Hithe	Chamath Sangeeth, Yohani, Satheeshan	3	#3e3e40	2021-09-03	Viral 50	global
6HGcSuP89aoRvqLIAjcT8B	Now I Know	Kaleb J	4	#3e3e40	2021-09-03	Viral 50	global
1tdDDOJRdbo1Uz47D1k62G	Passinho Debochado	Dan Ventura	5	#3e3e40	2021-09-03	Viral 50	global
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	6	#3e3e40	2021-09-03	Viral 50	global
72zHuDxFQTjbL51qJQSA7j	"Ranjha (From ""Shershaah"")"	Jasleen Royal, B Praak, Romy, Anvita Dutt	7	#3e3e40	2021-09-03	Viral 50	global
2rOnSn2piaqLAlYjtfUBlY	"Raataan Lambiyan (From ""Shershaah"")"	Tanishk Bagchi, Jubin Nautiyal, Asees Kaur	8	#3e3e40	2021-09-03	Viral 50	global
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	9	#84bd00	2021-09-03	Viral 50	global
6u5qi5Va5afHWJ18fHjJyi	Ik Ga Zwemmen	Mart Hoogkamer	10	#bd3200	2021-09-03	Viral 50	global
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	11	#3e3e40	2021-09-03	Viral 50	global
2G3pr93yMNJ2HcL028dTxt	Antes de Ir	Taty pink, Romeu	12	#84bd00	2021-09-03	Viral 50	global
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	13	#bd3200	2021-09-03	Viral 50	global
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	14	#84bd00	2021-09-03	Viral 50	global
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	15	#bd3200	2021-09-03	Viral 50	global
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	16	#3e3e40	2021-09-03	Viral 50	global
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	17	#3e3e40	2021-09-03	Viral 50	global
1ktyKCzfI8hooCJP3X2yP5	uNa DiReZioNe giUsTa	yungest Moonstar, Neffa, tha Supreme	18	#3e3e40	2021-09-03	Viral 50	global
1jwEnLN5hMOwotwXfchUaf	Rei Lacoste	MD Chefe, DomLaike, Offlei Sounds	19	#84bd00	2021-09-03	Viral 50	global
6wbDn8NI3ygkOeDJiS0ASi	Bilmem Mi?	Sefo	20	#bd3200	2021-09-03	Viral 50	global
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	21	#84bd00	2021-09-03	Viral 50	global
0W7brFokN6QtGRNp32RCQP	Alone With You	Arz	22	#bd3200	2021-09-03	Viral 50	global
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	23	#84bd00	2021-09-03	Viral 50	global
4XiFqfUXyTwOChvMLKKi0T	Sem Sentimento	DG e Batidão Stronda, Felipe Amorim, Mc Danny	24	#bd3200	2021-09-03	Viral 50	global
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	25	#3e3e40	2021-09-03	Viral 50	global
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	26	#bd3200	2021-09-03	Viral 50	global
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	27	#84bd00	2021-09-03	Viral 50	global
48Ll1C6qAnP2UjnopQDh4a	Bala Love	Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA	28	#84bd00	2021-09-03	Viral 50	global
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	29	#bd3200	2021-09-03	Viral 50	global
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	30	#bd3200	2021-09-03	Viral 50	global
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	31	#84bd00	2021-09-03	Viral 50	global
