ID	Track	Artist	Position	Trend	Date	Chart	market
3DbiL7GTCopFHk9t9qpDut	Latina	Leaderbrain, RICTA	1	#3e3e40	2021-09-01	Viral 50	gr
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	2	#3e3e40	2021-09-01	Viral 50	gr
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	3	#84bd00	2021-09-01	Viral 50	gr
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	4	#bd3200	2021-09-01	Viral 50	gr
4x4io9GDTPPetji4i06L6c	Checks	Saske, Hawk, Grandbois	5	#3e3e40	2021-09-01	Viral 50	gr
3xcSTAxSTwfx0A4Ly68dfW	Leyla	DJ.Silence, RICTA	6	#bd3200	2021-09-01	Viral 50	gr
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	7	#3e3e40	2021-09-01	Viral 50	gr
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	8	#3e3e40	2021-09-01	Viral 50	gr
2dQa4RNT22zCHGSingau85	Antisocial	Slump6s, BabySantana	9	#3e3e40	2021-09-01	Viral 50	gr
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	10	#3e3e40	2021-09-01	Viral 50	gr
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	11	#84bd00	2021-09-01	Viral 50	gr
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	12	#bd3200	2021-09-01	Viral 50	gr
1nNIj9EJmlbSuDBfwIwE0Y	Dale	Mente Fuerte, Baghdad	13	#84bd00	2021-09-01	Viral 50	gr
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	14	#bd3200	2021-09-01	Viral 50	gr
28ogD47g2bApjPi9GtA9Sj	Dujem	Butrint Imeri	15	#bd3200	2021-09-01	Viral 50	gr
1ClSzO8r4AmutluvghbyVR	Remember	Coyot	16	#84bd00	2021-09-01	Viral 50	gr
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	17	#bd3200	2021-09-01	Viral 50	gr
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	18	#bd3200	2021-09-01	Viral 50	gr
45tKbJjhOIrURcjLNfjLye	Funky	Fy, Display	19	#84bd00	2021-09-01	Viral 50	gr
6tfajS9NU9zqfOZdByVbV1	S' Agapao	Nikos Vertis	20	#84bd00	2021-09-01	Viral 50	gr
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	21	#84bd00	2021-09-01	Viral 50	gr
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	22	#84bd00	2021-09-01	Viral 50	gr
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	23	#84bd00	2021-09-01	Viral 50	gr
1sajOsIfI8ncxrb1I7Ak5D	El Anciano y el Niño	Cheo Gallego	24	#84bd00	2021-09-01	Viral 50	gr
1XQSLHs0XR2wdAya1pmaER	Mi Amor (feat. Noizy & Jugglerz)	Dhurata Dora	25	#84bd00	2021-09-01	Viral 50	gr
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	26	#bd3200	2021-09-01	Viral 50	gr
0hVl1Eb02SNnTHSgrlhBm7	NASA	Rack, Saske	27	#bd3200	2021-09-01	Viral 50	gr
02MWAaffLxlfxAUY7c5dvx	Heat Waves	Glass Animals	28	#84bd00	2021-09-01	Viral 50	gr
4ka1FkKAMde6dQAFFMXKac	i hope ur miserable until ur dead	Nessa Barrett	29	#84bd00	2021-09-01	Viral 50	gr
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	30	#bd3200	2021-09-01	Viral 50	gr
5Kba6Aixt9oJuKtjN5scL3	Love Nwantiti - Remix	Dj Yo!, CKay, AX'EL	31	#4687d7	2021-09-01	Viral 50	gr
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	32	#bd3200	2021-09-01	Viral 50	gr
6PQ88X9TkUIAUIZJHW2upE	Bad Habits	Ed Sheeran	33	#bd3200	2021-09-01	Viral 50	gr
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	34	#bd3200	2021-09-01	Viral 50	gr
1RZR4mCcJMIdxWcui3savP	Poso Oraia Matia Exeis	Katerina, Giannis Ploutarhos	35	#bd3200	2021-09-01	Viral 50	gr
62fX2b2VUsHk0S6Jhc24B2	Swimming Pools	Lloyd	36	#84bd00	2021-09-01	Viral 50	gr
6SLGS7ebSW5IIgN3NscFgq	Vida Loca	Ggreco, FANN	37	#84bd00	2021-09-01	Viral 50	gr
2faI6zbvghH5wDaS6g5mEN	Wet	SNIK, TOQUEL, MG, GAMEBOY	38	#bd3200	2021-09-01	Viral 50	gr
52C3JneKDJp7O0Ijhftule	Den Katalavaineis	Stixoima	39	#bd3200	2021-09-01	Viral 50	gr
1EYeZGTMCjV7uVey5fNWXM	love nwantiti (feat. ElGrande Toto) - North African Remix	CKay, ElGrandeToto	40	#4687d7	2021-09-01	Viral 50	gr
3Vi5XqYrmQgOYBajMWSvCi	Need to Know	Doja Cat	41	#bd3200	2021-09-01	Viral 50	gr
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	42	#bd3200	2021-09-01	Viral 50	gr
2S2OTWlmddsahTVv7hB82y	Apagoreumeno	Oge, Apon, Rack	43	#bd3200	2021-09-01	Viral 50	gr
6AjmjuZVqdNVhFAzWqB0y5	Rima Polivolo	DJ.Silence, Rack	44	#bd3200	2021-09-01	Viral 50	gr
2ZLlYhxArfoMgOm1vfdKzn	Nokia	Elai	45	#84bd00	2021-09-01	Viral 50	gr
0ShjxY2DZlB9lX4HlPKLwK	Dale	Butrint Imeri, Kida, Ledri Vula	46	#4687d7	2021-09-01	Viral 50	gr
3KB6rBjbDiDOfYf0F2A7Yq	West Attica	Jitano	47	#84bd00	2021-09-01	Viral 50	gr
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	48	#bd3200	2021-09-01	Viral 50	gr
1Pq47iFLC5U7j8xeNiNcuS	It's My Party	Lesley Gore	49	#4687d7	2021-09-01	Viral 50	gr
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	50	#4687d7	2021-09-01	Viral 50	gr
4AcWoNZHJ6tLBcKWifiTbC	Guccci	Mad Clip	1	#4687d7	2021-09-02	Viral 50	gr
3DbiL7GTCopFHk9t9qpDut	Latina	Leaderbrain, RICTA	2	#bd3200	2021-09-02	Viral 50	gr
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	3	#bd3200	2021-09-02	Viral 50	gr
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	4	#bd3200	2021-09-02	Viral 50	gr
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	5	#bd3200	2021-09-02	Viral 50	gr
4x4io9GDTPPetji4i06L6c	Checks	Saske, Hawk, Grandbois	6	#bd3200	2021-09-02	Viral 50	gr
3xcSTAxSTwfx0A4Ly68dfW	Leyla	DJ.Silence, RICTA	7	#bd3200	2021-09-02	Viral 50	gr
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	8	#bd3200	2021-09-02	Viral 50	gr
3ev7hldQsCZNgHxeq8z52M	Tis dikeosinis ilie	Mikis Theodorakis	9	#4687d7	2021-09-02	Viral 50	gr
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	10	#bd3200	2021-09-02	Viral 50	gr
2dQa4RNT22zCHGSingau85	Antisocial	Slump6s, BabySantana	11	#bd3200	2021-09-02	Viral 50	gr
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	12	#bd3200	2021-09-02	Viral 50	gr
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	13	#bd3200	2021-09-02	Viral 50	gr
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	14	#bd3200	2021-09-02	Viral 50	gr
23StlrOBjrvXMAZUTVcHpG	Prosefhes	Mad Clip	15	#4687d7	2021-09-02	Viral 50	gr
28ogD47g2bApjPi9GtA9Sj	Dujem	Butrint Imeri	16	#bd3200	2021-09-02	Viral 50	gr
5f8lE7L6y27EK1yYbEGLvg	Horos Tou Zorba (I) / Zorba's Dance	Mikis Theodorakis	17	#4687d7	2021-09-02	Viral 50	gr
1nNIj9EJmlbSuDBfwIwE0Y	Dale	Mente Fuerte, Baghdad	18	#bd3200	2021-09-02	Viral 50	gr
1ClSzO8r4AmutluvghbyVR	Remember	Coyot	19	#bd3200	2021-09-02	Viral 50	gr
5wYtTIntwa67X2UVr5Sjoz	Theme From Serpico	Mikis Theodorakis	20	#4687d7	2021-09-02	Viral 50	gr
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	21	#bd3200	2021-09-02	Viral 50	gr
5Kba6Aixt9oJuKtjN5scL3	Love Nwantiti - Remix	Dj Yo!, CKay, AX'EL	22	#84bd00	2021-09-02	Viral 50	gr
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	23	#bd3200	2021-09-02	Viral 50	gr
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	24	#bd3200	2021-09-02	Viral 50	gr
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	25	#bd3200	2021-09-02	Viral 50	gr
1sajOsIfI8ncxrb1I7Ak5D	El Anciano y el Niño	Cheo Gallego	26	#bd3200	2021-09-02	Viral 50	gr
1JaBJC3gj7jSsNxsnYTzhj	Elpida	Mad Clip	27	#4687d7	2021-09-02	Viral 50	gr
45tKbJjhOIrURcjLNfjLye	Funky	Fy, Display	28	#bd3200	2021-09-02	Viral 50	gr
02MWAaffLxlfxAUY7c5dvx	Heat Waves	Glass Animals	29	#bd3200	2021-09-02	Viral 50	gr
6tfajS9NU9zqfOZdByVbV1	S' Agapao	Nikos Vertis	30	#bd3200	2021-09-02	Viral 50	gr
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	31	#bd3200	2021-09-02	Viral 50	gr
0Az2D1ByNU09je0ZtzDcHm	XILIOMETRA	Mad Clip, Hawk, Light, Sapranov	32	#4687d7	2021-09-02	Viral 50	gr
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	33	#bd3200	2021-09-02	Viral 50	gr
0hVl1Eb02SNnTHSgrlhBm7	NASA	Rack, Saske	34	#bd3200	2021-09-02	Viral 50	gr
4c6wOJvwXFiLR9MOencXBS	Sogno Di Libertà	Mikis Theodorakis, Milva	35	#4687d7	2021-09-02	Viral 50	gr
4ka1FkKAMde6dQAFFMXKac	i hope ur miserable until ur dead	Nessa Barrett	36	#bd3200	2021-09-02	Viral 50	gr
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	37	#bd3200	2021-09-02	Viral 50	gr
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	38	#bd3200	2021-09-02	Viral 50	gr
1XQSLHs0XR2wdAya1pmaER	Mi Amor (feat. Noizy & Jugglerz)	Dhurata Dora	39	#bd3200	2021-09-02	Viral 50	gr
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	40	#bd3200	2021-09-02	Viral 50	gr
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	41	#bd3200	2021-09-02	Viral 50	gr
6PQ88X9TkUIAUIZJHW2upE	Bad Habits	Ed Sheeran	42	#bd3200	2021-09-02	Viral 50	gr
1EYeZGTMCjV7uVey5fNWXM	love nwantiti (feat. ElGrande Toto) - North African Remix	CKay, ElGrandeToto	43	#bd3200	2021-09-02	Viral 50	gr
52C3JneKDJp7O0Ijhftule	Den Katalavaineis	Stixoima	44	#bd3200	2021-09-02	Viral 50	gr
2faI6zbvghH5wDaS6g5mEN	Wet	SNIK, TOQUEL, MG, GAMEBOY	45	#bd3200	2021-09-02	Viral 50	gr
62fX2b2VUsHk0S6Jhc24B2	Swimming Pools	Lloyd	46	#bd3200	2021-09-02	Viral 50	gr
1RZR4mCcJMIdxWcui3savP	Poso Oraia Matia Exeis	Katerina, Giannis Ploutarhos	47	#bd3200	2021-09-02	Viral 50	gr
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	48	#bd3200	2021-09-02	Viral 50	gr
6SLGS7ebSW5IIgN3NscFgq	Vida Loca	Ggreco, FANN	49	#bd3200	2021-09-02	Viral 50	gr
6AjmjuZVqdNVhFAzWqB0y5	Rima Polivolo	DJ.Silence, Rack	50	#bd3200	2021-09-02	Viral 50	gr
4AcWoNZHJ6tLBcKWifiTbC	Guccci	Mad Clip	1	#3e3e40	2021-09-03	Viral 50	gr
3DbiL7GTCopFHk9t9qpDut	Latina	Leaderbrain, RICTA	2	#3e3e40	2021-09-03	Viral 50	gr
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	3	#3e3e40	2021-09-03	Viral 50	gr
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	4	#3e3e40	2021-09-03	Viral 50	gr
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	5	#3e3e40	2021-09-03	Viral 50	gr
3xcSTAxSTwfx0A4Ly68dfW	Leyla	DJ.Silence, RICTA	6	#84bd00	2021-09-03	Viral 50	gr
4x4io9GDTPPetji4i06L6c	Checks	Saske, Hawk, Grandbois	7	#bd3200	2021-09-03	Viral 50	gr
3ev7hldQsCZNgHxeq8z52M	Tis dikeosinis ilie	Mikis Theodorakis	8	#84bd00	2021-09-03	Viral 50	gr
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	9	#bd3200	2021-09-03	Viral 50	gr
23StlrOBjrvXMAZUTVcHpG	Prosefhes	Mad Clip	10	#84bd00	2021-09-03	Viral 50	gr
2dQa4RNT22zCHGSingau85	Antisocial	Slump6s, BabySantana	11	#3e3e40	2021-09-03	Viral 50	gr
5wYtTIntwa67X2UVr5Sjoz	Theme From Serpico	Mikis Theodorakis	12	#84bd00	2021-09-03	Viral 50	gr
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	13	#bd3200	2021-09-03	Viral 50	gr
5f8lE7L6y27EK1yYbEGLvg	Horos Tou Zorba (I) / Zorba's Dance	Mikis Theodorakis	14	#84bd00	2021-09-03	Viral 50	gr
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	15	#bd3200	2021-09-03	Viral 50	gr
5Kba6Aixt9oJuKtjN5scL3	Love Nwantiti - Remix	Dj Yo!, CKay, AX'EL	16	#84bd00	2021-09-03	Viral 50	gr
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	17	#bd3200	2021-09-03	Viral 50	gr
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	18	#bd3200	2021-09-03	Viral 50	gr
1JaBJC3gj7jSsNxsnYTzhj	Elpida	Mad Clip	19	#84bd00	2021-09-03	Viral 50	gr
28ogD47g2bApjPi9GtA9Sj	Dujem	Butrint Imeri	20	#bd3200	2021-09-03	Viral 50	gr
4c6wOJvwXFiLR9MOencXBS	Sogno Di Libertà	Mikis Theodorakis, Milva	21	#84bd00	2021-09-03	Viral 50	gr
1nNIj9EJmlbSuDBfwIwE0Y	Dale	Mente Fuerte, Baghdad	22	#bd3200	2021-09-03	Viral 50	gr
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	23	#bd3200	2021-09-03	Viral 50	gr
0Az2D1ByNU09je0ZtzDcHm	XILIOMETRA	Mad Clip, Hawk, Light, Sapranov	24	#84bd00	2021-09-03	Viral 50	gr
1ClSzO8r4AmutluvghbyVR	Remember	Coyot	25	#bd3200	2021-09-03	Viral 50	gr
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	26	#bd3200	2021-09-03	Viral 50	gr
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	27	#bd3200	2021-09-03	Viral 50	gr
02MWAaffLxlfxAUY7c5dvx	Heat Waves	Glass Animals	28	#84bd00	2021-09-03	Viral 50	gr
1sajOsIfI8ncxrb1I7Ak5D	El Anciano y el Niño	Cheo Gallego	29	#bd3200	2021-09-03	Viral 50	gr
2rbSs3LMmRjqvE8OkjHlu9	Areti	Mad Clip	30	#4687d7	2021-09-03	Viral 50	gr
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	31	#3e3e40	2021-09-03	Viral 50	gr
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	32	#bd3200	2021-09-03	Viral 50	gr
6tfajS9NU9zqfOZdByVbV1	S' Agapao	Nikos Vertis	33	#bd3200	2021-09-03	Viral 50	gr
45tKbJjhOIrURcjLNfjLye	Funky	Fy, Display	34	#bd3200	2021-09-03	Viral 50	gr
0hVl1Eb02SNnTHSgrlhBm7	NASA	Rack, Saske	35	#bd3200	2021-09-03	Viral 50	gr
1EYeZGTMCjV7uVey5fNWXM	love nwantiti (feat. ElGrande Toto) - North African Remix	CKay, ElGrandeToto	36	#84bd00	2021-09-03	Viral 50	gr
4ka1FkKAMde6dQAFFMXKac	i hope ur miserable until ur dead	Nessa Barrett	37	#bd3200	2021-09-03	Viral 50	gr
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	38	#bd3200	2021-09-03	Viral 50	gr
7raprblR3NfeuiV72Lz5Il	Mporei	Mad Clip, Eleni Foureira, Skive	39	#4687d7	2021-09-03	Viral 50	gr
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	40	#bd3200	2021-09-03	Viral 50	gr
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	41	#bd3200	2021-09-03	Viral 50	gr
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	42	#bd3200	2021-09-03	Viral 50	gr
4nN3sSVDpCqf3TW4tpDBAS	"The Honeymoon Song - Live At The BBC For ""Pop Go The Beatles"" / 6th August, 1963"	The Beatles	43	#4687d7	2021-09-03	Viral 50	gr
6PQ88X9TkUIAUIZJHW2upE	Bad Habits	Ed Sheeran	44	#bd3200	2021-09-03	Viral 50	gr
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	45	#bd3200	2021-09-03	Viral 50	gr
6SLGS7ebSW5IIgN3NscFgq	Vida Loca	Ggreco, FANN	46	#84bd00	2021-09-03	Viral 50	gr
62fX2b2VUsHk0S6Jhc24B2	Swimming Pools	Lloyd	47	#bd3200	2021-09-03	Viral 50	gr
2faI6zbvghH5wDaS6g5mEN	Wet	SNIK, TOQUEL, MG, GAMEBOY	48	#bd3200	2021-09-03	Viral 50	gr
6AjmjuZVqdNVhFAzWqB0y5	Rima Polivolo	DJ.Silence, Rack	49	#84bd00	2021-09-03	Viral 50	gr
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	50	#bd3200	2021-09-03	Viral 50	gr
4AcWoNZHJ6tLBcKWifiTbC	Guccci	Mad Clip	1	#3e3e40	2021-09-04	Viral 50	gr
3DbiL7GTCopFHk9t9qpDut	Latina	Leaderbrain, RICTA	2	#3e3e40	2021-09-04	Viral 50	gr
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	3	#3e3e40	2021-09-04	Viral 50	gr
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	4	#3e3e40	2021-09-04	Viral 50	gr
3xcSTAxSTwfx0A4Ly68dfW	Leyla	DJ.Silence, RICTA	5	#84bd00	2021-09-04	Viral 50	gr
23StlrOBjrvXMAZUTVcHpG	Prosefhes	Mad Clip	6	#84bd00	2021-09-04	Viral 50	gr
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	7	#bd3200	2021-09-04	Viral 50	gr
3ev7hldQsCZNgHxeq8z52M	Tis dikeosinis ilie	Mikis Theodorakis	8	#3e3e40	2021-09-04	Viral 50	gr
4x4io9GDTPPetji4i06L6c	Checks	Saske, Hawk, Grandbois	9	#bd3200	2021-09-04	Viral 50	gr
5f8lE7L6y27EK1yYbEGLvg	Horos Tou Zorba (I) / Zorba's Dance	Mikis Theodorakis	10	#84bd00	2021-09-04	Viral 50	gr
5wYtTIntwa67X2UVr5Sjoz	Theme From Serpico	Mikis Theodorakis	11	#84bd00	2021-09-04	Viral 50	gr
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	12	#bd3200	2021-09-04	Viral 50	gr
2dQa4RNT22zCHGSingau85	Antisocial	Slump6s, BabySantana	13	#bd3200	2021-09-04	Viral 50	gr
5Kba6Aixt9oJuKtjN5scL3	Love Nwantiti - Remix	Dj Yo!, CKay, AX'EL	14	#84bd00	2021-09-04	Viral 50	gr
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	15	#bd3200	2021-09-04	Viral 50	gr
1JaBJC3gj7jSsNxsnYTzhj	Elpida	Mad Clip	16	#84bd00	2021-09-04	Viral 50	gr
2rbSs3LMmRjqvE8OkjHlu9	Areti	Mad Clip	17	#84bd00	2021-09-04	Viral 50	gr
4c6wOJvwXFiLR9MOencXBS	Sogno Di Libertà	Mikis Theodorakis, Milva	18	#84bd00	2021-09-04	Viral 50	gr
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	19	#bd3200	2021-09-04	Viral 50	gr
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	20	#bd3200	2021-09-04	Viral 50	gr
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	21	#bd3200	2021-09-04	Viral 50	gr
28ogD47g2bApjPi9GtA9Sj	Dujem	Butrint Imeri	22	#bd3200	2021-09-04	Viral 50	gr
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	23	#84bd00	2021-09-04	Viral 50	gr
0Az2D1ByNU09je0ZtzDcHm	XILIOMETRA	Mad Clip, Hawk, Light, Sapranov	24	#3e3e40	2021-09-04	Viral 50	gr
1nNIj9EJmlbSuDBfwIwE0Y	Dale	Mente Fuerte, Baghdad	25	#bd3200	2021-09-04	Viral 50	gr
1ClSzO8r4AmutluvghbyVR	Remember	Coyot	26	#bd3200	2021-09-04	Viral 50	gr
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	27	#bd3200	2021-09-04	Viral 50	gr
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	28	#bd3200	2021-09-04	Viral 50	gr
02MWAaffLxlfxAUY7c5dvx	Heat Waves	Glass Animals	29	#bd3200	2021-09-04	Viral 50	gr
1sajOsIfI8ncxrb1I7Ak5D	El Anciano y el Niño	Cheo Gallego	30	#bd3200	2021-09-04	Viral 50	gr
1EYeZGTMCjV7uVey5fNWXM	love nwantiti (feat. ElGrande Toto) - North African Remix	CKay, ElGrandeToto	31	#84bd00	2021-09-04	Viral 50	gr
4nN3sSVDpCqf3TW4tpDBAS	"The Honeymoon Song - Live At The BBC For ""Pop Go The Beatles"" / 6th August, 1963"	The Beatles	32	#84bd00	2021-09-04	Viral 50	gr
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	33	#bd3200	2021-09-04	Viral 50	gr
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	34	#bd3200	2021-09-04	Viral 50	gr
7raprblR3NfeuiV72Lz5Il	Mporei	Mad Clip, Eleni Foureira, Skive	35	#84bd00	2021-09-04	Viral 50	gr
45tKbJjhOIrURcjLNfjLye	Funky	Fy, Display	36	#bd3200	2021-09-04	Viral 50	gr
0hVl1Eb02SNnTHSgrlhBm7	NASA	Rack, Saske	37	#bd3200	2021-09-04	Viral 50	gr
6tfajS9NU9zqfOZdByVbV1	S' Agapao	Nikos Vertis	38	#bd3200	2021-09-04	Viral 50	gr
4ka1FkKAMde6dQAFFMXKac	i hope ur miserable until ur dead	Nessa Barrett	39	#bd3200	2021-09-04	Viral 50	gr
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	40	#84bd00	2021-09-04	Viral 50	gr
