ID	Track	Artist	Position	Trend	Date	Chart	market
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	1	#3e3e40	2021-09-01	Viral 50	gt
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	2	#3e3e40	2021-09-01	Viral 50	gt
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	3	#3e3e40	2021-09-01	Viral 50	gt
5T14Fz7WqfW06PEiNVtd6p	Siempre a Tu Lado	Nueva Marca	4	#84bd00	2021-09-01	Viral 50	gt
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	5	#bd3200	2021-09-01	Viral 50	gt
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	6	#3e3e40	2021-09-01	Viral 50	gt
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	7	#84bd00	2021-09-01	Viral 50	gt
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	8	#84bd00	2021-09-01	Viral 50	gt
6w8yBI2vthyN9UnwO4UBWb	Entre Nosotros	Tiago PZK, LIT killah	9	#bd3200	2021-09-01	Viral 50	gt
5liJEcanWV112vEe9uT8iP	Mon Amour	zzoilo	10	#bd3200	2021-09-01	Viral 50	gt
08TD3JtW8nc3NEgxaSBNbL	NO WAY	DONGURIZU	11	#3e3e40	2021-09-01	Viral 50	gt
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	12	#bd3200	2021-09-01	Viral 50	gt
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	13	#bd3200	2021-09-01	Viral 50	gt
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	14	#bd3200	2021-09-01	Viral 50	gt
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	15	#bd3200	2021-09-01	Viral 50	gt
4HzqWEdAbzcVFDv0pvxV4w	Sobrio	Maluma	16	#84bd00	2021-09-01	Viral 50	gt
3znlxKwQTRVrrerCcZPus2	Tranquilísimo	Israel B, C. Tangana, LOWLIGHT	17	#bd3200	2021-09-01	Viral 50	gt
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	18	#3e3e40	2021-09-01	Viral 50	gt
4OwhwvKESFtuu06dTgct7i	Tiroteo - Remix	Marc Seguí, Rauw Alejandro, Pol Granch	19	#3e3e40	2021-09-01	Viral 50	gt
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	20	#84bd00	2021-09-01	Viral 50	gt
3HgvO4B5LLmdPOT2d8cSZd	Mónaco	LAGOS, Danny Ocean	21	#84bd00	2021-09-01	Viral 50	gt
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	22	#84bd00	2021-09-01	Viral 50	gt
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	23	#3e3e40	2021-09-01	Viral 50	gt
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	24	#84bd00	2021-09-01	Viral 50	gt
6szg6z5MWZKiojwcu5hRNX	Estoy Bien	Panther	25	#bd3200	2021-09-01	Viral 50	gt
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	26	#84bd00	2021-09-01	Viral 50	gt
0Kdj7nwaYQmvhxnqZaIQuW	Bezos I	Bo Burnham	27	#bd3200	2021-09-01	Viral 50	gt
4oonyJXO2PuTXq2KUOdFPH	Bonita	Los Dorados	28	#bd3200	2021-09-01	Viral 50	gt
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	29	#84bd00	2021-09-01	Viral 50	gt
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	30	#bd3200	2021-09-01	Viral 50	gt
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	31	#84bd00	2021-09-01	Viral 50	gt
0G2zPzWqVjR68iNPmx2TBe	Volando - Remix	Mora, Bad Bunny, Sech	32	#3e3e40	2021-09-01	Viral 50	gt
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	33	#84bd00	2021-09-01	Viral 50	gt
0cOa970mzTWAxKtltpkpLc	Miénteme	TINI, Maria Becerra	34	#3e3e40	2021-09-01	Viral 50	gt
2WYs5LxOZfEyURXu7V0O1a	Stay With Me	1nonly	35	#84bd00	2021-09-01	Viral 50	gt
7wQA3X80jxBkfbSQCEbQZP			36	#84bd00	2021-09-01	Viral 50	gt
1gGhqfs2pDTOI30AEXMXrn	Alien Boy	Oliver Tree	37	#bd3200	2021-09-01	Viral 50	gt
7bx66Je824Iak8c1CfsMrE	Dos Problemas (feat. Big Soto) - Remix	Blessd, Javiielo, Neutro Shorty	38	#3e3e40	2021-09-01	Viral 50	gt
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	39	#bd3200	2021-09-01	Viral 50	gt
2xXNLutYAOELYVObYb1C1S	As the World Caves In	Sarah Cothran	40	#bd3200	2021-09-01	Viral 50	gt
