ID	Track	Artist	Position	Trend	Date	Chart	market
4I2nZnEp1JZoHO4RB27VTR	係咁先啦 (feat. Kayan9896)	MC $oho & KidNey	1	#3e3e40	2021-09-01	Viral 50	hk
02xwA3Ej9NPetftp9V7VZ3	好きだから。	『ユイカ』	2	#3e3e40	2021-09-01	Viral 50	hk
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	3	#84bd00	2021-09-01	Viral 50	hk
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	4	#bd3200	2021-09-01	Viral 50	hk
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	5	#84bd00	2021-09-01	Viral 50	hk
11IqNbLOD4s4nVYSuEttFR	Dear My Friend,	Keung To	6	#bd3200	2021-09-01	Viral 50	hk
3Kdlue3eVr9jf0Ns5wNPMj	神奇之路 (電影《媽媽的神奇小子》主題曲)	Jer 柳應廷, 香港兒童合唱團	7	#3e3e40	2021-09-01	Viral 50	hk
0iQ4lDzgfnnWQgJEEoNxkq	我唔要男人只係需要撚	Salty Chick	8	#3e3e40	2021-09-01	Viral 50	hk
6W8BuV0hGDEOrlhVupXDQ8	今晚好想好想打俾你	Salty Chick	9	#84bd00	2021-09-01	Viral 50	hk
6kEzWfX8TilHN8FenwdxCE	honest (feat. moon tang)	Gareth.T	10	#bd3200	2021-09-01	Viral 50	hk
5KIHbprtPOSOiUkHkQQjJ5	點解全部都係細J (feat. NatureHin)	Salty Chick	11	#bd3200	2021-09-01	Viral 50	hk
4KdJekSGPPhAU52BmDZIOY	Heavy Heart	RIO	12	#bd3200	2021-09-01	Viral 50	hk
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	13	#84bd00	2021-09-01	Viral 50	hk
62PaY0S6h9UofRsMiesevo	Butterfly	J.UNA	14	#bd3200	2021-09-01	Viral 50	hk
2P5Eeh29qJrYa1T27cdL3B	反對無效	MC 張天賦	15	#84bd00	2021-09-01	Viral 50	hk
6yfGer1TKpxOjhSd5eL0DL	Summer Is for Falling in Love	Sarah Kang, EyeLoveBrandon	16	#bd3200	2021-09-01	Viral 50	hk
6fG9JVdUx4Ttks3tDwQMRs	Nevertheless	Night Off	17	#bd3200	2021-09-01	Viral 50	hk
2EU1uVEUCgSA5aiBiHJDAk	逆時車站	Kaho Hung	18	#bd3200	2021-09-01	Viral 50	hk
3hdQIQYs13Gv2gdncFvKZ0	How Many Times - Studio Live	MC 張天賦, Jay Fung	19	#bd3200	2021-09-01	Viral 50	hk
6tuY8E9DpGLAEmgzoByJ28	其實我只想一個人	Salty Chick	20	#84bd00	2021-09-01	Viral 50	hk
1JUBwmyI8NXHwGO0SygEC3	日出時讓街燈安睡 (feat. Jacky Cheung 張學友)	Gin Lee	21	#84bd00	2021-09-01	Viral 50	hk
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	22	#bd3200	2021-09-01	Viral 50	hk
1Qhcx4uDQ4RFy9m4mKdzUN	So Tender	Say Sue Me	23	#bd3200	2021-09-01	Viral 50	hk
4Pzi0povbtMOuVyGKGNOKu	小諧星	Edan 呂爵安	24	#3e3e40	2021-09-01	Viral 50	hk
5k10Wh3n2R4I9bv3X1TNCr	All My Love is Pornhub	Salty Chick	25	#84bd00	2021-09-01	Viral 50	hk
185Wm4Mx09dQG0fUktklDm	ラブレター	YOASOBI	26	#84bd00	2021-09-01	Viral 50	hk
5NaFRd6bnMa63kkjfVYXdu	Better	Tyson Yoshi	27	#bd3200	2021-09-01	Viral 50	hk
26iJfJ442rlJQuZIAxBDPt	無恙	CHANKA	28	#84bd00	2021-09-01	Viral 50	hk
7iQdInUqIpVdatCooLZC3A	風的形狀	Yoyo Sham	29	#bd3200	2021-09-01	Viral 50	hk
5tFikHsd4xViCuKfnOZA1Z	Reality	Richard Sanderson	30	#84bd00	2021-09-01	Viral 50	hk
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	31	#bd3200	2021-09-01	Viral 50	hk
57whMtYJiIwzsl3F373WFC	青春快門 (樹窿版)	馬檇鏗	32	#84bd00	2021-09-01	Viral 50	hk
20dYdhOwY8nfGsVaIockAR	boyfriend material	Gareth.T	33	#bd3200	2021-09-01	Viral 50	hk
2TPOTSNzJKfVRN39ALLZbw	我不是邱比特 - 合唱版	Mike 曾比特, JC 陳詠桐	34	#bd3200	2021-09-01	Viral 50	hk
31GEWTEfwsNDnA3LhQda3v	聽海浪	Byejack, Midnight	35	#3e3e40	2021-09-01	Viral 50	hk
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	36	#bd3200	2021-09-01	Viral 50	hk
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	37	#bd3200	2021-09-01	Viral 50	hk
3TewUoxPgSIvXOT0IgPf1i	黑水鬼 (feat. Geniuz F the FUTURE)	Novel Fergus	38	#84bd00	2021-09-01	Viral 50	hk
1kuML8BXbxGjfxQ1FkJPwI	We're Already	KIMMUSEUM	39	#bd3200	2021-09-01	Viral 50	hk
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	40	#bd3200	2021-09-01	Viral 50	hk
6dGushbIvZ6BC4TxLPkKch	明星生活 Popstar Life	The Low Mays	41	#3e3e40	2021-09-01	Viral 50	hk
0iJhV3pBll9AWg8JNZ7ZCu	青春快門 (日出版)	劉蘊晴	42	#84bd00	2021-09-01	Viral 50	hk
5hNcwX8rk7vASRd2UK6m8k	目及皆是你	小蓝背心	43	#84bd00	2021-09-01	Viral 50	hk
6MhDLzRnFfgBteLNrFJVi3	Can’t Stop Myself Tonight - Studio Live	MC 張天賦, Jay Fung	44	#84bd00	2021-09-01	Viral 50	hk
1zaOM6XnKMNW1P74H3Qw8u	唉依家啲女 Basic Thots	The Low Mays, AKIKO	45	#bd3200	2021-09-01	Viral 50	hk
5V17L4QLIZpZ3sZtgHlmej	深夜浪漫	Gigi Cheung	46	#bd3200	2021-09-01	Viral 50	hk
1jxGBe4s8FwL2ZeNWszVuu	I'm Gonna Love You	D.O., Wonstein	47	#4687d7	2021-09-01	Viral 50	hk
1MIGkQxcdAt2lDx6ySpsc5	SUVs (Black on Black)	Jack Harlow, Pooh Shiesty	48	#bd3200	2021-09-01	Viral 50	hk
4c8SUkJFBqDpaLV0NNqcog	祝福你快樂	Anthony Wong	49	#4687d7	2021-09-01	Viral 50	hk
4P7Cfn5Sj3y0nMhbhzpqGm	心獸 (怪物 Version)	葉巧琳, Manson 張進翹	50	#bd3200	2021-09-01	Viral 50	hk
