ID	Track	Artist	Position	Trend	Date	Chart	market
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	1	#3e3e40	2021-09-01	Viral 50	hn
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	2	#3e3e40	2021-09-01	Viral 50	hn
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	3	#84bd00	2021-09-01	Viral 50	hn
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	4	#bd3200	2021-09-01	Viral 50	hn
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	5	#bd3200	2021-09-01	Viral 50	hn
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	6	#3e3e40	2021-09-01	Viral 50	hn
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	7	#84bd00	2021-09-01	Viral 50	hn
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	8	#bd3200	2021-09-01	Viral 50	hn
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	9	#84bd00	2021-09-01	Viral 50	hn
3pvalQEg29xTyQk1eqWtVJ	Si Es Trucho Es Trucho (feat. Farruko and El Alfa) - Remix	Axel Rulay	10	#84bd00	2021-09-01	Viral 50	hn
4OwhwvKESFtuu06dTgct7i	Tiroteo - Remix	Marc Seguí, Rauw Alejandro, Pol Granch	11	#bd3200	2021-09-01	Viral 50	hn
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	12	#84bd00	2021-09-01	Viral 50	hn
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	13	#84bd00	2021-09-01	Viral 50	hn
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	14	#84bd00	2021-09-01	Viral 50	hn
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	15	#3e3e40	2021-09-01	Viral 50	hn
4HzqWEdAbzcVFDv0pvxV4w	Sobrio	Maluma	16	#bd3200	2021-09-01	Viral 50	hn
6w8yBI2vthyN9UnwO4UBWb	Entre Nosotros	Tiago PZK, LIT killah	17	#3e3e40	2021-09-01	Viral 50	hn
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	18	#84bd00	2021-09-01	Viral 50	hn
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	19	#3e3e40	2021-09-01	Viral 50	hn
3Vi5XqYrmQgOYBajMWSvCi	Need to Know	Doja Cat	20	#bd3200	2021-09-01	Viral 50	hn
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	21	#84bd00	2021-09-01	Viral 50	hn
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	22	#84bd00	2021-09-01	Viral 50	hn
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	23	#bd3200	2021-09-01	Viral 50	hn
3HgvO4B5LLmdPOT2d8cSZd	Mónaco	LAGOS, Danny Ocean	24	#bd3200	2021-09-01	Viral 50	hn
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	25	#84bd00	2021-09-01	Viral 50	hn
0G2zPzWqVjR68iNPmx2TBe	Volando - Remix	Mora, Bad Bunny, Sech	26	#84bd00	2021-09-01	Viral 50	hn
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	27	#bd3200	2021-09-01	Viral 50	hn
0W6I02J9xcqK8MtSeosEXb	Get Into It (Yuh)	Doja Cat	28	#bd3200	2021-09-01	Viral 50	hn
3PwRuzdphgedcWVUOVYJ7I	Cúrame	Rauw Alejandro	29	#84bd00	2021-09-01	Viral 50	hn
08TD3JtW8nc3NEgxaSBNbL	NO WAY	DONGURIZU	30	#bd3200	2021-09-01	Viral 50	hn
7H0ya83CMmgFcOhw0UB6ow	Space Song	Beach House	31	#3e3e40	2021-09-01	Viral 50	hn
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	32	#84bd00	2021-09-01	Viral 50	hn
1Z8TPHiKeCUyClxV6WTTIf	0X1=LOVESONG (I Know I Love You) feat. Seori	TOMORROW X TOGETHER	33	#3e3e40	2021-09-01	Viral 50	hn
3pQYf90V5idOGrXzosm9rt	Se Amerita	Junior H	34	#4687d7	2021-09-01	Viral 50	hn
0zO8ctW0UiuOefR87OeJOZ	Collard Greens	ScHoolboy Q, Kendrick Lamar	35	#bd3200	2021-09-01	Viral 50	hn
4it6vaFbkGRUaQlwWUMg3v	Mi Debilidad	Maria Becerra	36	#4687d7	2021-09-01	Viral 50	hn
6Ph8QwsRfZunN5e1GGBIqa	Hurt	Oliver Tree	37	#3e3e40	2021-09-01	Viral 50	hn
0akyEssGRVHstqCSWXusJL	Fuentes de Ortiz	Ed Maverick	38	#84bd00	2021-09-01	Viral 50	hn
3T0DeQvOtdqd7Yo3t2Ig3N	Amnesia	La Santa Grifa	39	#84bd00	2021-09-01	Viral 50	hn
44tTqUi3xi7E28QLzHVdUA	Anti-Romantic	TOMORROW X TOGETHER	40	#bd3200	2021-09-01	Viral 50	hn
0UzymivvUH5s8z4PeWZJaK	FEVER	ENHYPEN	41	#bd3200	2021-09-01	Viral 50	hn
2JPLbjOn0wPCngEot2STUS	Yonaguni	Bad Bunny	42	#bd3200	2021-09-01	Viral 50	hn
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	43	#bd3200	2021-09-01	Viral 50	hn
5T14Fz7WqfW06PEiNVtd6p	Siempre a Tu Lado	Nueva Marca	44	#4687d7	2021-09-01	Viral 50	hn
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	45	#bd3200	2021-09-01	Viral 50	hn
2WYs5LxOZfEyURXu7V0O1a	Stay With Me	1nonly	46	#4687d7	2021-09-01	Viral 50	hn
1sx0XsWUusUoPstbvokZjP	A-O-K	Tai Verdes	47	#4687d7	2021-09-01	Viral 50	hn
0Kdj7nwaYQmvhxnqZaIQuW	Bezos I	Bo Burnham	48	#4687d7	2021-09-01	Viral 50	hn
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	49	#4687d7	2021-09-01	Viral 50	hn
5liJEcanWV112vEe9uT8iP	Mon Amour	zzoilo	50	#bd3200	2021-09-01	Viral 50	hn
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	1	#3e3e40	2021-09-02	Viral 50	hn
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	2	#3e3e40	2021-09-02	Viral 50	hn
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	3	#84bd00	2021-09-02	Viral 50	hn
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	4	#bd3200	2021-09-02	Viral 50	hn
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	5	#bd3200	2021-09-02	Viral 50	hn
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	6	#3e3e40	2021-09-02	Viral 50	hn
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	7	#3e3e40	2021-09-02	Viral 50	hn
