ID	Track	Artist	Position	Trend	Date	Chart	market
47aA8gmhoo2kki6PoHd0iu	R.O.Z.E.S	Daimond Rocks	1	#3e3e40	2021-09-01	Viral 50	hu
53YWD33hNOR3DCztgt1URA	Nem Bánom	Mynea, Manuel	2	#3e3e40	2021-09-01	Viral 50	hu
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	3	#3e3e40	2021-09-01	Viral 50	hu
1esZgaqm0YKN87CIP3orJ3	Rampampam	Minelli	4	#3e3e40	2021-09-01	Viral 50	hu
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	5	#84bd00	2021-09-01	Viral 50	hu
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	6	#bd3200	2021-09-01	Viral 50	hu
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	7	#3e3e40	2021-09-01	Viral 50	hu
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	8	#84bd00	2021-09-01	Viral 50	hu
1sajOsIfI8ncxrb1I7Ak5D	El Anciano y el Niño	Cheo Gallego	9	#84bd00	2021-09-01	Viral 50	hu
1F6jVA2colNR0HM7Ud9riW	Mucho Bien	MR.BLACK, Offer Nissim	10	#84bd00	2021-09-01	Viral 50	hu
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	11	#3e3e40	2021-09-01	Viral 50	hu
6xby0tmyTtalPEO1LCFv4L	Nadieu	DESH	12	#bd3200	2021-09-01	Viral 50	hu
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	13	#84bd00	2021-09-01	Viral 50	hu
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	14	#84bd00	2021-09-01	Viral 50	hu
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	15	#84bd00	2021-09-01	Viral 50	hu
5OdoKFV4DqciztFZG8WEcm	Kék Hullám Kemping	Carson Coma	16	#bd3200	2021-09-01	Viral 50	hu
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	17	#84bd00	2021-09-01	Viral 50	hu
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	18	#84bd00	2021-09-01	Viral 50	hu
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	19	#bd3200	2021-09-01	Viral 50	hu
2PHgjJwswIHOhXexoizfT0	Hullik	ByeAlex és a Slepp, Hiro	20	#3e3e40	2021-09-01	Viral 50	hu
2RvZC77XsiE9x434T6o1S2	Néztek	Tóth Andi	21	#bd3200	2021-09-01	Viral 50	hu
02MWAaffLxlfxAUY7c5dvx	Heat Waves	Glass Animals	22	#84bd00	2021-09-01	Viral 50	hu
