ID	Track	Artist	Position	Trend	Date	Chart	market
1yApeqGiKKeAMptbNUv2Mf	Tell Me Something Good	Ewan McVicar	1	#3e3e40	2021-09-01	Viral 50	ie
0wCWfjqo0FV1CDseDGD0cV	Two Years Clear	Idi Akz	2	#84bd00	2021-09-01	Viral 50	ie
0W7brFokN6QtGRNp32RCQP	Alone With You	Arz	3	#bd3200	2021-09-01	Viral 50	ie
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	4	#3e3e40	2021-09-01	Viral 50	ie
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	5	#3e3e40	2021-09-01	Viral 50	ie
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	6	#3e3e40	2021-09-01	Viral 50	ie
1olCzMxaeiQKNO64ssWVGr	Talk About	Rain Radio, DJ Craig Gorman	7	#3e3e40	2021-09-01	Viral 50	ie
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	8	#3e3e40	2021-09-01	Viral 50	ie
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	9	#3e3e40	2021-09-01	Viral 50	ie
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	10	#4687d7	2021-09-01	Viral 50	ie
5Kba6Aixt9oJuKtjN5scL3	Love Nwantiti - Remix	Dj Yo!, CKay, AX'EL	11	#4687d7	2021-09-01	Viral 50	ie
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	12	#bd3200	2021-09-01	Viral 50	ie
5efHoPUOCPywINwkok3U13	Róisín	Pa Sheehy	13	#84bd00	2021-09-01	Viral 50	ie
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	14	#bd3200	2021-09-01	Viral 50	ie
2vCKQ9NNCTXoAF8ltW0Zv9	Better Days	Dermot Kennedy	15	#bd3200	2021-09-01	Viral 50	ie
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	16	#bd3200	2021-09-01	Viral 50	ie
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	17	#bd3200	2021-09-01	Viral 50	ie
7dDLAQ1y0qOq3E4DhNh8FS	Talamanca	BURNS	18	#3e3e40	2021-09-01	Viral 50	ie
7iqAuZe5yS0suLQcFfVK39	Chaise Longue	Wet Leg	19	#bd3200	2021-09-01	Viral 50	ie
7urtwZEtOypb3r8HNi42dT	Duvet	bôa	20	#bd3200	2021-09-01	Viral 50	ie
3uUuGVFu1V7jTQL60S1r8z	Where Are You Now	Lost Frequencies, Calum Scott	21	#84bd00	2021-09-01	Viral 50	ie
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	22	#bd3200	2021-09-01	Viral 50	ie
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	23	#bd3200	2021-09-01	Viral 50	ie
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	24	#84bd00	2021-09-01	Viral 50	ie
6Orwi1oYLckpnBF7NbCbrg	Baxter (These Are My Friends)	Fred again.., Baxter Dury	25	#bd3200	2021-09-01	Viral 50	ie
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	26	#84bd00	2021-09-01	Viral 50	ie
1puprgnIxARMj8gR3Jj4B2	Just Drive	Erin Kinsey	27	#bd3200	2021-09-01	Viral 50	ie
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	28	#3e3e40	2021-09-01	Viral 50	ie
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	29	#84bd00	2021-09-01	Viral 50	ie
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	30	#84bd00	2021-09-01	Viral 50	ie
4ka1FkKAMde6dQAFFMXKac	i hope ur miserable until ur dead	Nessa Barrett	31	#84bd00	2021-09-01	Viral 50	ie
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	32	#bd3200	2021-09-01	Viral 50	ie
2dQa4RNT22zCHGSingau85	Antisocial	Slump6s, BabySantana	33	#84bd00	2021-09-01	Viral 50	ie
6hlrui656yBRUb3qGkd5lH	Los Pollos Hermanos	Knucks	34	#3e3e40	2021-09-01	Viral 50	ie
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	35	#84bd00	2021-09-01	Viral 50	ie
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	36	#bd3200	2021-09-01	Viral 50	ie
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	37	#84bd00	2021-09-01	Viral 50	ie
7ju6ZuPKV1briUSmCCFOcf	Young Hearts Run Free - Acoustic	Blame Jones	38	#3e3e40	2021-09-01	Viral 50	ie
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	39	#bd3200	2021-09-01	Viral 50	ie
2CXSRpNHd9zVSWKSFp1wQ3	Foolish (feat. Tom Zanetti)	Jack Fowler	40	#bd3200	2021-09-01	Viral 50	ie
0GaVSVifeBSwnNTNordPGC	You're Not Special, Babe	Orla Gartland	41	#bd3200	2021-09-01	Viral 50	ie
1YAXrOLk7EGfv1tlSnGOqi	Having A Party	"Lee ""Scratch"" Perry"	42	#84bd00	2021-09-01	Viral 50	ie
7zx1i0jGcFwMBurajgKlO7	Black Magic	Jonasu	43	#84bd00	2021-09-01	Viral 50	ie
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	44	#84bd00	2021-09-01	Viral 50	ie
3ZozFqJJlDBNIm4xqxn2ZD	Fancy Like	Walker Hayes	45	#bd3200	2021-09-01	Viral 50	ie
2gvmxusSOe3vNjNDjQWaso	My Alcoholic Friends	The Dresden Dolls	46	#4687d7	2021-09-01	Viral 50	ie
3EmBn7AWEv5DETtMba53G2	Overwhelmed (Ryan Mack Remix)	Ryan Mack	47	#bd3200	2021-09-01	Viral 50	ie
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	48	#bd3200	2021-09-01	Viral 50	ie
4s6vwFgPdCtidpEw8KuQT6	REPEAT IT (with Gunna)	Lil Tecca	49	#4687d7	2021-09-01	Viral 50	ie
