ID	Track	Artist	Position	Trend	Date	Chart	market
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	1	#3e3e40	2021-09-01	Viral 50	is
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	2	#84bd00	2021-09-01	Viral 50	is
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	3	#bd3200	2021-09-01	Viral 50	is
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	4	#3e3e40	2021-09-01	Viral 50	is
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	5	#84bd00	2021-09-01	Viral 50	is
2USlegnFJLrVLpoVfPimKB	Thunder	Gabry Ponte, LUM!X, Prezioso	6	#3e3e40	2021-09-01	Viral 50	is
7CIERzyqIwLVKGp00YbHRO	Pain	PinkPantheress	7	#84bd00	2021-09-01	Viral 50	is
7BGhFCspxYfYuxuWqstcal	VICE CITY BABY	kef LAVÍK	8	#84bd00	2021-09-01	Viral 50	is
1MIGkQxcdAt2lDx6ySpsc5	SUVs (Black on Black)	Jack Harlow, Pooh Shiesty	9	#bd3200	2021-09-01	Viral 50	is
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	10	#84bd00	2021-09-01	Viral 50	is
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	11	#bd3200	2021-09-01	Viral 50	is
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	12	#84bd00	2021-09-01	Viral 50	is
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	13	#84bd00	2021-09-01	Viral 50	is
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	14	#bd3200	2021-09-01	Viral 50	is
4s6vwFgPdCtidpEw8KuQT6	REPEAT IT (with Gunna)	Lil Tecca	15	#bd3200	2021-09-01	Viral 50	is
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	16	#bd3200	2021-09-01	Viral 50	is
02MWAaffLxlfxAUY7c5dvx	Heat Waves	Glass Animals	17	#84bd00	2021-09-01	Viral 50	is
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	18	#84bd00	2021-09-01	Viral 50	is
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	19	#84bd00	2021-09-01	Viral 50	is
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	20	#bd3200	2021-09-01	Viral 50	is
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	21	#84bd00	2021-09-01	Viral 50	is
3Ho13bRS28xEvGvgW4LOFM	On Go (feat. Polo G)	Sheff G	22	#3e3e40	2021-09-01	Viral 50	is
7MC4XR9M9amdmKQr2iDF7i	Iko Iko (My Bestie)	Justin Wellington, Small Jam	23	#84bd00	2021-09-01	Viral 50	is
2OjHNAk9fzdpuoCv1gfQV8	please don't trust me	ClubDub	24	#3e3e40	2021-09-01	Viral 50	is
2eppXfCeR7XaX7x2zkCBIw	Mér er drull	FLOTT	25	#bd3200	2021-09-01	Viral 50	is
5NWPKgXfMhFZyPqNQ8Kt2C	Veiðimaður (feat. THØR & Bjørn)	Ingi Bauer	26	#bd3200	2021-09-01	Viral 50	is
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	27	#84bd00	2021-09-01	Viral 50	is
4YprqLB3jEAlHNOMXEcZtm	Vibe	Mike Candys	28	#bd3200	2021-09-01	Viral 50	is
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	29	#84bd00	2021-09-01	Viral 50	is
