ID	Track	Artist	Position	Trend	Date	Chart	market
1ktyKCzfI8hooCJP3X2yP5	uNa DiReZioNe giUsTa	yungest Moonstar, Neffa, tha Supreme	1	#3e3e40	2021-09-01	Viral 50	it
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	2	#3e3e40	2021-09-01	Viral 50	it
6QdpWtl3Fq3JFjTL53X03D	Ma te vulisse fà na gara e ballo?	Rita De Crescenzo	3	#3e3e40	2021-09-01	Viral 50	it
5flerg6aEao2VayZezVlgu	Insane	Black Gryph0n, Baasik	4	#3e3e40	2021-09-01	Viral 50	it
1gE7p3b4J8p4ivOCR2CO0Y	Marechià	Nu Genea, Célia Kameni	5	#3e3e40	2021-09-01	Viral 50	it
1sajOsIfI8ncxrb1I7Ak5D	El Anciano y el Niño	Cheo Gallego	6	#3e3e40	2021-09-01	Viral 50	it
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	7	#3e3e40	2021-09-01	Viral 50	it
3kZCffO5qMkMRLyPdOFKWv	31/08	Mecna	8	#84bd00	2021-09-01	Viral 50	it
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	9	#bd3200	2021-09-01	Viral 50	it
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	10	#bd3200	2021-09-01	Viral 50	it
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	11	#3e3e40	2021-09-01	Viral 50	it
7HfIA6XWVZWsLC7SSBdavy	Ricordarmi di scordarti	Mida, LAX	12	#84bd00	2021-09-01	Viral 50	it
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	13	#3e3e40	2021-09-01	Viral 50	it
1TrjxEcRPHvaLF3saKCSs4	Drippin' in Milano	ANNA	14	#bd3200	2021-09-01	Viral 50	it
5h8kl7fVkld19y3fOwDxII	Giornata di merda	Ciliari	15	#84bd00	2021-09-01	Viral 50	it
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	16	#3e3e40	2021-09-01	Viral 50	it
63bkENlGneIECKtJuHOKOp	Babel - Original Mix	Gustavo Bravetty	17	#4687d7	2021-09-01	Viral 50	it
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	18	#84bd00	2021-09-01	Viral 50	it
1b65pnfClHLMDFEEhrcLJP	Sottosopra	Still Charles	19	#bd3200	2021-09-01	Viral 50	it
