ID	Track	Artist	Position	Trend	Date	Chart	market
6ODeaKmWg2cHPl4ohzJbsg	Turbo	Mamis	1	#3e3e40	2021-09-01	Viral 50	lt
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	2	#3e3e40	2021-09-01	Viral 50	lt
2nyeHzzLN8a2vT65zavwNF	Vandens Ženklai - Late Pal Remix	Hiperbolė	3	#84bd00	2021-09-01	Viral 50	lt
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	4	#bd3200	2021-09-01	Viral 50	lt
1wGPGvj0moDoKMMVwFWFLj	Vasarą galvoj minoras	Katarsis	5	#3e3e40	2021-09-01	Viral 50	lt
2mvP5OEZXWL0QefQSq7z6b	Стеклянная	GUMA	6	#84bd00	2021-09-01	Viral 50	lt
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	7	#bd3200	2021-09-01	Viral 50	lt
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	8	#3e3e40	2021-09-01	Viral 50	lt
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	9	#3e3e40	2021-09-01	Viral 50	lt
3CLSHJv5aUROAN2vfOyCOh	Close Eyes	DVRST	10	#84bd00	2021-09-01	Viral 50	lt
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	11	#bd3200	2021-09-01	Viral 50	lt
2psbE7Ds01Xz2MaMIk7APk	Rugpjūtis	Justinas Jarutis, Jessica Shy	12	#3e3e40	2021-09-01	Viral 50	lt
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	13	#84bd00	2021-09-01	Viral 50	lt
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	14	#84bd00	2021-09-01	Viral 50	lt
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	15	#84bd00	2021-09-01	Viral 50	lt
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	16	#bd3200	2021-09-01	Viral 50	lt
