ID	Track	Artist	Position	Trend	Date	Chart	market
5mmWXDatUx0Kjcb7d1YY61	3D	Mauku Sencis, Grandmasters Neons	1	#3e3e40	2021-09-01	Viral 50	lv
2mvP5OEZXWL0QefQSq7z6b	Стеклянная	GUMA	2	#3e3e40	2021-09-01	Viral 50	lv
5ndylO3VZAhTRIARJFD0a5	Kamaz	DJ Blyatman, длб	3	#3e3e40	2021-09-01	Viral 50	lv
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	4	#84bd00	2021-09-01	Viral 50	lv
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	5	#84bd00	2021-09-01	Viral 50	lv
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	6	#bd3200	2021-09-01	Viral 50	lv
3CLSHJv5aUROAN2vfOyCOh	Close Eyes	DVRST	7	#3e3e40	2021-09-01	Viral 50	lv
4bk5TCRJT3ekpg4rbTvrXZ	Дорогу молодым (Prod. by Karimbeatz)	Goro	8	#84bd00	2021-09-01	Viral 50	lv
1IWwQszNDbbMVEsV8aCJqL	PUIKAS	ZEĻĢIS, MCKN, Ods, goča	9	#84bd00	2021-09-01	Viral 50	lv
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	10	#bd3200	2021-09-01	Viral 50	lv
5X33A2X2OuQXUOKhawWCMm	Baby mama	Skryptonite, Райда	11	#84bd00	2021-09-01	Viral 50	lv
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	12	#bd3200	2021-09-01	Viral 50	lv
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	13	#bd3200	2021-09-01	Viral 50	lv
7Eyfmn0zcgcjGUrWlFdgqa	Федерико Феллини	Galibri & Mavik	14	#84bd00	2021-09-01	Viral 50	lv
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	15	#bd3200	2021-09-01	Viral 50	lv
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	16	#bd3200	2021-09-01	Viral 50	lv
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	17	#3e3e40	2021-09-01	Viral 50	lv
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	18	#84bd00	2021-09-01	Viral 50	lv
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	19	#bd3200	2021-09-01	Viral 50	lv
750vtNtNiQVl80E4baoJjd	Lose	KSI, Lil Wayne	20	#84bd00	2021-09-01	Viral 50	lv
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	21	#3e3e40	2021-09-01	Viral 50	lv
1GTyZID5IGOXOAUoQkVlWo	На чиле (feat. Егор Крид, The Limba, blago white, OG Buda, Тимати, SODA LUV, Гуф)	Geegun, Egor Kreed, Timati	22	#84bd00	2021-09-01	Viral 50	lv
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	23	#84bd00	2021-09-01	Viral 50	lv
7urtwZEtOypb3r8HNi42dT	Duvet	bôa	24	#3e3e40	2021-09-01	Viral 50	lv
2bIsQdZK9ArtOY5OMK03Zt	Зеркало	We, Лэривэйн	25	#bd3200	2021-09-01	Viral 50	lv
0zO8ctW0UiuOefR87OeJOZ	Collard Greens	ScHoolboy Q, Kendrick Lamar	26	#84bd00	2021-09-01	Viral 50	lv
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	27	#84bd00	2021-09-01	Viral 50	lv
7CIERzyqIwLVKGp00YbHRO	Pain	PinkPantheress	28	#bd3200	2021-09-01	Viral 50	lv
