ID	Track	Artist	Position	Trend	Date	Chart	market
6pBV756dsPFIMGfLi29Obk	Reina de mi Corazón	Jesus Dimas	1	#84bd00	2021-09-01	Viral 50	mx
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	2	#bd3200	2021-09-01	Viral 50	mx
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	3	#3e3e40	2021-09-01	Viral 50	mx
5liJEcanWV112vEe9uT8iP	Mon Amour	zzoilo	4	#84bd00	2021-09-01	Viral 50	mx
4oonyJXO2PuTXq2KUOdFPH	Bonita	Los Dorados	5	#bd3200	2021-09-01	Viral 50	mx
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	6	#bd3200	2021-09-01	Viral 50	mx
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	7	#bd3200	2021-09-01	Viral 50	mx
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	8	#3e3e40	2021-09-01	Viral 50	mx
08TD3JtW8nc3NEgxaSBNbL	NO WAY	DONGURIZU	9	#3e3e40	2021-09-01	Viral 50	mx
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	10	#3e3e40	2021-09-01	Viral 50	mx
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	11	#3e3e40	2021-09-01	Viral 50	mx
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	12	#3e3e40	2021-09-01	Viral 50	mx
798ahLNEcoFER7Vywg1FMT	A La Antigüita	Calibre 50	13	#3e3e40	2021-09-01	Viral 50	mx
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	14	#84bd00	2021-09-01	Viral 50	mx
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	15	#bd3200	2021-09-01	Viral 50	mx
4OwhwvKESFtuu06dTgct7i	Tiroteo - Remix	Marc Seguí, Rauw Alejandro, Pol Granch	16	#3e3e40	2021-09-01	Viral 50	mx
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	17	#84bd00	2021-09-01	Viral 50	mx
3HgvO4B5LLmdPOT2d8cSZd	Mónaco	LAGOS, Danny Ocean	18	#84bd00	2021-09-01	Viral 50	mx
3znlxKwQTRVrrerCcZPus2	Tranquilísimo	Israel B, C. Tangana, LOWLIGHT	19	#84bd00	2021-09-01	Viral 50	mx
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	20	#bd3200	2021-09-01	Viral 50	mx
6w8yBI2vthyN9UnwO4UBWb	Entre Nosotros	Tiago PZK, LIT killah	21	#3e3e40	2021-09-01	Viral 50	mx
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	22	#3e3e40	2021-09-01	Viral 50	mx
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	23	#3e3e40	2021-09-01	Viral 50	mx
6szg6z5MWZKiojwcu5hRNX	Estoy Bien	Panther	24	#84bd00	2021-09-01	Viral 50	mx
4HzqWEdAbzcVFDv0pvxV4w	Sobrio	Maluma	25	#bd3200	2021-09-01	Viral 50	mx
5T14Fz7WqfW06PEiNVtd6p	Siempre a Tu Lado	Nueva Marca	26	#bd3200	2021-09-01	Viral 50	mx
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	27	#bd3200	2021-09-01	Viral 50	mx
7wQA3X80jxBkfbSQCEbQZP			28	#3e3e40	2021-09-01	Viral 50	mx
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	29	#3e3e40	2021-09-01	Viral 50	mx
3Wrjm47oTz2sjIgck11l5e	Beggin'	Måneskin	30	#84bd00	2021-09-01	Viral 50	mx
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	31	#84bd00	2021-09-01	Viral 50	mx
0Kdj7nwaYQmvhxnqZaIQuW	Bezos I	Bo Burnham	32	#bd3200	2021-09-01	Viral 50	mx
17jcYtUYRhpPL19fDedfTD	Wasa Wasa	Ryan Castro	33	#bd3200	2021-09-01	Viral 50	mx
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	34	#3e3e40	2021-09-01	Viral 50	mx
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	35	#3e3e40	2021-09-01	Viral 50	mx
5HT7sdhkOCFVegIoMOL7yj	Lo Hice, Te Dejé	Daniel, Me Estás Matando	36	#4687d7	2021-09-01	Viral 50	mx
64ImcY4fJhY243wr20SR3e	Cuidando El Territorio	Calibre 50, Santa Fe Klan, Beto Sierra	37	#bd3200	2021-09-01	Viral 50	mx
5RwV8BvLfX5injfqYodke9	Todo De Ti	Rauw Alejandro	38	#bd3200	2021-09-01	Viral 50	mx
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	39	#3e3e40	2021-09-01	Viral 50	mx
0cOa970mzTWAxKtltpkpLc	Miénteme	TINI, Maria Becerra	40	#3e3e40	2021-09-01	Viral 50	mx
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	41	#bd3200	2021-09-01	Viral 50	mx
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	42	#bd3200	2021-09-01	Viral 50	mx
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	43	#84bd00	2021-09-01	Viral 50	mx
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	44	#bd3200	2021-09-01	Viral 50	mx
3XjRIN9vEt35lm1iStPcgq	Todo Va a Estar Bien	Santa Fe Klan, Big Soto, Neto Peña	45	#bd3200	2021-09-01	Viral 50	mx
4pt5fDVTg5GhEvEtlz9dKk	I WANNA BE YOUR SLAVE	Måneskin	46	#3e3e40	2021-09-01	Viral 50	mx
3pQYf90V5idOGrXzosm9rt	Se Amerita	Junior H	47	#3e3e40	2021-09-01	Viral 50	mx
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	48	#bd3200	2021-09-01	Viral 50	mx
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	49	#84bd00	2021-09-01	Viral 50	mx
6hIOunhsLUT66KQgZV5dMD	Swing Lynn	Harmless	50	#bd3200	2021-09-01	Viral 50	mx
6pBV756dsPFIMGfLi29Obk	Reina de mi Corazón	Jesus Dimas	1	#3e3e40	2021-09-02	Viral 50	mx
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	2	#3e3e40	2021-09-02	Viral 50	mx
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	3	#3e3e40	2021-09-02	Viral 50	mx
5liJEcanWV112vEe9uT8iP	Mon Amour	zzoilo	4	#3e3e40	2021-09-02	Viral 50	mx
4oonyJXO2PuTXq2KUOdFPH	Bonita	Los Dorados	5	#3e3e40	2021-09-02	Viral 50	mx
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	6	#3e3e40	2021-09-02	Viral 50	mx
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	7	#3e3e40	2021-09-02	Viral 50	mx
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	8	#3e3e40	2021-09-02	Viral 50	mx
08TD3JtW8nc3NEgxaSBNbL	NO WAY	DONGURIZU	9	#3e3e40	2021-09-02	Viral 50	mx
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	10	#3e3e40	2021-09-02	Viral 50	mx
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	11	#3e3e40	2021-09-02	Viral 50	mx
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	12	#84bd00	2021-09-02	Viral 50	mx
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	13	#bd3200	2021-09-02	Viral 50	mx
798ahLNEcoFER7Vywg1FMT	A La Antigüita	Calibre 50	14	#bd3200	2021-09-02	Viral 50	mx
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	15	#3e3e40	2021-09-02	Viral 50	mx
