ID	Track	Artist	Position	Trend	Date	Chart	market
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	1	#3e3e40	2021-09-01	Viral 50	ni
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	2	#3e3e40	2021-09-01	Viral 50	ni
6w8yBI2vthyN9UnwO4UBWb	Entre Nosotros	Tiago PZK, LIT killah	3	#84bd00	2021-09-01	Viral 50	ni
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	4	#bd3200	2021-09-01	Viral 50	ni
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	5	#3e3e40	2021-09-01	Viral 50	ni
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	6	#84bd00	2021-09-01	Viral 50	ni
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	7	#bd3200	2021-09-01	Viral 50	ni
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	8	#84bd00	2021-09-01	Viral 50	ni
4OwhwvKESFtuu06dTgct7i	Tiroteo - Remix	Marc Seguí, Rauw Alejandro, Pol Granch	9	#bd3200	2021-09-01	Viral 50	ni
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	10	#84bd00	2021-09-01	Viral 50	ni
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	11	#84bd00	2021-09-01	Viral 50	ni
4HzqWEdAbzcVFDv0pvxV4w	Sobrio	Maluma	12	#bd3200	2021-09-01	Viral 50	ni
3Vi5XqYrmQgOYBajMWSvCi	Need to Know	Doja Cat	13	#3e3e40	2021-09-01	Viral 50	ni
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	14	#84bd00	2021-09-01	Viral 50	ni
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	15	#84bd00	2021-09-01	Viral 50	ni
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	16	#3e3e40	2021-09-01	Viral 50	ni
0G2zPzWqVjR68iNPmx2TBe	Volando - Remix	Mora, Bad Bunny, Sech	17	#bd3200	2021-09-01	Viral 50	ni
3HgvO4B5LLmdPOT2d8cSZd	Mónaco	LAGOS, Danny Ocean	18	#bd3200	2021-09-01	Viral 50	ni
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	19	#84bd00	2021-09-01	Viral 50	ni
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	20	#3e3e40	2021-09-01	Viral 50	ni
5VZvuKUJ3ulfBwfKhuVi1t	Toa la Noche	CNCO	21	#bd3200	2021-09-01	Viral 50	ni
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	22	#bd3200	2021-09-01	Viral 50	ni
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	23	#84bd00	2021-09-01	Viral 50	ni
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	24	#84bd00	2021-09-01	Viral 50	ni
7H0ya83CMmgFcOhw0UB6ow	Space Song	Beach House	25	#bd3200	2021-09-01	Viral 50	ni
0W6I02J9xcqK8MtSeosEXb	Get Into It (Yuh)	Doja Cat	26	#bd3200	2021-09-01	Viral 50	ni
4it6vaFbkGRUaQlwWUMg3v	Mi Debilidad	Maria Becerra	27	#bd3200	2021-09-01	Viral 50	ni
1gGhqfs2pDTOI30AEXMXrn	Alien Boy	Oliver Tree	28	#84bd00	2021-09-01	Viral 50	ni
798ahLNEcoFER7Vywg1FMT	A La Antigüita	Calibre 50	29	#84bd00	2021-09-01	Viral 50	ni
2JPLbjOn0wPCngEot2STUS	Yonaguni	Bad Bunny	30	#bd3200	2021-09-01	Viral 50	ni
3pQYf90V5idOGrXzosm9rt	Se Amerita	Junior H	31	#84bd00	2021-09-01	Viral 50	ni
3T0DeQvOtdqd7Yo3t2Ig3N	Amnesia	La Santa Grifa	32	#bd3200	2021-09-01	Viral 50	ni
0pRgURvgp75RPKjTGQodau	Toketeo	Ghetto Kids, Kenia OS, Malo	33	#bd3200	2021-09-01	Viral 50	ni
1Z8TPHiKeCUyClxV6WTTIf	0X1=LOVESONG (I Know I Love You) feat. Seori	TOMORROW X TOGETHER	34	#4687d7	2021-09-01	Viral 50	ni
3PwRuzdphgedcWVUOVYJ7I	Cúrame	Rauw Alejandro	35	#84bd00	2021-09-01	Viral 50	ni
0Kdj7nwaYQmvhxnqZaIQuW	Bezos I	Bo Burnham	36	#bd3200	2021-09-01	Viral 50	ni
3hUxzQpSfdDqwM3ZTFQY0K	august	Taylor Swift	37	#4687d7	2021-09-01	Viral 50	ni
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	38	#bd3200	2021-09-01	Viral 50	ni
5eXBXreN3d1zdj6Sa8dS0u	Permission to Dance	BTS	39	#84bd00	2021-09-01	Viral 50	ni
1u73tmG4xQschbK8cXxSD9	Love Tonight	Shouse	40	#bd3200	2021-09-01	Viral 50	ni
2xXNLutYAOELYVObYb1C1S	As the World Caves In	Sarah Cothran	41	#4687d7	2021-09-01	Viral 50	ni
3kxkjirben9RVm9NqYa6rm	Black Out Days - Future Islands Remix	Phantogram	42	#bd3200	2021-09-01	Viral 50	ni
0V5cvmTKsYmF5FmGGEAfmS	Je te laisserai des mots	Patrick Watson	43	#bd3200	2021-09-01	Viral 50	ni
6Ee34qCOE6FBzEPRAGwSrn	En Mi Cuarto	Jhay Cortez, Skrillex	44	#4687d7	2021-09-01	Viral 50	ni
1sx0XsWUusUoPstbvokZjP	A-O-K	Tai Verdes	45	#bd3200	2021-09-01	Viral 50	ni
0cOa970mzTWAxKtltpkpLc	Miénteme	TINI, Maria Becerra	46	#4687d7	2021-09-01	Viral 50	ni
6b37xrsNCWYIUphFBazqD6	Me Gustas Tu	Manu Chao	47	#4687d7	2021-09-01	Viral 50	ni
27RSJHEA99Y0Vsow7nA37A	911 - Remix	Sech, Jhay Cortez	48	#84bd00	2021-09-01	Viral 50	ni
