ID	Track	Artist	Position	Trend	Date	Chart	market
6t8ZKSOjhFVwvrJdRcKytT	Don't Recommend	Reagan Capaci	1	#3e3e40	2021-09-01	Viral 50	nz
0W7brFokN6QtGRNp32RCQP	Alone With You	Arz	2	#3e3e40	2021-09-01	Viral 50	nz
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	3	#3e3e40	2021-09-01	Viral 50	nz
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	4	#4687d7	2021-09-01	Viral 50	nz
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	5	#84bd00	2021-09-01	Viral 50	nz
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	6	#bd3200	2021-09-01	Viral 50	nz
5Kba6Aixt9oJuKtjN5scL3	Love Nwantiti - Remix	Dj Yo!, CKay, AX'EL	7	#4687d7	2021-09-01	Viral 50	nz
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	8	#bd3200	2021-09-01	Viral 50	nz
08hB2ERJV6A1Ntu3OHgzjh	FMRN	Lilyisthatyou	9	#3e3e40	2021-09-01	Viral 50	nz
1YAXrOLk7EGfv1tlSnGOqi	Having A Party	"Lee ""Scratch"" Perry"	10	#84bd00	2021-09-01	Viral 50	nz
11rkUMmEsekXm9CU6ToqQi	Disco Devil	"Lee ""Scratch"" Perry"	11	#84bd00	2021-09-01	Viral 50	nz
4tFwRLlaNsozRmWXWqohT5	Dreams	Jolyon Petch	12	#bd3200	2021-09-01	Viral 50	nz
7urtwZEtOypb3r8HNi42dT	Duvet	bôa	13	#bd3200	2021-09-01	Viral 50	nz
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	14	#bd3200	2021-09-01	Viral 50	nz
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	15	#bd3200	2021-09-01	Viral 50	nz
1puprgnIxARMj8gR3Jj4B2	Just Drive	Erin Kinsey	16	#84bd00	2021-09-01	Viral 50	nz
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	17	#84bd00	2021-09-01	Viral 50	nz
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	18	#bd3200	2021-09-01	Viral 50	nz
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	19	#bd3200	2021-09-01	Viral 50	nz
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	20	#bd3200	2021-09-01	Viral 50	nz
1XSB3xL1GuJvwl4zDBnnGa	Ohh Aggs x Earth Angel	SETI3, Anthony Soakai	21	#84bd00	2021-09-01	Viral 50	nz
1mtLhZXbQqeU3qugQkuwhk	soft spot	piri, Tommy Villiers	22	#bd3200	2021-09-01	Viral 50	nz
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	23	#bd3200	2021-09-01	Viral 50	nz
2rOnSn2piaqLAlYjtfUBlY	"Raataan Lambiyan (From ""Shershaah"")"	Tanishk Bagchi, Jubin Nautiyal, Asees Kaur	24	#bd3200	2021-09-01	Viral 50	nz
3ZozFqJJlDBNIm4xqxn2ZD	Fancy Like	Walker Hayes	25	#bd3200	2021-09-01	Viral 50	nz
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	26	#bd3200	2021-09-01	Viral 50	nz
76x8v22nw4OwwGPvNW5pJn	Hoki Mai / Come Back	Rei	27	#bd3200	2021-09-01	Viral 50	nz
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	28	#84bd00	2021-09-01	Viral 50	nz
4ka1FkKAMde6dQAFFMXKac	i hope ur miserable until ur dead	Nessa Barrett	29	#84bd00	2021-09-01	Viral 50	nz
6Orwi1oYLckpnBF7NbCbrg	Baxter (These Are My Friends)	Fred again.., Baxter Dury	30	#84bd00	2021-09-01	Viral 50	nz
0wCWfjqo0FV1CDseDGD0cV	Two Years Clear	Idi Akz	31	#84bd00	2021-09-01	Viral 50	nz
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	32	#bd3200	2021-09-01	Viral 50	nz
3S7A85bAWOd6ltk6r2ANOI	U Are My High	DJ Snake	33	#84bd00	2021-09-01	Viral 50	nz
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	34	#bd3200	2021-09-01	Viral 50	nz
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	35	#84bd00	2021-09-01	Viral 50	nz
2FmFDDnB387rOvN3hpcXuc	My Own Drum	Ynairaly Simo	36	#84bd00	2021-09-01	Viral 50	nz
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	37	#3e3e40	2021-09-01	Viral 50	nz
3Wrjm47oTz2sjIgck11l5e	Beggin'	Måneskin	38	#bd3200	2021-09-01	Viral 50	nz
6tRyCt9gs9dmkwnol4yCIP	Don't Worry Baby	Stan Walker, Celina Sharma	39	#84bd00	2021-09-01	Viral 50	nz
0W6I02J9xcqK8MtSeosEXb	Get Into It (Yuh)	Doja Cat	40	#bd3200	2021-09-01	Viral 50	nz
3jKE64Lzp4fn9ZD28Z1dBc	Ain't No Sunshine (feat. Jasmine Pace)	Dubdogz, JØRD	41	#84bd00	2021-09-01	Viral 50	nz
3EmBn7AWEv5DETtMba53G2	Overwhelmed (Ryan Mack Remix)	Ryan Mack	42	#bd3200	2021-09-01	Viral 50	nz
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	43	#3e3e40	2021-09-01	Viral 50	nz
1t47MgaiRLMnwIbp2rdsGn	uhh	framed	44	#84bd00	2021-09-01	Viral 50	nz
1RU0noHNSNBBgZAarFLYvy	I Am the Upsetter	"Lee ""Scratch"" Perry"	45	#84bd00	2021-09-01	Viral 50	nz
3WWwNpb25m3UPtzODEO2Bg	Lay It Down	Steelix	46	#3e3e40	2021-09-01	Viral 50	nz
7CIERzyqIwLVKGp00YbHRO	Pain	PinkPantheress	47	#bd3200	2021-09-01	Viral 50	nz
4tU1AdxASMXhdffDSwyN5S	Give It to Me X Won't Look Back	Jake Woolf, Jake Rock	48	#84bd00	2021-09-01	Viral 50	nz
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	49	#4687d7	2021-09-01	Viral 50	nz
4s6vwFgPdCtidpEw8KuQT6	REPEAT IT (with Gunna)	Lil Tecca	50	#4687d7	2021-09-01	Viral 50	nz
0W7brFokN6QtGRNp32RCQP	Alone With You	Arz	1	#84bd00	2021-09-02	Viral 50	nz
6t8ZKSOjhFVwvrJdRcKytT	Don't Recommend	Reagan Capaci	2	#bd3200	2021-09-02	Viral 50	nz
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	3	#3e3e40	2021-09-02	Viral 50	nz
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	4	#3e3e40	2021-09-02	Viral 50	nz
5Kba6Aixt9oJuKtjN5scL3	Love Nwantiti - Remix	Dj Yo!, CKay, AX'EL	5	#84bd00	2021-09-02	Viral 50	nz
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	6	#bd3200	2021-09-02	Viral 50	nz
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	7	#bd3200	2021-09-02	Viral 50	nz
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	8	#3e3e40	2021-09-02	Viral 50	nz
1YAXrOLk7EGfv1tlSnGOqi	Having A Party	"Lee ""Scratch"" Perry"	9	#84bd00	2021-09-02	Viral 50	nz
11rkUMmEsekXm9CU6ToqQi	Disco Devil	"Lee ""Scratch"" Perry"	10	#84bd00	2021-09-02	Viral 50	nz
4tFwRLlaNsozRmWXWqohT5	Dreams	Jolyon Petch	11	#84bd00	2021-09-02	Viral 50	nz
08hB2ERJV6A1Ntu3OHgzjh	FMRN	Lilyisthatyou	12	#bd3200	2021-09-02	Viral 50	nz
