ID	Track	Artist	Position	Trend	Date	Chart	market
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	1	#3e3e40	2021-09-01	Viral 50	pa
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	2	#84bd00	2021-09-01	Viral 50	pa
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	3	#bd3200	2021-09-01	Viral 50	pa
6KE3Fs6LMzi4hJI3eFqyLC	Don't (feat. RM)	eAeon	4	#3e3e40	2021-09-01	Viral 50	pa
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	5	#3e3e40	2021-09-01	Viral 50	pa
7hjWFO88DN3FroDMRIcehn	uhgood	RM	6	#3e3e40	2021-09-01	Viral 50	pa
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	7	#3e3e40	2021-09-01	Viral 50	pa
1UBp6NPWRYWEqvRtFwIvZO	Change	RM, Wale	8	#84bd00	2021-09-01	Viral 50	pa
5fCDWDX2Kv9jc1s7nZfzOi	forever rain	RM	9	#bd3200	2021-09-01	Viral 50	pa
5Qg0xK4s85tINbQcJD3GDq	badbye	RM, eAeon	10	#84bd00	2021-09-01	Viral 50	pa
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	11	#84bd00	2021-09-01	Viral 50	pa
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	12	#bd3200	2021-09-01	Viral 50	pa
4Eefey3uN90Abhbr47zKmC	WINTER FLOWER(Feat.RM)	Younha	13	#bd3200	2021-09-01	Viral 50	pa
5Kba6Aixt9oJuKtjN5scL3	Love Nwantiti - Remix	Dj Yo!, CKay, AX'EL	14	#84bd00	2021-09-01	Viral 50	pa
7DKYA93lgKbhxzqE2ojtCS	everythingoes	RM, NELL	15	#bd3200	2021-09-01	Viral 50	pa
4dF0mDPTlpjThf1mJyK83B	tokyo	RM	16	#bd3200	2021-09-01	Viral 50	pa
6wyr4ReB05D9sJB1Rsmcqo	Chicken Noodle Soup (feat. Becky G)	j-hope	17	#3e3e40	2021-09-01	Viral 50	pa
3i8GllbdGuwIXaVrlIoE0r	What do you think?	Agust D	18	#84bd00	2021-09-01	Viral 50	pa
5Zlo5ZYjrr6DwQw1kBi5bA	moonchild	RM	19	#bd3200	2021-09-01	Viral 50	pa
2LowwiemmGMzzNSH1PJprK	It's Definitely You	V, JIN	20	#bd3200	2021-09-01	Viral 50	pa
5eXBXreN3d1zdj6Sa8dS0u	Permission to Dance	BTS	21	#3e3e40	2021-09-01	Viral 50	pa
4YAgH8s0JFfwikTNwe0aIk	Daydream (백일몽)	j-hope	22	#84bd00	2021-09-01	Viral 50	pa
6w8yBI2vthyN9UnwO4UBWb	Entre Nosotros	Tiago PZK, LIT killah	23	#bd3200	2021-09-01	Viral 50	pa
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	24	#84bd00	2021-09-01	Viral 50	pa
0H4ugk6rhnXmTl47ayy9O5	Daechwita	Agust D	25	#bd3200	2021-09-01	Viral 50	pa
7bx66Je824Iak8c1CfsMrE	Dos Problemas (feat. Big Soto) - Remix	Blessd, Javiielo, Neutro Shorty	26	#84bd00	2021-09-01	Viral 50	pa
39EXZNMxb4RBHlRjnRaOKp	Sweet Night	V	27	#bd3200	2021-09-01	Viral 50	pa
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	28	#bd3200	2021-09-01	Viral 50	pa
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	29	#bd3200	2021-09-01	Viral 50	pa
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	30	#84bd00	2021-09-01	Viral 50	pa
0oanbKJIff7s5e7EhckbI7	Begin	BTS	31	#84bd00	2021-09-01	Viral 50	pa
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	32	#bd3200	2021-09-01	Viral 50	pa
