ID	Track	Artist	Position	Trend	Date	Chart	market
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	1	#3e3e40	2021-09-01	Viral 50	pe
4lEVoOnIybtRqi4knZwdPZ	Sou Favela	MC Bruninho, Vitinho Ferrari, Dj DG, Batidão Stronda	2	#3e3e40	2021-09-01	Viral 50	pe
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	3	#3e3e40	2021-09-01	Viral 50	pe
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	4	#3e3e40	2021-09-01	Viral 50	pe
5liJEcanWV112vEe9uT8iP	Mon Amour	zzoilo	5	#3e3e40	2021-09-01	Viral 50	pe
08TD3JtW8nc3NEgxaSBNbL	NO WAY	DONGURIZU	6	#3e3e40	2021-09-01	Viral 50	pe
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	7	#84bd00	2021-09-01	Viral 50	pe
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	8	#bd3200	2021-09-01	Viral 50	pe
6pK6CBkr5344TxSJr4qUl7	Imagínate	No Deal, Valeria, Once, Gonzalo Genek	9	#84bd00	2021-09-01	Viral 50	pe
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	10	#84bd00	2021-09-01	Viral 50	pe
6w8yBI2vthyN9UnwO4UBWb	Entre Nosotros	Tiago PZK, LIT killah	11	#bd3200	2021-09-01	Viral 50	pe
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	12	#bd3200	2021-09-01	Viral 50	pe
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	13	#3e3e40	2021-09-01	Viral 50	pe
4HzqWEdAbzcVFDv0pvxV4w	Sobrio	Maluma	14	#3e3e40	2021-09-01	Viral 50	pe
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	15	#3e3e40	2021-09-01	Viral 50	pe
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	16	#84bd00	2021-09-01	Viral 50	pe
4OwhwvKESFtuu06dTgct7i	Tiroteo - Remix	Marc Seguí, Rauw Alejandro, Pol Granch	17	#bd3200	2021-09-01	Viral 50	pe
6VcaTmR9UhOuZD7aNNilOV	Sou Favela	Ruanzinho, Dany Bala	18	#3e3e40	2021-09-01	Viral 50	pe
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	19	#3e3e40	2021-09-01	Viral 50	pe
78ZTeUzi8BtFVQbysRNvrc	Beba Que Quieres Que Haga (El Que la Hace Riendo Llorando la Paga)	Levis Remix	20	#bd3200	2021-09-01	Viral 50	pe
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	21	#84bd00	2021-09-01	Viral 50	pe
6szg6z5MWZKiojwcu5hRNX	Estoy Bien	Panther	22	#84bd00	2021-09-01	Viral 50	pe
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	23	#bd3200	2021-09-01	Viral 50	pe
1RQDWw1096kfZpQiBEIttj	Que Difícil Es Amar	Diego Bertie	24	#84bd00	2021-09-01	Viral 50	pe
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	25	#84bd00	2021-09-01	Viral 50	pe
3znlxKwQTRVrrerCcZPus2	Tranquilísimo	Israel B, C. Tangana, LOWLIGHT	26	#bd3200	2021-09-01	Viral 50	pe
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	27	#84bd00	2021-09-01	Viral 50	pe
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	28	#bd3200	2021-09-01	Viral 50	pe
6HI0CimbxQeGO226h0j8KG	Júrame	André Silva	29	#bd3200	2021-09-01	Viral 50	pe
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	30	#84bd00	2021-09-01	Viral 50	pe
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	31	#84bd00	2021-09-01	Viral 50	pe
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	32	#84bd00	2021-09-01	Viral 50	pe
4it6vaFbkGRUaQlwWUMg3v	Mi Debilidad	Maria Becerra	33	#84bd00	2021-09-01	Viral 50	pe
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	34	#bd3200	2021-09-01	Viral 50	pe
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	35	#84bd00	2021-09-01	Viral 50	pe
