ID	Track	Artist	Position	Trend	Date	Chart	market
2rTZjgC9zLLbo3y0asW8Ao	Tunay	Lance Santdas	1	#3e3e40	2021-09-01	Viral 50	ph
7rdnB5DAyPbaj51TCQRcqW	It's You	Sezairi	2	#3e3e40	2021-09-01	Viral 50	ph
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	3	#3e3e40	2021-09-01	Viral 50	ph
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	4	#3e3e40	2021-09-01	Viral 50	ph
0fIIfOEjeYbE4MHxTJO1vs	Only Girl	Mr. Capone-E	5	#3e3e40	2021-09-01	Viral 50	ph
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	6	#3e3e40	2021-09-01	Viral 50	ph
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	7	#84bd00	2021-09-01	Viral 50	ph
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	8	#bd3200	2021-09-01	Viral 50	ph
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	9	#bd3200	2021-09-01	Viral 50	ph
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	10	#bd3200	2021-09-01	Viral 50	ph
0AU5XGGFzLxUgfk0FVmTqo	Sinta	CLUBS	11	#bd3200	2021-09-01	Viral 50	ph
6k3U1g0Tu11V1AcVzSt6re	O.O.O (Over&Over&Over)	Girls Planet 999	12	#3e3e40	2021-09-01	Viral 50	ph
2aTKrdenCq5qBOoJPFdn4P	Here's Your Perfect	Jamie Miller	13	#bd3200	2021-09-01	Viral 50	ph
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	14	#bd3200	2021-09-01	Viral 50	ph
2GThBgzZoZfz0lx1JjBwfe	Those Eyes	New West	15	#84bd00	2021-09-01	Viral 50	ph
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	16	#84bd00	2021-09-01	Viral 50	ph
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	17	#bd3200	2021-09-01	Viral 50	ph
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	18	#bd3200	2021-09-01	Viral 50	ph
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	19	#bd3200	2021-09-01	Viral 50	ph
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	20	#84bd00	2021-09-01	Viral 50	ph
1Qhcx4uDQ4RFy9m4mKdzUN	So Tender	Say Sue Me	21	#bd3200	2021-09-01	Viral 50	ph
7iUB3byx9Rcks8zW10JVkP	Stupid Feelings	220 KID, LANY	22	#bd3200	2021-09-01	Viral 50	ph
3wMJQ5qeN02ljNn3lRMVka	Habits	Scott Bradlee's Postmodern Jukebox, Haley Reinhart	23	#3e3e40	2021-09-01	Viral 50	ph
2shyarF21wZvWew00TdaP3	Rose - English Version	D.O.	24	#84bd00	2021-09-01	Viral 50	ph
3HQirj18HMpG93YJBHGBl1	Pasalubong - feat. Moira Dela Torre	Ben&Ben	25	#84bd00	2021-09-01	Viral 50	ph
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	26	#bd3200	2021-09-01	Viral 50	ph
62PaY0S6h9UofRsMiesevo	Butterfly	J.UNA	27	#bd3200	2021-09-01	Viral 50	ph
4IvFOa1p68SZOYfnn81vv1	Samalamig	Shehyee	28	#bd3200	2021-09-01	Viral 50	ph
5CHxZuUwZqeK7WU4fAQ0ub	Pelikula	Janine Teñoso, Arthur Nery	29	#bd3200	2021-09-01	Viral 50	ph
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	30	#84bd00	2021-09-01	Viral 50	ph
16iRlyUMJVPqz62DlomMre	Ikaw Lang	NOBITA	31	#84bd00	2021-09-01	Viral 50	ph
5Hm2MJQ4ECvQmH5QWCMQrR	Paraluman	Adie	32	#bd3200	2021-09-01	Viral 50	ph
0gDzFm0j00WYab5fuFbHW8	Dungaw	Adie	33	#84bd00	2021-09-01	Viral 50	ph
5DJuFnUWeok3rou4xDlCD9	Pity Ya	Denise Julia	34	#84bd00	2021-09-01	Viral 50	ph
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	35	#bd3200	2021-09-01	Viral 50	ph
0UzymivvUH5s8z4PeWZJaK	FEVER	ENHYPEN	36	#84bd00	2021-09-01	Viral 50	ph
3hrkPBNoXAasNErj9ATIve	Hinga	Minaw	37	#84bd00	2021-09-01	Viral 50	ph
0AZYhsESBrtRq88nxq6GMZ	Me and My Brother	5ive	38	#bd3200	2021-09-01	Viral 50	ph
5HKv1sFHbXgmXBih203HxT	I Don't Wanna Be Okay Without You	Charlie Burg	39	#bd3200	2021-09-01	Viral 50	ph
3pCt2wRdBDa2kCisIdHWgF	To the Bone	Pamungkas	40	#bd3200	2021-09-01	Viral 50	ph
20BE9EAAuma1el03cT4bH6	Superstar	Mido and Falasol	41	#84bd00	2021-09-01	Viral 50	ph
7urtwZEtOypb3r8HNi42dT	Duvet	bôa	42	#bd3200	2021-09-01	Viral 50	ph
3WWwNpb25m3UPtzODEO2Bg	Lay It Down	Steelix	43	#84bd00	2021-09-01	Viral 50	ph
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	44	#bd3200	2021-09-01	Viral 50	ph
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	45	#4687d7	2021-09-01	Viral 50	ph
2CoxJRIhTKvHyFIq9FcDO5	It's Only Me - Studio Version	Kaleb J	46	#84bd00	2021-09-01	Viral 50	ph
4KdJekSGPPhAU52BmDZIOY	Heavy Heart	RIO	47	#bd3200	2021-09-01	Viral 50	ph
7CIERzyqIwLVKGp00YbHRO	Pain	PinkPantheress	48	#bd3200	2021-09-01	Viral 50	ph
5CZ40GBx1sQ9agT82CLQCT	traitor	Olivia Rodrigo	49	#bd3200	2021-09-01	Viral 50	ph
10fVu7S4wYUG82dfEnRktg	Count Me In	Cast - Liv and Maddie	50	#bd3200	2021-09-01	Viral 50	ph
7rdnB5DAyPbaj51TCQRcqW	It's You	Sezairi	1	#84bd00	2021-09-02	Viral 50	ph
2rTZjgC9zLLbo3y0asW8Ao	Tunay	Lance Santdas	2	#bd3200	2021-09-02	Viral 50	ph
4ecsGEr6QfysFJLle4RWSq	Peace Of Mind/e	Savvysans	3	#4687d7	2021-09-02	Viral 50	ph
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	4	#bd3200	2021-09-02	Viral 50	ph
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	5	#84bd00	2021-09-02	Viral 50	ph
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	6	#bd3200	2021-09-02	Viral 50	ph
0fIIfOEjeYbE4MHxTJO1vs	Only Girl	Mr. Capone-E	7	#bd3200	2021-09-02	Viral 50	ph
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	8	#bd3200	2021-09-02	Viral 50	ph
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	9	#bd3200	2021-09-02	Viral 50	ph
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	10	#bd3200	2021-09-02	Viral 50	ph
0AU5XGGFzLxUgfk0FVmTqo	Sinta	CLUBS	11	#3e3e40	2021-09-02	Viral 50	ph
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	12	#bd3200	2021-09-02	Viral 50	ph
2GThBgzZoZfz0lx1JjBwfe	Those Eyes	New West	13	#84bd00	2021-09-02	Viral 50	ph
6k3U1g0Tu11V1AcVzSt6re	O.O.O (Over&Over&Over)	Girls Planet 999	14	#bd3200	2021-09-02	Viral 50	ph
2aTKrdenCq5qBOoJPFdn4P	Here's Your Perfect	Jamie Miller	15	#bd3200	2021-09-02	Viral 50	ph
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	16	#3e3e40	2021-09-02	Viral 50	ph
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	17	#bd3200	2021-09-02	Viral 50	ph
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	18	#3e3e40	2021-09-02	Viral 50	ph
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	19	#bd3200	2021-09-02	Viral 50	ph
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	20	#bd3200	2021-09-02	Viral 50	ph
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	21	#bd3200	2021-09-02	Viral 50	ph
3HQirj18HMpG93YJBHGBl1	Pasalubong - feat. Moira Dela Torre	Ben&Ben	22	#84bd00	2021-09-02	Viral 50	ph
1Qhcx4uDQ4RFy9m4mKdzUN	So Tender	Say Sue Me	23	#bd3200	2021-09-02	Viral 50	ph
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	24	#84bd00	2021-09-02	Viral 50	ph
7iUB3byx9Rcks8zW10JVkP	Stupid Feelings	220 KID, LANY	25	#bd3200	2021-09-02	Viral 50	ph
2shyarF21wZvWew00TdaP3	Rose - English Version	D.O.	26	#bd3200	2021-09-02	Viral 50	ph
5CHxZuUwZqeK7WU4fAQ0ub	Pelikula	Janine Teñoso, Arthur Nery	27	#84bd00	2021-09-02	Viral 50	ph
4IvFOa1p68SZOYfnn81vv1	Samalamig	Shehyee	28	#3e3e40	2021-09-02	Viral 50	ph
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	29	#84bd00	2021-09-02	Viral 50	ph
16iRlyUMJVPqz62DlomMre	Ikaw Lang	NOBITA	30	#84bd00	2021-09-02	Viral 50	ph
5DJuFnUWeok3rou4xDlCD9	Pity Ya	Denise Julia	31	#84bd00	2021-09-02	Viral 50	ph
5Hm2MJQ4ECvQmH5QWCMQrR	Paraluman	Adie	32	#3e3e40	2021-09-02	Viral 50	ph
62PaY0S6h9UofRsMiesevo	Butterfly	J.UNA	33	#bd3200	2021-09-02	Viral 50	ph
0gDzFm0j00WYab5fuFbHW8	Dungaw	Adie	34	#bd3200	2021-09-02	Viral 50	ph
0UzymivvUH5s8z4PeWZJaK	FEVER	ENHYPEN	35	#84bd00	2021-09-02	Viral 50	ph
3wMJQ5qeN02ljNn3lRMVka	Habits	Scott Bradlee's Postmodern Jukebox, Haley Reinhart	36	#bd3200	2021-09-02	Viral 50	ph
0AZYhsESBrtRq88nxq6GMZ	Me and My Brother	5ive	37	#84bd00	2021-09-02	Viral 50	ph
5HKv1sFHbXgmXBih203HxT	I Don't Wanna Be Okay Without You	Charlie Burg	38	#84bd00	2021-09-02	Viral 50	ph
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	39	#bd3200	2021-09-02	Viral 50	ph
3hrkPBNoXAasNErj9ATIve	Hinga	Minaw	40	#bd3200	2021-09-02	Viral 50	ph
3pCt2wRdBDa2kCisIdHWgF	To the Bone	Pamungkas	41	#bd3200	2021-09-02	Viral 50	ph
20BE9EAAuma1el03cT4bH6	Superstar	Mido and Falasol	42	#bd3200	2021-09-02	Viral 50	ph
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	43	#84bd00	2021-09-02	Viral 50	ph
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	44	#3e3e40	2021-09-02	Viral 50	ph
7urtwZEtOypb3r8HNi42dT	Duvet	bôa	45	#bd3200	2021-09-02	Viral 50	ph
2CoxJRIhTKvHyFIq9FcDO5	It's Only Me - Studio Version	Kaleb J	46	#3e3e40	2021-09-02	Viral 50	ph
3ZffCQKLFLUvYM59XKLbVm	Wake Me up When September Ends	Green Day	47	#4687d7	2021-09-02	Viral 50	ph
3hUxzQpSfdDqwM3ZTFQY0K	august	Taylor Swift	48	#4687d7	2021-09-02	Viral 50	ph
4f2GB5ZC7vOUYPAg69N2Xw	September	Earth, Wind & Fire	49	#4687d7	2021-09-02	Viral 50	ph
5CZ40GBx1sQ9agT82CLQCT	traitor	Olivia Rodrigo	50	#bd3200	2021-09-02	Viral 50	ph
7rdnB5DAyPbaj51TCQRcqW	It's You	Sezairi	1	#3e3e40	2021-09-03	Viral 50	ph
2rTZjgC9zLLbo3y0asW8Ao	Tunay	Lance Santdas	2	#3e3e40	2021-09-03	Viral 50	ph
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	3	#84bd00	2021-09-03	Viral 50	ph
4ecsGEr6QfysFJLle4RWSq	Peace Of Mind/e	Savvysans	4	#bd3200	2021-09-03	Viral 50	ph
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	5	#bd3200	2021-09-03	Viral 50	ph
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	6	#3e3e40	2021-09-03	Viral 50	ph
0fIIfOEjeYbE4MHxTJO1vs	Only Girl	Mr. Capone-E	7	#3e3e40	2021-09-03	Viral 50	ph
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	8	#3e3e40	2021-09-03	Viral 50	ph
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	9	#3e3e40	2021-09-03	Viral 50	ph
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	10	#3e3e40	2021-09-03	Viral 50	ph
0AU5XGGFzLxUgfk0FVmTqo	Sinta	CLUBS	11	#3e3e40	2021-09-03	Viral 50	ph
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	12	#3e3e40	2021-09-03	Viral 50	ph
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	13	#84bd00	2021-09-03	Viral 50	ph
2GThBgzZoZfz0lx1JjBwfe	Those Eyes	New West	14	#bd3200	2021-09-03	Viral 50	ph
2aTKrdenCq5qBOoJPFdn4P	Here's Your Perfect	Jamie Miller	15	#3e3e40	2021-09-03	Viral 50	ph
6k3U1g0Tu11V1AcVzSt6re	O.O.O (Over&Over&Over)	Girls Planet 999	16	#bd3200	2021-09-03	Viral 50	ph
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	17	#3e3e40	2021-09-03	Viral 50	ph
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	18	#3e3e40	2021-09-03	Viral 50	ph
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	19	#3e3e40	2021-09-03	Viral 50	ph
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	20	#3e3e40	2021-09-03	Viral 50	ph
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	21	#3e3e40	2021-09-03	Viral 50	ph
