ID	Track	Artist	Position	Trend	Date	Chart	market
0AiqDWx6WV3liputKaskhe	Drobna zabawa	Magiera, Sobel	1	#84bd00	2021-09-01	Viral 50	pl
0O4OIQKow8DloWa7UzIgyd	Duże Oczy	Smolasty, francis, Pedro, Tribbs	2	#84bd00	2021-09-01	Viral 50	pl
64F1Z2LAsf04V346A75hi1	I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino)	Męskie Granie Orkiestra 2021	3	#84bd00	2021-09-01	Viral 50	pl
2C80DdATZPDbwpLOyimIM0	Nigdy albo zawsze	Gibbs	4	#84bd00	2021-09-01	Viral 50	pl
2OMb9H6JEz0sWzqdmuJrSo	Deszcz Na Betonie	Taco Hemingway	5	#84bd00	2021-09-01	Viral 50	pl
3oNKjHYfg4HAP1ivjUit9n	Jungle Girl	Young Leosia, Żabson	6	#84bd00	2021-09-01	Viral 50	pl
2hKHkoN5nUIRIzhUneErte	Zasady Piwosza	Pastuch	7	#84bd00	2021-09-01	Viral 50	pl
0yeSYRUaDopaGht2nC3bx3	Poranna Rosa	Arne, Ramzes	8	#3e3e40	2021-09-01	Viral 50	pl
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	9	#84bd00	2021-09-01	Viral 50	pl
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	10	#84bd00	2021-09-01	Viral 50	pl
5eIe1eNukInnETUk6Kz61Z	Artysta z ASP	Kacperczyk	11	#3e3e40	2021-09-01	Viral 50	pl
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	12	#84bd00	2021-09-01	Viral 50	pl
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	13	#84bd00	2021-09-01	Viral 50	pl
0G37XrBzAwCcyqFEm43lef	INCOMING	MC ORSEN	14	#84bd00	2021-09-01	Viral 50	pl
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	15	#84bd00	2021-09-01	Viral 50	pl
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	16	#84bd00	2021-09-01	Viral 50	pl
59LspAvNwvlbqLagvgqZwm	Matrioszki	Kukon, @atutowy	17	#84bd00	2021-09-01	Viral 50	pl
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	18	#bd3200	2021-09-01	Viral 50	pl
24Gw6xOLcc028XPZJBQeEr	Patolove	Zdechły Osa	19	#84bd00	2021-09-01	Viral 50	pl
59x6oq3mHjNYkj0y9WJVBI	Queen	Jacuś	20	#84bd00	2021-09-01	Viral 50	pl
5LtWRMwawTdOiARIY3VBP4	Black Out Days (Slowed & Reverb)	toastool	21	#84bd00	2021-09-01	Viral 50	pl
1dJsl5X7etmjyNBeBL7iu7	Proste	Dawid Kwiatkowski	22	#84bd00	2021-09-01	Viral 50	pl
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	23	#84bd00	2021-09-01	Viral 50	pl
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	24	#84bd00	2021-09-01	Viral 50	pl
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	25	#bd3200	2021-09-01	Viral 50	pl
1Pq47iFLC5U7j8xeNiNcuS	It's My Party	Lesley Gore	26	#84bd00	2021-09-01	Viral 50	pl
4mPwapsdm77uzdK3kaLdH3	Czarne BMW	Francuz Mordo, Alberto	27	#bd3200	2021-09-01	Viral 50	pl
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	28	#84bd00	2021-09-01	Viral 50	pl
6OufwUcCqo81guU2jAlDVP	Love Tonight - Edit	Shouse	29	#84bd00	2021-09-01	Viral 50	pl
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	30	#84bd00	2021-09-01	Viral 50	pl
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	31	#bd3200	2021-09-01	Viral 50	pl
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	32	#84bd00	2021-09-01	Viral 50	pl
2fLClepW4DP6WrwTbAuDOn	Disney	Kizo	33	#84bd00	2021-09-01	Viral 50	pl
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	34	#bd3200	2021-09-01	Viral 50	pl
6x1TTTokRumrQK4qqZONtG	好き好き大好き - 2016 Remaster	Jun Togawa	35	#bd3200	2021-09-01	Viral 50	pl
02MWAaffLxlfxAUY7c5dvx	Heat Waves	Glass Animals	36	#84bd00	2021-09-01	Viral 50	pl
2aItJ1oeMxElBTGhGc2nGf	Zero Calorie Cookie	Marie	37	#84bd00	2021-09-01	Viral 50	pl
1EJV4stNFn8OZiRAUBVmOW	Glosy w Glowie	Malik Montana, FRNKIE	38	#84bd00	2021-09-01	Viral 50	pl
5gY0fECfPQ1QPkPLCmt9Hy	J*bię To Wszystko	Maria Peszek	39	#84bd00	2021-09-01	Viral 50	pl
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	40	#bd3200	2021-09-01	Viral 50	pl
0F4FejjWi3bf5vGOkuQwPS	On My Own	Darci	41	#3e3e40	2021-09-01	Viral 50	pl
6bxKECVRnkLmtpeU22Ve9p	help_urself	Ezekiel	42	#84bd00	2021-09-01	Viral 50	pl
0xfMlIW8lS40qvpsUw1l0X	Never Going Home	Kungs	43	#3e3e40	2021-09-01	Viral 50	pl
5ExcrymqrHd9SAuZOMVnLK	Ostatni Dzień Sierpnia	Pablopavo i Ludziki	44	#4687d7	2021-09-01	Viral 50	pl
5hfJcAXpOVb65HtYqgtoE4	Kiss cam (podryw roku)	Mata	45	#84bd00	2021-09-01	Viral 50	pl
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	46	#84bd00	2021-09-01	Viral 50	pl
3dHTxAVMsnpDFzP2YpGcqK	La la la (oh oh)	Mata, White 2115	47	#84bd00	2021-09-01	Viral 50	pl
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	48	#84bd00	2021-09-01	Viral 50	pl
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	49	#bd3200	2021-09-01	Viral 50	pl
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	50	#4687d7	2021-09-01	Viral 50	pl
