ID	Track	Artist	Position	Trend	Date	Chart	market
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	1	#3e3e40	2021-09-01	Viral 50	py
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	2	#84bd00	2021-09-01	Viral 50	py
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	3	#bd3200	2021-09-01	Viral 50	py
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	4	#84bd00	2021-09-01	Viral 50	py
2ookQf9qP2qiBuNFnNXyfl	Chega E Senta - Ao Vivo	John Amplificado	5	#bd3200	2021-09-01	Viral 50	py
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	6	#84bd00	2021-09-01	Viral 50	py
6w8yBI2vthyN9UnwO4UBWb	Entre Nosotros	Tiago PZK, LIT killah	7	#84bd00	2021-09-01	Viral 50	py
3znlxKwQTRVrrerCcZPus2	Tranquilísimo	Israel B, C. Tangana, LOWLIGHT	8	#bd3200	2021-09-01	Viral 50	py
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	9	#84bd00	2021-09-01	Viral 50	py
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	10	#bd3200	2021-09-01	Viral 50	py
5khgY2Gr3BTEYgifRhkMUb	¡Eso Tilín! (Remix)	Tito Silva Music	11	#84bd00	2021-09-01	Viral 50	py
08TD3JtW8nc3NEgxaSBNbL	NO WAY	DONGURIZU	12	#bd3200	2021-09-01	Viral 50	py
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	13	#3e3e40	2021-09-01	Viral 50	py
4OwhwvKESFtuu06dTgct7i	Tiroteo - Remix	Marc Seguí, Rauw Alejandro, Pol Granch	14	#bd3200	2021-09-01	Viral 50	py
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	15	#84bd00	2021-09-01	Viral 50	py
1tdDDOJRdbo1Uz47D1k62G	Passinho Debochado	Dan Ventura	16	#84bd00	2021-09-01	Viral 50	py
7m2iTdEKAtiGULWnTIRhX2	Matatan	Kaleb Di Masi, Alan Gomez	17	#84bd00	2021-09-01	Viral 50	py
4HzqWEdAbzcVFDv0pvxV4w	Sobrio	Maluma	18	#3e3e40	2021-09-01	Viral 50	py
5liJEcanWV112vEe9uT8iP	Mon Amour	zzoilo	19	#3e3e40	2021-09-01	Viral 50	py
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	20	#bd3200	2021-09-01	Viral 50	py
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	21	#bd3200	2021-09-01	Viral 50	py
1GYJpuLq41vEVKXiHGEY9j	Como Si No Importara	Emilia, Duki	22	#84bd00	2021-09-01	Viral 50	py
7gMWTBRgB5CZdNDSuweCyr	Se Essa Bunda	Costa Gold, Kawe, André Nine	23	#84bd00	2021-09-01	Viral 50	py
78ZTeUzi8BtFVQbysRNvrc	Beba Que Quieres Que Haga (El Que la Hace Riendo Llorando la Paga)	Levis Remix	24	#84bd00	2021-09-01	Viral 50	py
0Kdj7nwaYQmvhxnqZaIQuW	Bezos I	Bo Burnham	25	#bd3200	2021-09-01	Viral 50	py
4aXicRG47bBEcKXlDaSRwW	Turraka (Remix)	Kaleb Di Masi, Locura Mix	26	#84bd00	2021-09-01	Viral 50	py
0G2zPzWqVjR68iNPmx2TBe	Volando - Remix	Mora, Bad Bunny, Sech	27	#84bd00	2021-09-01	Viral 50	py
6szg6z5MWZKiojwcu5hRNX	Estoy Bien	Panther	28	#bd3200	2021-09-01	Viral 50	py
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	29	#3e3e40	2021-09-01	Viral 50	py
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	30	#84bd00	2021-09-01	Viral 50	py
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	31	#84bd00	2021-09-01	Viral 50	py
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	32	#bd3200	2021-09-01	Viral 50	py
3Vi5XqYrmQgOYBajMWSvCi	Need to Know	Doja Cat	33	#84bd00	2021-09-01	Viral 50	py
4it6vaFbkGRUaQlwWUMg3v	Mi Debilidad	Maria Becerra	34	#84bd00	2021-09-01	Viral 50	py
4P7IXYPAkinTdZrBF5bGWp	Você Beberia Ou Não Beberia?	Zé Neto & Cristiano	35	#bd3200	2021-09-01	Viral 50	py
63aj87TQG6F3RVO5nbG2VQ	In Da Getto	J Balvin, Skrillex	36	#84bd00	2021-09-01	Viral 50	py
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	37	#84bd00	2021-09-01	Viral 50	py
