ID	Track	Artist	Position	Trend	Date	Chart	market
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	1	#3e3e40	2021-09-01	Viral 50	sa
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	2	#3e3e40	2021-09-01	Viral 50	sa
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	3	#3e3e40	2021-09-01	Viral 50	sa
00LX4aUgpDFG4zZO1H3Lx8	Kalby Jobarny - Live	Yasser Abd El Wahab	4	#3e3e40	2021-09-01	Viral 50	sa
3h7VvetIBrLtqmPHp7yFT3	مرحب يالي تسمع فينا	سـعـداوى القطعانى	5	#3e3e40	2021-09-01	Viral 50	sa
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	6	#3e3e40	2021-09-01	Viral 50	sa
7urtwZEtOypb3r8HNi42dT	Duvet	bôa	7	#3e3e40	2021-09-01	Viral 50	sa
6Uj1ctrBOjOas8xZXGqKk4	Woman	Doja Cat	8	#84bd00	2021-09-01	Viral 50	sa
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	9	#bd3200	2021-09-01	Viral 50	sa
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	10	#84bd00	2021-09-01	Viral 50	sa
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	11	#84bd00	2021-09-01	Viral 50	sa
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	12	#bd3200	2021-09-01	Viral 50	sa
5Kba6Aixt9oJuKtjN5scL3	Love Nwantiti - Remix	Dj Yo!, CKay, AX'EL	13	#84bd00	2021-09-01	Viral 50	sa
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	14	#84bd00	2021-09-01	Viral 50	sa
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	15	#bd3200	2021-09-01	Viral 50	sa
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	16	#84bd00	2021-09-01	Viral 50	sa
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	17	#bd3200	2021-09-01	Viral 50	sa
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	18	#bd3200	2021-09-01	Viral 50	sa
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	19	#bd3200	2021-09-01	Viral 50	sa
1s9DTymg5UQrdorZf43JQm	Fell In Luv (feat. Bryson Tiller)	Playboi Carti	20	#3e3e40	2021-09-01	Viral 50	sa
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	21	#84bd00	2021-09-01	Viral 50	sa
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	22	#bd3200	2021-09-01	Viral 50	sa
7jtQIBanIiJOMS6RyCx6jZ	Another Love	Tom Odell	23	#3e3e40	2021-09-01	Viral 50	sa
4aS8OY1JsRSBKGfnAkIOZH	You can't sit with us	SUNMI	24	#84bd00	2021-09-01	Viral 50	sa
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	25	#84bd00	2021-09-01	Viral 50	sa
2A7A3KF4NHFjW3ygFSt7In	Hey Tayo - Tayo Opening Theme Song	ENHYPEN	26	#bd3200	2021-09-01	Viral 50	sa
1jxGBe4s8FwL2ZeNWszVuu	I'm Gonna Love You	D.O., Wonstein	27	#bd3200	2021-09-01	Viral 50	sa
750vtNtNiQVl80E4baoJjd	Lose	KSI, Lil Wayne	28	#4687d7	2021-09-01	Viral 50	sa
7H0ya83CMmgFcOhw0UB6ow	Space Song	Beach House	29	#84bd00	2021-09-01	Viral 50	sa
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	30	#bd3200	2021-09-01	Viral 50	sa
0PukrHFus6hVBHku8hrS0Z	Habibi	Ricky Rich, Dardan, Zuna	31	#bd3200	2021-09-01	Viral 50	sa
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	32	#bd3200	2021-09-01	Viral 50	sa
