ID	Track	Artist	Position	Trend	Date	Chart	market
0W7brFokN6QtGRNp32RCQP	Alone With You	Arz	1	#3e3e40	2021-09-01	Viral 50	se
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	2	#3e3e40	2021-09-01	Viral 50	se
2muh7P8rylTiI0IJIn2d3z	Vvvalsta	VC Barre	3	#3e3e40	2021-09-01	Viral 50	se
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	4	#3e3e40	2021-09-01	Viral 50	se
67b99ckdcwFsL51AGVLJ9k	Sí Sí Sí	Cera, STHLM Syndrome	5	#3e3e40	2021-09-01	Viral 50	se
4xWHBmEeexm1owi5PU9cYU	Naken	LOAM	6	#3e3e40	2021-09-01	Viral 50	se
4EpxJNfJiNgxfBiNNwii3s	FRÖKEN SNUSK	FRÖKEN SNUSK, Lurifaks, Rasmus Gozzi	7	#3e3e40	2021-09-01	Viral 50	se
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	8	#3e3e40	2021-09-01	Viral 50	se
4v2h4T7DCtZOaqLv2hEOqb	SPICY	Jazlin, B.Baby	9	#84bd00	2021-09-01	Viral 50	se
2USlegnFJLrVLpoVfPimKB	Thunder	Gabry Ponte, LUM!X, Prezioso	10	#bd3200	2021-09-01	Viral 50	se
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	11	#3e3e40	2021-09-01	Viral 50	se
08hB2ERJV6A1Ntu3OHgzjh	FMRN	Lilyisthatyou	12	#3e3e40	2021-09-01	Viral 50	se
5bZnSJZEqbBsXxHI5Qszxy	Chanel	Rio	13	#84bd00	2021-09-01	Viral 50	se
4riB7yrI0ZUcM6wZQilNcx	Warra Warra (Mosh Edit)	Sussebass	14	#84bd00	2021-09-01	Viral 50	se
6M3PsepEj5gyJoIi7Xvr7u	Take My Breath	The Weeknd	15	#84bd00	2021-09-01	Viral 50	se
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	16	#bd3200	2021-09-01	Viral 50	se
1EYeZGTMCjV7uVey5fNWXM	love nwantiti (feat. ElGrande Toto) - North African Remix	CKay, ElGrandeToto	17	#84bd00	2021-09-01	Viral 50	se
2prnn41CblB8B4yWACDljP	Love Tonight - David Guetta Remix Edit	Shouse	18	#3e3e40	2021-09-01	Viral 50	se
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	19	#84bd00	2021-09-01	Viral 50	se
2VCZrkZkplD4wG8AFozNoh	Step-Grandma	Salvatore Ganacci	20	#bd3200	2021-09-01	Viral 50	se
0wCWfjqo0FV1CDseDGD0cV	Two Years Clear	Idi Akz	21	#84bd00	2021-09-01	Viral 50	se
1hRyEZcYNucXJ3YmDCc8rw	PELIGROSA	Rami Bazi, ALAWIE, Montana, Adis	22	#bd3200	2021-09-01	Viral 50	se
3uUuGVFu1V7jTQL60S1r8z	Where Are You Now	Lost Frequencies, Calum Scott	23	#84bd00	2021-09-01	Viral 50	se
4TTEt9AFMoFWxhL5DdN8Ji	Touch It	KiDi	24	#bd3200	2021-09-01	Viral 50	se
7yrTQE8SZP1sgDQZqrGt1N	Mr.P - Radio Edit	Mr. P, Jofa	25	#bd3200	2021-09-01	Viral 50	se
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	26	#3e3e40	2021-09-01	Viral 50	se
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	27	#84bd00	2021-09-01	Viral 50	se
1ZmQ4WrrFvfgUvKingaPST	Balladen om Theobald Thor	Lindbärs	28	#bd3200	2021-09-01	Viral 50	se
2gwirjNHYJPlBwOJ5Aftwv	Josefin	Albin Lee Meldau	29	#84bd00	2021-09-01	Viral 50	se
6PQ88X9TkUIAUIZJHW2upE	Bad Habits	Ed Sheeran	30	#84bd00	2021-09-01	Viral 50	se
1YAXrOLk7EGfv1tlSnGOqi	Having A Party	"Lee ""Scratch"" Perry"	31	#84bd00	2021-09-01	Viral 50	se
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	32	#bd3200	2021-09-01	Viral 50	se
3ldYKctJWFisYe41pa6VWo	Kyss!	Daniela Rathana	33	#84bd00	2021-09-01	Viral 50	se
7oX7Q0aa3yF9rA9FppMxHH	Sway	Macky Gee	34	#bd3200	2021-09-01	Viral 50	se
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	35	#3e3e40	2021-09-01	Viral 50	se
