ID	Track	Artist	Position	Trend	Date	Chart	market
0eu4C55hL6x29mmeAjytzC	Life Goes On	Oliver Tree	1	#3e3e40	2021-09-01	Viral 50	sv
0kBEOUv943sJwkqB9qLTl3	Tu Boquita	Analu Dada	2	#3e3e40	2021-09-01	Viral 50	sv
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	3	#3e3e40	2021-09-01	Viral 50	sv
0z5yLgBmAtaylDYrgwzlpH	Amapolas	Leo Rizzi	4	#3e3e40	2021-09-01	Viral 50	sv
75ncCwXqalTnnl6t1ruQRq	Dueles Tan Bien	Bruses	5	#3e3e40	2021-09-01	Viral 50	sv
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	6	#3e3e40	2021-09-01	Viral 50	sv
6w8yBI2vthyN9UnwO4UBWb	Entre Nosotros	Tiago PZK, LIT killah	7	#3e3e40	2021-09-01	Viral 50	sv
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	8	#3e3e40	2021-09-01	Viral 50	sv
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	9	#3e3e40	2021-09-01	Viral 50	sv
3HgvO4B5LLmdPOT2d8cSZd	Mónaco	LAGOS, Danny Ocean	10	#84bd00	2021-09-01	Viral 50	sv
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	11	#bd3200	2021-09-01	Viral 50	sv
4OwhwvKESFtuu06dTgct7i	Tiroteo - Remix	Marc Seguí, Rauw Alejandro, Pol Granch	12	#84bd00	2021-09-01	Viral 50	sv
08TD3JtW8nc3NEgxaSBNbL	NO WAY	DONGURIZU	13	#bd3200	2021-09-01	Viral 50	sv
4HzqWEdAbzcVFDv0pvxV4w	Sobrio	Maluma	14	#84bd00	2021-09-01	Viral 50	sv
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	15	#3e3e40	2021-09-01	Viral 50	sv
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	16	#bd3200	2021-09-01	Viral 50	sv
4aczXDNX8bX98fLkNNdwPO	Buscate Otro	Jc La Nevula, Atomic Otro Way	17	#84bd00	2021-09-01	Viral 50	sv
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	18	#84bd00	2021-09-01	Viral 50	sv
3znlxKwQTRVrrerCcZPus2	Tranquilísimo	Israel B, C. Tangana, LOWLIGHT	19	#bd3200	2021-09-01	Viral 50	sv
0G2zPzWqVjR68iNPmx2TBe	Volando - Remix	Mora, Bad Bunny, Sech	20	#bd3200	2021-09-01	Viral 50	sv
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	21	#bd3200	2021-09-01	Viral 50	sv
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	22	#3e3e40	2021-09-01	Viral 50	sv
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	23	#3e3e40	2021-09-01	Viral 50	sv
6szg6z5MWZKiojwcu5hRNX	Estoy Bien	Panther	24	#bd3200	2021-09-01	Viral 50	sv
0mJBiaODgK0XjOLCN5fItq	Like I Can	Sam Smith	25	#84bd00	2021-09-01	Viral 50	sv
