ID	Track	Artist	Position	Trend	Date	Chart	market
02xwA3Ej9NPetftp9V7VZ3	好きだから。	『ユイカ』	1	#3e3e40	2021-09-01	Viral 50	tw
5tFikHsd4xViCuKfnOZA1Z	Reality	Richard Sanderson	2	#3e3e40	2021-09-01	Viral 50	tw
5dADbsisgEmgofCEu2pHQ4	中國老總	閩南狼PYC	3	#84bd00	2021-09-01	Viral 50	tw
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	4	#bd3200	2021-09-01	Viral 50	tw
0wADGmFVQWAWD8s0WxLkVE	我们打着光脚在风车下跑,手上的狗尾巴草摇啊摇	等一下就回家, 艾兜	5	#84bd00	2021-09-01	Viral 50	tw
62PaY0S6h9UofRsMiesevo	Butterfly	J.UNA	6	#bd3200	2021-09-01	Viral 50	tw
1Qhcx4uDQ4RFy9m4mKdzUN	So Tender	Say Sue Me	7	#3e3e40	2021-09-01	Viral 50	tw
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	8	#84bd00	2021-09-01	Viral 50	tw
0L8P96kVMjBGacYOU0VXAJ	Reality	Vladimir Cosma, Richard Sanderson	9	#84bd00	2021-09-01	Viral 50	tw
0dnkOK5hGUCmIJ7FDF0yHz	DUMB DUMB	JEON SOMI	10	#bd3200	2021-09-01	Viral 50	tw
6RsoV0ubPnrUuhwhdQKHIc	Old Fashion Luv	Lee	11	#bd3200	2021-09-01	Viral 50	tw
0z81zrkn4dqmRLJpRePjYc	想了妳6次	王ADEN	12	#3e3e40	2021-09-01	Viral 50	tw
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	13	#84bd00	2021-09-01	Viral 50	tw
7628wHlTHencodj9Z244Rt	忽然	WeiBird	14	#bd3200	2021-09-01	Viral 50	tw
4KdJekSGPPhAU52BmDZIOY	Heavy Heart	RIO	15	#bd3200	2021-09-01	Viral 50	tw
5hNcwX8rk7vASRd2UK6m8k	目及皆是你	小蓝背心	16	#bd3200	2021-09-01	Viral 50	tw
1IVj6CsBbTgOEpo0W6hgwN	嘉宾	张远	17	#84bd00	2021-09-01	Viral 50	tw
54jTEYpimTVXoLleopilFA	淪陷 - 電視劇《原來我很愛你》片尾曲	魏晨	18	#84bd00	2021-09-01	Viral 50	tw
5JKcEfaQxzx77UPsDLbibc	搖啊搖	冰球樂團, Limi	19	#bd3200	2021-09-01	Viral 50	tw
0STxHCjwpxUExtwUaX0Qob	GREEN	施語庭	20	#bd3200	2021-09-01	Viral 50	tw
6yfGer1TKpxOjhSd5eL0DL	Summer Is for Falling in Love	Sarah Kang, EyeLoveBrandon	21	#84bd00	2021-09-01	Viral 50	tw
0GM2W66glRyOBd1Ckw43eF	睡不著	壞特 ?te	22	#3e3e40	2021-09-01	Viral 50	tw
6fG9JVdUx4Ttks3tDwQMRs	Nevertheless	Night Off	23	#bd3200	2021-09-01	Viral 50	tw
1m8b3KFsAiGyjRc90ZfEB9	Run With Me	Sunwoojunga	24	#3e3e40	2021-09-01	Viral 50	tw
20BE9EAAuma1el03cT4bH6	Superstar	Mido and Falasol	25	#84bd00	2021-09-01	Viral 50	tw
5R3KGS53DCrlbi6cxECAEH	無人知曉	Hebe Tien	26	#84bd00	2021-09-01	Viral 50	tw
6k3U1g0Tu11V1AcVzSt6re	O.O.O (Over&Over&Over)	Girls Planet 999	27	#84bd00	2021-09-01	Viral 50	tw
1kuML8BXbxGjfxQ1FkJPwI	We're Already	KIMMUSEUM	28	#84bd00	2021-09-01	Viral 50	tw
2uaWvId4WgsvaG9zuxSMAL	若是明仔載 (feat. ?te 壞特)	曹雅雯, 壞特 ?te	29	#bd3200	2021-09-01	Viral 50	tw
3WvjGHXcG9tbFcpwSth2qi	Already One Year - Drama Version	Mido and Falasol	30	#84bd00	2021-09-01	Viral 50	tw
185Wm4Mx09dQG0fUktklDm	ラブレター	YOASOBI	31	#84bd00	2021-09-01	Viral 50	tw
1bwHUsQwWSWzoxlULC0wwT	聖者の行進	キタニタツヤ	32	#bd3200	2021-09-01	Viral 50	tw
472Ph9MgL7hgX94aI4GLtN	都不懂	step.jad, $ign K	33	#4687d7	2021-09-01	Viral 50	tw
7ITMPKghDO8TlPEfq7TbXX	Until	Sl!ce	34	#84bd00	2021-09-01	Viral 50	tw
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	35	#bd3200	2021-09-01	Viral 50	tw
5VbtQrUiDuybYiY5nuguzy	爬山	春麵樂隊ChuNoodle	36	#84bd00	2021-09-01	Viral 50	tw
3O7rBns1WnpXueDRcI5TgI	Lane Switcha (feat. A$AP Rocky, Juicy J & Project Pat)	Skepta, Pop Smoke	37	#bd3200	2021-09-01	Viral 50	tw
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	38	#bd3200	2021-09-01	Viral 50	tw
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	39	#84bd00	2021-09-01	Viral 50	tw
57sjJwJK8yltKdfR6HwlMu	Seh Ah Seh	壞特 ?te	40	#bd3200	2021-09-01	Viral 50	tw
2aTKrdenCq5qBOoJPFdn4P	Here's Your Perfect	Jamie Miller	41	#84bd00	2021-09-01	Viral 50	tw
6xACkuBBUWRphJejsU656w	To You	Yoo Yeon Seok	42	#bd3200	2021-09-01	Viral 50	tw
57agyhzoHbT0G6JWLEGNDV	煙火星辰 (電視劇《你是我的榮耀》片頭曲)	摩登兄弟劉宇寧	43	#3e3e40	2021-09-01	Viral 50	tw
7kU5GMeSxtOTtl9I1ipgYa	Let′s forget it - Drama Version	Mido and Falasol	44	#84bd00	2021-09-01	Viral 50	tw
0rAxQPvk9toC935BRApl9q	千千万万	深海鱼子酱	45	#4687d7	2021-09-01	Viral 50	tw
4XvcHTUfIlWfyJTRG0aqlo	2055	Sleepy Hallow	46	#bd3200	2021-09-01	Viral 50	tw
3jbAzLVcHiI5hYSkcKe1Ty	Love Runs Out (feat. G-Eazy & Sasha Alex Sloan)	Martin Garrix	47	#84bd00	2021-09-01	Viral 50	tw
13jOUAJE5tHgidRLrmSpO5	Fall In Love	Jukjae	48	#bd3200	2021-09-01	Viral 50	tw
4x6mdk7XUKXPUI4Kgc0Egr	不清醒都巿	Merry Lamb Lamb, 拋海	49	#bd3200	2021-09-01	Viral 50	tw
0Ykbr3QGOHAYmuX5BIk1ig	Santé	壞特 ?te	50	#bd3200	2021-09-01	Viral 50	tw
02xwA3Ej9NPetftp9V7VZ3	好きだから。	『ユイカ』	1	#3e3e40	2021-09-02	Viral 50	tw
5tFikHsd4xViCuKfnOZA1Z	Reality	Richard Sanderson	2	#3e3e40	2021-09-02	Viral 50	tw
5dADbsisgEmgofCEu2pHQ4	中國老總	閩南狼PYC	3	#3e3e40	2021-09-02	Viral 50	tw
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	4	#3e3e40	2021-09-02	Viral 50	tw
