ID	Track	Artist	Position	Trend	Date	Chart	market
7D8k995g6jdie4NF1E7Tpu	Лёд	WENARO, LXNER	1	#84bd00	2021-09-01	Viral 50	ua
0PGAJ37n4O2AslZosr1YGx	Disaster	KSLV Noh	2	#bd3200	2021-09-01	Viral 50	ua
2mvP5OEZXWL0QefQSq7z6b	Стеклянная	GUMA	3	#bd3200	2021-09-01	Viral 50	ua
2bIsQdZK9ArtOY5OMK03Zt	Зеркало	We, Лэривэйн	4	#3e3e40	2021-09-01	Viral 50	ua
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	5	#3e3e40	2021-09-01	Viral 50	ua
59k9J0SsO8SljzX3XfRDdB	One Day	JrGoldenChild315	6	#84bd00	2021-09-01	Viral 50	ua
0rJWXE1EOj5L5FzoNQBv8c	Я помню	mazellovvv, маз корж	7	#3e3e40	2021-09-01	Viral 50	ua
1ZSE1aRpNk9zttUGO1caBt	Всё равно	LINA LEE	8	#84bd00	2021-09-01	Viral 50	ua
1dfercdMmAoxbRezcqGcNS	Георгины	AloeVera	9	#bd3200	2021-09-01	Viral 50	ua
7lQWRAjyhTpCWFC0jmclT4	Gangsta's Paradise	Coolio, L.V.	10	#84bd00	2021-09-01	Viral 50	ua
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	11	#bd3200	2021-09-01	Viral 50	ua
0G37XrBzAwCcyqFEm43lef	INCOMING	MC ORSEN	12	#bd3200	2021-09-01	Viral 50	ua
4mR9wCfn4yb8t7O5LlnMtv	Feel Like God	gazzzy, framed	13	#bd3200	2021-09-01	Viral 50	ua
3DjXe9iSnGVFZFWlkxIni5	JUICY	INSTASAMKA	14	#bd3200	2021-09-01	Viral 50	ua
15r0sDg8vlZ3n9OoP2aQU6	Dance	Aiscoot	15	#84bd00	2021-09-01	Viral 50	ua
1GTyZID5IGOXOAUoQkVlWo	На чиле (feat. Егор Крид, The Limba, blago white, OG Buda, Тимати, SODA LUV, Гуф)	Geegun, Egor Kreed, Timati	16	#bd3200	2021-09-01	Viral 50	ua
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	17	#bd3200	2021-09-01	Viral 50	ua
51fuLpPnBX5pzizp3PkODO	IN MY MOUTH	Black Dresses	18	#84bd00	2021-09-01	Viral 50	ua
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	19	#bd3200	2021-09-01	Viral 50	ua
5X33A2X2OuQXUOKhawWCMm	Baby mama	Skryptonite, Райда	20	#84bd00	2021-09-01	Viral 50	ua
6bxKECVRnkLmtpeU22Ve9p	help_urself	Ezekiel	21	#84bd00	2021-09-01	Viral 50	ua
0NPRigM2lZGGFW3OD48g43	Гуси	Wellboy	22	#84bd00	2021-09-01	Viral 50	ua
36W02sCbiFy6lQTEHCV7Ci	Slime Love	uglystephan archive	23	#bd3200	2021-09-01	Viral 50	ua
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	24	#bd3200	2021-09-01	Viral 50	ua
2L2iWhBsyosVcxx36iurfa	1000-7	fem.love	25	#84bd00	2021-09-01	Viral 50	ua
3gpMB2PEjfnEtgxgmd2wUB	Последний день лета	Lalis Dream	26	#84bd00	2021-09-01	Viral 50	ua
0gvziNZtbWyfRH57YyMx93	Все Сам	Showbiz School	27	#bd3200	2021-09-01	Viral 50	ua
4mVe93ReJrHyPjMWiRfIXG	FROSTY	ZillaKami	28	#bd3200	2021-09-01	Viral 50	ua
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	29	#84bd00	2021-09-01	Viral 50	ua
3SQV31uJMStclklmwxQHe1	KILLKA	Ghostface Playa, fkbambam	30	#bd3200	2021-09-01	Viral 50	ua
0VGLb6IeeG5ZqonN5EavDu	Рассвет	КАКАЯ РАЗНИЦА	31	#84bd00	2021-09-01	Viral 50	ua
3hezVtcUqncXSpBbV4dTCQ	Песня о привязанности	Автоспорт	32	#bd3200	2021-09-01	Viral 50	ua
3koCCeSaVUyrRo3N2gHrd8	Let's Groove	Earth, Wind & Fire	33	#bd3200	2021-09-01	Viral 50	ua
7Eyfmn0zcgcjGUrWlFdgqa	Федерико Феллини	Galibri & Mavik	34	#84bd00	2021-09-01	Viral 50	ua
