ID	Track	Artist	Position	Trend	Date	Chart	market
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	1	#3e3e40	2021-09-01	Viral 50	us
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	2	#3e3e40	2021-09-01	Viral 50	us
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	3	#3e3e40	2021-09-01	Viral 50	us
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	4	#3e3e40	2021-09-01	Viral 50	us
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	5	#84bd00	2021-09-01	Viral 50	us
1puprgnIxARMj8gR3Jj4B2	Just Drive	Erin Kinsey	6	#bd3200	2021-09-01	Viral 50	us
7sq2z9oX2S0CvgTqCZ0ko4	Strange	Celeste	7	#3e3e40	2021-09-01	Viral 50	us
7wpyrkjEgz7W1vNYDxMKrF	GYALIS	Capella Grey	8	#3e3e40	2021-09-01	Viral 50	us
5o5SdS2vu1PgKblBABGlER	ALIEN LOVE CALL	Turnstile, Blood Orange	9	#84bd00	2021-09-01	Viral 50	us
0bGImSqDB2ebdeoCidUC8o	BLACKOUT	Turnstile	10	#bd3200	2021-09-01	Viral 50	us
1dB0NylVkpjdOe8DiekIs7	HOLIDAY	Turnstile	11	#84bd00	2021-09-01	Viral 50	us
08hB2ERJV6A1Ntu3OHgzjh	FMRN	Lilyisthatyou	12	#bd3200	2021-09-01	Viral 50	us
4ka1FkKAMde6dQAFFMXKac	i hope ur miserable until ur dead	Nessa Barrett	13	#bd3200	2021-09-01	Viral 50	us
6MNwXWX1d2k8ARllRJ5Ezt	FVN!	LVL1	14	#bd3200	2021-09-01	Viral 50	us
4ZJwt3yb5gVCufioOQHBKS	Not Into You	Brooksie	15	#bd3200	2021-09-01	Viral 50	us
1uMHCAyGmHqyygoNRuo7MV	edamame (feat. Rich Brian)	bbno$	16	#3e3e40	2021-09-01	Viral 50	us
07MDkzWARZaLEdKxo6yArG	Meet Me At Our Spot	THE ANXIETY, WILLOW, Tyler Cole	17	#84bd00	2021-09-01	Viral 50	us
3ZozFqJJlDBNIm4xqxn2ZD	Fancy Like	Walker Hayes	18	#bd3200	2021-09-01	Viral 50	us
1Adhz5VVDZxhojOLfQQUxa	Not Around	Nova	19	#84bd00	2021-09-01	Viral 50	us
7urtwZEtOypb3r8HNi42dT	Duvet	bôa	20	#bd3200	2021-09-01	Viral 50	us
2CVChktEKBsM6v4IfdFU5k	double take	dhruv	21	#3e3e40	2021-09-01	Viral 50	us
24j0o1B7eiiwSdtbUm7OnN	God We Need You Now	Struggle Jennings, Caitlynne Curtis	22	#84bd00	2021-09-01	Viral 50	us
5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	The Kid LAROI	23	#bd3200	2021-09-01	Viral 50	us
5iXnD2VizcAbErpkcuNQ6I	MYSTERY	Turnstile	24	#84bd00	2021-09-01	Viral 50	us
4RVwu0g32PAqgUiJoXsdF8	Happier Than Ever	Billie Eilish	25	#3e3e40	2021-09-01	Viral 50	us
4bF2y8rR7GUjrd5LNEvej3	París	Ingratax	26	#84bd00	2021-09-01	Viral 50	us
37y7iDayfwm3WXn5BiAoRk	Dark Red	Steve Lacy	27	#84bd00	2021-09-01	Viral 50	us
6wDntdm888mDo458RaYjGl	Cry Baby	Official HIGE DANdism	28	#3e3e40	2021-09-01	Viral 50	us
3S7A85bAWOd6ltk6r2ANOI	U Are My High	DJ Snake	29	#84bd00	2021-09-01	Viral 50	us
0zlaa4AmbFE7MVDijsyD9Q	Heat Above	Greta Van Fleet	30	#84bd00	2021-09-01	Viral 50	us
0Rj9OeVLzgCk95Dl1oxYWD	One In A Million	Aaliyah	31	#bd3200	2021-09-01	Viral 50	us
4oonyJXO2PuTXq2KUOdFPH	Bonita	Los Dorados	32	#84bd00	2021-09-01	Viral 50	us
0KNvJzxdbslBddN27BEhfm	My Jesus	Anne Wilson	33	#84bd00	2021-09-01	Viral 50	us
27NovPIUIRrOZoCHxABJwK	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	34	#84bd00	2021-09-01	Viral 50	us
44xO8889yUQHn70P73NILS	Believe Me	Navos	35	#84bd00	2021-09-01	Viral 50	us
1aFP0G0GHQAAH9gfC95wT1	EAT SPIT! (feat. Royal & the Serpent)	Slush Puppy	36	#3e3e40	2021-09-01	Viral 50	us
1lhm29o3syw122xynSKaAK	Love Me Like That	Sam Kim	37	#bd3200	2021-09-01	Viral 50	us
3DICBZOMaEWbCxwUfPGcE5	Everywhereigo	Babyxsosa	38	#bd3200	2021-09-01	Viral 50	us
4iya38ctQ1httyA6NOG9oW	Light My Love	Greta Van Fleet	39	#84bd00	2021-09-01	Viral 50	us
4s6vwFgPdCtidpEw8KuQT6	REPEAT IT (with Gunna)	Lil Tecca	40	#bd3200	2021-09-01	Viral 50	us
5wWxUdgn2OugIOvLJOdreH	Lo Que Construimos	Natalia Lafourcade	41	#3e3e40	2021-09-01	Viral 50	us
7CIERzyqIwLVKGp00YbHRO	Pain	PinkPantheress	42	#84bd00	2021-09-01	Viral 50	us
1V8LJmUEAleAHmBUaD0ZFI	County Line	Chase Matthew	43	#bd3200	2021-09-01	Viral 50	us
3yaYgjEFkRw3PVjW9mV1TO	Over The Top (feat. Drake)	Smiley	44	#3e3e40	2021-09-01	Viral 50	us
51Grh1RyUDcMBbpuyUIUHI	rises the moon	Liana Flores	45	#84bd00	2021-09-01	Viral 50	us
7rYCenkV4OXJgiUuKrhDCb	Beethoven	Kenndog	46	#84bd00	2021-09-01	Viral 50	us
2vmfvSoZBFAt9hhRoEByLi	Volví	Aventura, Bad Bunny	47	#bd3200	2021-09-01	Viral 50	us
1sx0XsWUusUoPstbvokZjP	A-O-K	Tai Verdes	48	#3e3e40	2021-09-01	Viral 50	us
5FG7Tl93LdH117jEKYl3Cm	Essence (feat. Tems)	WizKid	49	#4687d7	2021-09-01	Viral 50	us
1lAJUXyP5S2dUYHer1xBas	Drunk And Nasty (feat. Sharc)	Pi’erre Bourne	50	#4687d7	2021-09-01	Viral 50	us
0qXP5fMhxGzxALOkXYUxfP	Loverboy	A-Wall	1	#3e3e40	2021-09-02	Viral 50	us
5lLuXWPq7zaPxmaS0yrphL	Wake Up	Cheese People	2	#3e3e40	2021-09-02	Viral 50	us
5fwSHlTEWpluwOM0Sxnh5k	Pepas	Farruko	3	#84bd00	2021-09-02	Viral 50	us
7dyi7AorhfCTJvGFjXwpyU	Puppy Princess	Hot Freaks	4	#bd3200	2021-09-02	Viral 50	us
3NqBxTOMCJ3zW9CIP51td4	Jugaste y Sufrí	Eslabon Armado, DannyLux	5	#3e3e40	2021-09-02	Viral 50	us
